,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,ТЗ от клиента ,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Металлическая банка с выдавленным дизайном для печенья ( как самостоятельный подарок) ",Круглую коробка+ крышка. Диаметр 20 см. ,"Материал: жесть, 0,23 мм
Размер: диаметр 202 мм, высота 65 мм
Упаковка: индивидуальный пакет
Примечание от фабрики: ", Дизайн: индивидуальное нанесение,200,"21,6","1942,6",40-45,"24,6","2215,5",30-35,31 000,7,17-19,
,,,,,300,"16,4","1479,1",,"19,5","1751,9",,,,,
,"Металлическая банка с выдавленным дизайном для печенья ( как самостоятельный подарок) 
",Круглую коробка+ крышка. Диаметр 20 см. ,," Дизайн: индивидуальное нанесение и рельеф
Объемное теснение посчитано на одной части коробки - на основной части или на крышке ",200,"24,5","2205,9",40-45,"27,5","2478,8",30-35,36 000,7,17-19,
,,,,,300,"18,4","1654,6",,"21,4","1927,5",,,,,
 ,Музыкальная шкатулка колокол,"""Рассмотреть упаковку с муз. Шкатулкой ( завод.) 


Коробка со муз. Механизмом как вип категория,","Шкатулка крутится, играет мелодия, заводится за рычажок на дне

Материал: жесть 0,23 мм
Размер: 125*130 мм
Упаковка: индивидуальный пакет
Примечание от фабрики: ", Дизайн: индивидуальное нанесение,100,"35,5","3191,3",40-45,"39,2","3524,0",30-35,47 000,7,17-19,
 ,Музыкальная шкатулка,"""Рассмотреть упаковку с муз. Шкатулкой ( завод.) 


Коробка со муз. Механизмом как вип категория,","Шкатулка крутится (внутренняя часть), играет мелодия, заводится за рычажок на дне

Материал: жесть 0,23 мм
Размер: 120*173 мм
Упаковка: индивидуальный пакет
Примечание от фабрики: ", Дизайн: индивидуальное нанесение,100,"51,6","4639,3",40-45,"55,3","4972,1",30-35,68 000,7,17-19,
 ,Набор из 2 небольших банок,"Набор из небольших коробок, диаметр 10-12 см. ","Материал: жесть 0,23 мм
Размер: 75*110 мм
Упаковка: индивидуальный пакет
Примечание от фабрики: ", Дизайн: индивидуальное нанесение,400,"14,4","1293,3",40-45,"17,4","1566,2",30-35,36 000,7,17-19,
 ,Комплимент- банка с монпансье конфетами,Считаем металлическую жесть коробку ФИГУРРНУЮ с подвесом,"Материал: жесть 0,23 мм
Размер: 145*145*50 мм
Упаковка: индивидуальный пакет
Примечание от фабрики: ", Дизайн: индивидуальное нанесение,300,"14,0","1263,6",40-45,"14,8","1330,2",30-35,42 000,7,17-19,
,,Маленького размера ( до 12 см в длину и ширину),,,400,"10,9","981,4",,"11,6","1047,9",,,,,
 ,Фабрика в фарфоре,Сет готовый под деколь,"Материал: фарфор
Размер: диаметр - 8 см, высота общая 14,2 см, из высота крышки - 4,4 см
Упаковка: индивидуальная коробка
Примечание от фабрики: 
*минимальный заказ - 200 шт 
*посчитан один предмет - чашка размером 14,2*8 см, сет можно составить из 1/2 чашек и 1/2 блюдец + добавить кастомную коробку ложементом ", Дизайн: из наличия,200,"10,9","1019,9",40-45,"13,2","1245,3",30-35,10 000,5,15-17,
 ,Фабрика в фарфоре,Сет готовый под деколь,"Материал: фарфор
Размер: форма куба - 25*23 см, форма цилиндра - 29*25 см
Упаковка: индивидуальная коробка
Примечание от фабрики: 
*посчитан один предмет - цена на оба дизайна одинаковая", Дизайн: из наличия,50,"46,9","4438,0",55-60,"60,7","5810,1",45-50,10 000,5,15-17,
,,,,,100,"46,7","4420,0",,"60,5","5792,1",,,,,
,,,,,150,"46,6","4414,0",,"60,5","5786,1",,,,,
 ,Геометрия фарфор,,"Материал: фарфор
Размер: 300 мл
Примечание от фабрики: 
*минимальный заказ - 500 шт
*посчитана ", Дизайн: индивидуальный дизайн ,500,"19,05","1619,30",65-70,"21,00","1784,61",55-60,45 000,15,25-27,
 ,"Гальваника
Предметы 
Строгие линии
",,"Материал: керамика
Размер: 450  мл
Примечание от фабрики: ", Дизайн: нанесение лого ,100,"17,59","1494,97",65-70,"19,53","1660,28",55-60,23 000,15,25-27,
 ,Елочные игрушки с наполнением ( легкие),"Прочные и стеклянные 
Наполнение: металл. Элементы ( аля снежный шар 2024) ","Материал: стекло, смола 
Размер: 13,5*11см
Упаковка: индивидуальная коробка 
Примечание от фабрики: 
цена примерная, для точной цены нужен макет ", Дизайн: фигурка с индивидуалльным дизайном ,600,"34,7","3167,9",75-80,"41,2","3631,4",65-70,70 000,20,30-32,
,,,,,,,,,,,,,,,
