,"Менеджер: Киселева Екатерина
Email: katya.e@megamind.ru
Телефон: +7 (921) 970-63-24
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб",,"Срок тиража, к.д.","Цена за шт., $",,"Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Ланъярд с функцией подзарядки,"Материал: ткань + алюминиевый сплав
Длина: 150 см
Упаковка: индивидуальный пакет", Дизайн: гравировка лого на креплении,100,"4,4","390,2",,35-40,"4,8",,"424,5",25-30,5 950,7,17-19,
,,,,500,"3,6","314,8",,,"4,0",,"349,1",,,,,
,,,,1000,"3,4","297,7",,40-45,"3,8",,"332,0",30-35,,,,
,,,,2000,"3,3","291,7",,,"3,7",,"326,0",,,,,
,,,,4000,"3,3","291,3",,55-60,"3,7",,"325,6",45-50,,,,
 ,Джиббитс,"Материал: ПВХ
Длина: 2 х 2 см
Упаковка: индивидуальный пакет
Примечание от фабрики: необходимо уточнить стоимость после проработки макета и производства образца"," Дизайн: индивидуальная форма, выкрас в пантон",300,"0,9","81,7","666,2",35-40,"1,0","745,5","83,2",25-30,12 010,7,17-19,
,,,,500,"0,7","61,4","592,2",,"0,7","671,5","62,9",,,,,
,,,,1000,"0,5","46,8","524,4",,"0,6","603,7","48,3",,,,,
,,,,2000,"0,5","40,8","499,5",,"0,5","578,8","42,3",,,,,
,,,,3000,"0,4","38,0","488,7",,"0,5","568,0","39,5",,,,,
,Основа для джиббитсов,"Материал: ПВХ
Длина: 15 х 14 х 1 см
Кол-во отверстий: 9 шт
Упаковка: индивидуальный пакет
Примечание от фабрики: необходимо уточнить стоимость после проработки макета и производства образца",,300,"6,6","584,5",,40-45,"7,5",,"662,3",30-35,33 990,7,17-19,
,,,,500,"6,0","530,8",,,"6,9",,"608,6",,,,,
,,,,1000,"5,4","477,6",,,"6,3",,"555,4",,,,,
,,,,2000,"5,2","458,7",,,"6,1",,"536,5",,,,,
,,,,3000,"5,1","450,7",,,"6,0",,"528,5",,,,,
,Шеврон с велкро,"Материал: оксфорд
Размер: 5 х 5 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: необходимо уточнить стоимость после проработки макета и производства образца"," Дизайн: индивидуальная форма, вышивка, в наборе 6 шт",300,"4,9","433,0",,40-45,"5,1",,"446,1",30-35,"1 дизайн: 3650
6 дизайнов: 14250",2,12-14,
,,,,500,"4,0","353,5",,,"4,2",,"366,7",,,,,
,,,,1000,"3,7","326,0",,,"3,9",,"339,2",,,,,
,,,,2000,"3,3","294,3",,,"3,5",,"307,5",,,,,
,Шеврон на липкой основе,"Материал: оксфорд
Размер: 5 х 5 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: необходимо уточнить стоимость после проработки макета и производства образца"," Дизайн: индивидуальная форма, вышивка, в наборе 6 шт",300,"4,0","355,8",,,"4,2",,"368,9",,,,,
,,,,500,"3,7","327,7",,,"3,9",,"340,9",,,,,
,,,,1000,"3,4","300,3",,,"3,6",,"313,5",,,,,
,,,,2000,"3,1","273,7",,,"3,3",,"286,9",,,,,
," 


Мульти-тройник для зарядки


","Материал: ABS, нейлон
Размер: 1.2 м
Упаковка: ОПП пакет или коробка
Примечание от фабрики: можно выбрать варианты упаковки (доп фото)"," Дизайн: лазерная гравировка логотипа, лого с подсветкой",500,"3,5","308,2",,35-40,"3,7",,"326,3",25-30,7 250,2,12-14,
,,,,1000,"3,5","303,9",,,"3,6",,"322,1",,,,,
,,,,2000,"3,4","300,5",,45-50,"3,6",,"318,6",35-40,,,,
,,,,4000,"3,3","287,2",,,"3,4",,"305,3",,,,,
," 


Мульти-тройник для зарядки


","Материал: сплав, нейлон
Размер: 14 см (за доп плату можно удлинить)
Упаковка: ОПП пакет 
"," Дизайн: лазерная гравировка логотипа, лого с подсветкой",500,"2,7","239,7",,30-35,"2,9",,"251,3",20-25,6 050,4,14-16,
,,,,1000,"2,7","235,4",,,"2,8",,"245,1",,,,,
,,,,2000,"2,6","229,4",,40-45,"2,7",,"241,1",30-35,,,,
,,,,4000,"2,5","216,1",,,"2,6",,"227,7",,,,,
,Светящийся в темноте плед,"Материал: фланель
Размер: 152 х 127 см
Упаковка: пакет
", Дизайн: сток,500,"16,9","1555,2",,45-50,"19,9",,"1849,5",35-40,7 550,2,12-14,
,,,,1000,"16,8","1548,4",,,"19,8",,"1842,7",,,,,
,,,,2000,"16,1","1475,4",,50-55,"19,1",,"1769,7",40-45,,,,
,,,,4000,"15,4","1423,5",,,"18,4",,"1717,8",,,,,
,Светящийся в темноте плед 2,"Материал: фланель
Размер: 150 х 200 см
Упаковка: пакет
", Дизайн: размер пледа и узор по макету,1000,"22,2","2056,1",,45-50,"26,5",,"2474,6",35-40,21 850,7,17-19,
,,,,2000,"22,1","2041,5",,,"26,4",,"2460,1",,,,,
,,,,4000,"21,6","2000,1",,65-70,"25,9",,"2418,8",55-60,,,,
,Коврик для йоги,"Материал: TPE
Размер: 185 х 90 см, толщина 6-8 мм
Упаковка: сток пакет
Примечание от фабрики: не рвется, не оставляет следов от ногтей", Дизайн: сток,500,"23,1","2129,1",,30-35,"27,1",,"2499,3",20-25,8 250,2,12-14,
,,,,1000,"23,1","2122,2",,,"26,9",,"2492,4",,,,,
,,,,2000,23,"2116,2",,,"26,8",,"2486,4",,,,,
,,,,4000,"22,9","2105,5",,,"26,7",,"2475,7",,,,,
,Коврик для йоги 2,"Материал: TPE
Размер: 183 х 61 см, толщина 6 мм
Упаковка: сток пакет
Примечание от фабрики: не рвется, не оставляет следов от ногтей", Дизайн: полноцветная печать на одной стороне,500,"18,1","1652,2",,45-50,"20,6",,"1899,1",35-40,12 300,7,17-19,
,,,,1000,18,"1645,3",,,"20,6",,"1892,2",,,,,
,,,,2000,"17, 9","1639,3",,65-70,"20,5",,"1886,2",55-60,,,,
,,,,4000,"17,8","1628,6",,,"20,4",,"1875,5",,,,,
 ,"Надувной бивак
","Материал:  Экологически чистый ПВХ
Размер: 190 х 70 см
Упаковка: сток пакет
", Дизайн: сток,100,"9,6","845,7",,40-45,"11,5",,"1014,4",30-35,6 200,3,13-15,
,,,,500,"9,5","831,3",,,"11,4",,"1000,0",,,,,
,,,,1000,"9,4","829,5",,,"11,3",,"998,2",,,,,
,,,,2000,"9,4","828,6",,,"11,3",,"997,3",,,,,
,,,,4000,"9,4","828,2",,,"11,3",,"996,9",,,,,
 ,Мульти тройник для зарядки,"Материал: пластик 
Размер: 1 м
Разъём: Mini USB, Type-C, другие
Максимальная выходная мощность: 15 Вт
Упаковка: сток пакетик", Дизайн: сток,100,"4,5","392,1",,40-45,"4,6",,"405,7",30-35,6 000,3,13-15,
,,,,500,"4,3","377,7",,,"4,5",,"391,3",,,,,
,,,,1000,"4,3","375,9",,,"4,4",,"389,5",,,,,
,,,,2000,"4,3","375,0",,,"4,4",,"388,6",,,,,
,,,,4000,"4,3","374,6",,,"4,4",,"388,2",,,,,
