,"Менеджер: 
Email: 
Телефон: ",,"Прокопова Елена
elena.p@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
,Носки высокие с вышивкой ,"Материал: 70% хлопок, 20% полиэстера и 10% спандекса
Размер: на выбор клиента
Упаковка: пакет 
",Дизайн: логотип вышивка один цвет,500,"4,3","363,9","181 950,00",40-45,"4,5","376,2","188 080,00",30-35,6 650,7,17-19,
,кепка с вышивкой ,"Материал: Хлопок
Размер: стандартный взрослый, 57 см
Упаковка: пакет 
",Дизайн: вышивка 1 штука ,500,"10,1","845,8","422 920,00",60-65,"10,6","891,5","445 755,00",50-55,7 850,7,17-19,
,Худи с капюшоном  (с вышивкой),"Материал: футер трехнитка CEMSA, 100% хлопок, 450гр
Размер:  s-3xl
Упаковка: пакет ",Дизайн: вышивка 1 штука ,500,"50,1","4211,9","2 105 950,00",55-60,"53,5","4497,5","2 248 750,00",45-50,22000 (если к образцу добавить бирки и составник + 4000),7,17-19,
,футболка ,"Материал: хлопок, 260гр
Размер:  s-3xl
Упаковка: пакет ","Дизайн: печать картинки/лого, тканевая бирка внизу футболки, бирка на рукаве ",500,"18,5","1553,1","776 545,00",55-60,"20,0","1676,9","838 425,00",45-50,19000 (если к образцу добавить бирки и составник + 4000),7,17-19,
,футболка ,"Материал: хлопок, 260гр
Размер:  s-3xl
Упаковка: пакет ","Дизайн: вышивка картинки/лого, тканевая бирка внизу футболки, бирка на рукаве ",500,"18,8","1577,7","788 835,00",55-60,"20,3","1701,4","850 715,00",45-50,19000 (если к образцу добавить бирки и составник + 4000),7,17-19,
,футболка ,"Материал: хлопок 100%, интерлок PIMA 260гр
Размер:  s-3xl
Упаковка: пакет 
Примечание от фабрики: ","Дизайн: печать картинки/лого, тканевая бирка внизу футболки, бирка на рукаве ",500,"22,6","1897,1","948 560,00",55-60,"24,1","2020,9","1 010 440,00",45-50,19000 (если к образцу добавить бирки и составник + 4000),7,17-19,
,,,"Дизайн: вышивка картинки/лого, тканевая бирка внизу футболки, бирка на рукаве ",500,"23,5","1970,8","985 420,00",55-60,"24,9","2094,6","1 047 300,00",45-50,,,,
,футболка ,"Материал: хлопок 100%, интерлок Кос 200-220гр
Размер:  s-3xl
Упаковка: пакет 
Примечание от фабрики: ","Дизайн: печать картинки/лого, тканевая бирка внизу футболки, бирка на рукаве ",500,"18,2","1528,5","764 260,00",55-60,"19,,67","1652,3","826 140,00",45-50,19000 (если к образцу добавить бирки и составник + 4000),7,17-19,
,,,"Дизайн: вышивка картинки/лого, тканевая бирка внизу футболки, бирка на рукаве ",500,"19,1","1602,2","801 120,00",55-60,"20,6","1726,0","863 000,00",45-50,,,,
,джиббитсы,"Материал: pvc
Размер:  3см. в длинну 
Упаковка: пакет                                      Примечание: цена за шт ",Дизайн: по референсу  (5шт в наборе),2500,"0,7","54,5","136 350,00",40-45 ,"0,7","56,3","140 800,00",30-35,9000 (одна модель),7,17-19,
 ,футболка ,"Материал: хлопок, 200-220гр
Размер:  s-3xl
Упаковка: пакет 
","Дизайн: дтф на груди, флекстран по низу изделия, бирка, составник",100,"25,9","2224,9","222 489,00",50-55,"27,0","2317,7","231 771,00",40-45,"
19000 (если к образцу добавить бирки и составник + 4000)
",7,17-19,
,,,,200,"24,0","2069,0","413 790,00",50-55,"25,1","2161,8","432 354,00",40-45,,,,
,,,,500,"17,5","1516,4","758 205,00",55-60,"18,6","1609,2","804 615,00",45-50,,,,
,,,,1000,"16,0","1391,8","1 391 840,00",55-60,"17,1","1484,7","1 484 660,00",45-50,,,,
 ,футболка ,"Материал: хлопок, 260гр
Размер:  s-3xl
Упаковка: пакет 
","Дизайн: дтф на груди, флекстран по низу изделия, бирка, составник",100,"29,4","2469,8","246 977,00",50-55,"30,5","2562,6","256 259,00",40-45,"19000 (если к образцу добавить бирки и составник + 4000)
",7,17-19,
,,,,200,"27,6","2313,8","462 766,00",50-55,"28,7","2406,7","481 330,00",40-45,,,,
,,,,500,"21,0","1761,3","880 645,00",55-60,"22,1","1854,1","927 055,00",45-50,,,,
,,,,1000,"19,5","1636,7","1 636 720,00",55-60,"20,6","1729,5","1 729 540,00",45-50,,,,
 ,футболка полуоверсайз белого цвета,"Материал: хлопок 100%, интерлок Кос 200-220гр
Размер:  s-3xl
Упаковка: пакет 
Примечание от фабрики: ","Дизайн: дтф на груди, флекстран по низу изделия, бирка, составник",100,"27,9","2346,9","234 690,00",50-55,"29,0","2439,7","243 972,00",40-45,"19000 (если к образцу добавить бирки и составник + 4000)
",7,17-19,
,,,,200,"25,9","2190,7","438 134,00",50-55,"27,0","2271,5","454 298,00",40-45,,,,
,,,,500,"18,9","1589,3","794 635,00",55-60,"20,0","1682,1","841 045,00",45-50,,,,
,,,,1000,"17,4","1464,7","1 464 710,00",55-60,"18,5","1557,5","1 557 530,00",45-50,,,,
 ,футболка полуоверсайз черного цвета,"Материал: хлопок 100%, интерлок PIMA 260гр
Размер:  s-3xl
Упаковка: пакет 
Примечание от фабрики: ","Дизайн: дтф на груди, флекстран по низу изделия, бирка, составник",100,"30,0","2517,2","251 721,00",50-55,"31,1","2610,0","261 003,00",40-45,"19000 (если к образцу добавить бирки и составник + 4000)
",7,17-19,
,,,,200,"29,3","2461,3","492 254,00",50-55,"30,4","2554,1","510 818,00",40-45,,,,
,,,,500,"22,1","1859,6","929 790,00",55-60,"23,2","1952,4","976 200,00",45-50,,,,
,,,,1000,"20,7","1735,0","1 735 010,00",55-60,"21,8","1827,8","1 827 830,00",45-50,,,,
 ,свитшот полуоверсайз черного цвета Premium,"Материал: футер трехнитка CEMSA, 100% хлопок, 450гр
Размер:  s-3xl
Упаковка: пакет 
","Дизайн: дтф на груди, флекстран по низу изделия, бирка, составник",100,"41,3","3469,9","346 992,00",50-55,"43,0","3612,7","361 272,00",40-45,22000 (если к образцу добавить бирки и составник + 4000),7,17-19,
,,,,200,"38,6","3239,0","647 796,00",50-55,"40,3","3381,8","676 356,00",40-45,,,,
,,,,500,"35,6","2992,3","1 496 150,00",55-60,"37,3","3135,1","1 567 550,00",45-50,,,,
,,,,1000,"33,4","2808,6","2 808 580,00",55-60,"35,1","2951,4","2 951 380,00",45-50,,,,
