,"Менеджер: Борисова Александра
Email: sashab@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,3D-ручка,"Материал: ABS
Размер: 18*2.2*2.1cm
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: с нанесением логотипа при помощи шелкографии,100,"10,1","858,9",40-45,"11,7","990,7",30-35,8 446,5,15-17,
,,,,,,,,,,,,,,
 ,Набор «Учимся считать»,"Материал: дерево
Размер: 280*100mm
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн:  с нанесением логотипа при помощи шелкографии либо при помощи лазерной печати ,100,"10,10","858,9",40-45,"11,66","990,7",30-35,8 144,5,15-17,
,,,,,,,,,,,,,,
 ,Набор «Учимся вязать»,"Материал: дерево
Размер: 16*10cm
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн:  с нанесением логотипа при помощи лазерной гравировки ,100,"4,8","408,3",35-40,"5,2","443,2",25-30,2 946,7,17-19,
,,,,,,,,,,,,,,
 ,"Раскраска-антистресс
","Материал: бумага
Размер: 18,1*18,5cm
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн:  с нанесением логотипа при помощи 3D-наклейка,100,"1,5","124,5",35-40,"1,8","156,8",25-30,7 837,7,17-19,
,,,,,,,,,,,,,,
 ,"Раскраска-антистресс
","Материал: бумага
Размер: 18,1*18,5cm
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн:  с нанесением логотипа при помощи цветной печати,1000,"2,5","211,5",45-50,"2,9","243,8",35-40,11 933,10,20-22,
,,,,,,,,,,,,,,
 ,"наушники
","Материал: пластик
Размер: cm
Упаковка: инд пакет
Примечание от фабрики: Дальность передачи Bluetooth: 15 м Характеристики динамика: динамик с медным кольцом F13 Емкость аккумулятора зарядного устройства: 601230-200 мАч Емкость аккумулятора наушников: 400911-28 мАч Рабочий ток: 5 мА Ток в режиме ожидания: 4 мкА Время работы в режиме ожидания: 130 ч
Время разговора: 5 ч. Время прослушивания музыки: 5 ч. Время зарядки: 1 ч.", Дизайн:  с нанесением логотипа при помощи цветной печати,100,"12,0","1019,2",45-50,"12,4","1052,1",35-40,3 747,5,15-17,
,,,,,,,,,,,,,,
 ,"наушники
","Материал: пластик
Размер: 23.5 * 18.8mm 
Упаковка: инд пакет
Примечание от фабрики:
[Версия Bluetooth]: 5.3
[Интерфейс зарядки]: Type-C
[Входной ток): DC 5 В
[Выходной ток]: 3,7 В/50 мА·ч
[Сигнал]: высококачественный медный рупор диаметром 13 мм
[Аккумулятор наушников]: 30 мА·ч*2 [Емкость аккумулятора зарядного устройства]: полимерный 230 мА·ч с защитной пластиной
[Воспроизведение музыки]: около 6 часов одиночного воспроизведения
[Время разговора: 5-6 часов
[Время зарядки]: 60 минут
[Диапазон работы беспроводной связи]: < 15 м (без барьеров)
", Дизайн:  с нанесением логотипа при помощи лазерной печати,1000,"8,7","738,8",35-40,"9,2","780,1",25-30,5 871,5,15-17,
