,"Менеджер: Котелевская Анна
Email: annakot@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Ежедневник,"Формат: A5
Кол-во листов: 80 (всего 160 страниц)
Бумага: офсетная, молочно-белая, 70 г/м²
Внутренний блок: в линейку, без дат, текста и других элементов, форзац цветной, кармашек для заметок
Обложка:
– Материал: искусственная кожа, soft-touch
– Цвет: красный, близкий к Pantone 185C
– Резинка: красная, в цвет обложки, близкий к Pantone 185C
Упаковка: индивидуальная, прозрачный пакет с клеевым клапаном
Примечание от фабрики: необходимо подтверждение по образцу ", Дизайн: полноцветная по макету,50,"7,7","655,8",50-55,"8,7","738,6",40-45,8 200,7,17-19,
,,,,100,"5,7","484,7",,"6,7","567,5",,,,,
,,,,300,"5,0","421,8",,"5,9","504,6",,,,,
,,,,500,"4,5","383,7",,"5,5","466,5",,,,,
,,,,1000,"4,1","348,6",,"5,1","431,4",,,,,
,,,,3000,"3,7","316,8",,"4,7","399,6",,,,,
Обновление стоимости 28.07,,,,,,,,,,,,,,
 ,Ежедневник,"Формат: A5
Кол-во листов: 80 (всего 160 страниц)
Бумага: офсетная, молочно-белая, 70 г/м²
Внутренний блок: в линейку, без дат, текста и других элементов, форзац цветной, кармашек для заметок
Обложка:
– Материал: искусственная кожа, soft-touch
– Цвет: красный, близкий к Pantone 185C
– Резинка: красная, в цвет обложки, близкий к Pantone 185C
Упаковка: индивидуальная, прозрачный пакет с клеевым клапаном
Примечание от фабрики: необходимо подтверждение по образцу ", Дизайн: полноцветная по макету,50,"7,1","604,6",50-55,"8,1","687,4",40-45,8 200,7,17-19,
,,,,100,"5,4","459,1",,"6,4","541,9",,,,,
,,,,300,"4,7","396,2",,"5,6","479,0",,,,,
,,,,500,"4,4","370,9",,"5,3","453,7",,,,,
,,,,1000,"3,8","323,1",,"4,8","405,8",,,,,
,,,,3000,"3,4","291,2",,"4,4","374,0",,,,,
