,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,ТЗ,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Музыкальная шкатулка,Предложить варианты от фабрки (не очень большая - 10*15 см примерно) ,"Материал: древесина грецкого ореха 
Размер: 14*9*6 см
Упаковка: инд коробка 
Примечание от фабрики: три цвета дерева в доп. фото ", Дизайн: гравировка логотипа ,1000,"37,1","3155,1",70-75,"39,3","3342,1",60-65,6 800,4,14-16,
 ,Праксиоскоп,"https://giftdev.ru/catalog/praksinoskop-spinner?ysclid=ma178zwtz2318254941
 ","Нет такой позиции, фабрики не готовы уходить в разработку с 0", Дизайн: ,500,,,,,,,,,10-12,
,,,,,,,,,,,,,,,
,"Хрустальная рамка
для фото 10х15",,"Материал: хрусталь
Размер: 160*210*110 mm
Упаковка: безопасная упаковка", Дизайн: сток,500,"76,1","6469,9",75-90,"91,0","7733,4",65-80,15 900,8,18-20,
,,,,,1000,"70,6","6001,1",75-90,"84,6","7194,5",65-80,,,,
 ,"Хрустальная рамка
для фото 10х15","Считаь у этого завода
https://www.cmcrystal.com/ 

Материал: хрусталь
ормат фотографии - 10*15 см

Прислать подборку от этого завода, что еще могут сделать? - попросит ль от личного кабинета этой фабрики","Материал: хрусталь
Размер: 160*210*110 mm
Упаковка: безопасная упаковка"," Дизайн: сток (изготовление по форме согласно главному фото, в доп фото пример работ из наличия)",500,"76,1","6469,9",75-90,"91,0","7733,4",65-80,15 900,8,18-20,
,,,,,1000,"70,6","6001,1",75-90,"84,6","7194,5",65-80,,,,
 ,"Хрустальные медальоны





","Размеры игрушек: 8 см. Материал: хрусталь с покрытием глянец. Крепление: шнур золотого цвета, декоративная кисточка-подвес.

Будет новая форма внутри ","Материал: хрусталь
Размер: 8 см
Упаковка: безопасная упаковка
Примечание от фабрики: есть ограничения по цветам 
Цвет: прозрачный

Цвет влияет на цену

Цена указана без открытия формы (открытие формы учтено в цене образца, так как предполагается запуск через сигнальный образец)", Дизайн: изготовление по макету клиента из доступных цветов,1000,"13,3","1129,2",90-95,"14,1","1200,4",80-85,26 000,15-20,25-32,
,,,,,1500,"13,2","1120,2",90-95,"14,0","1190,9",80-85,,,,
,,,,,2000,"12,4","1051,8",90-95,"13,2","1119,4",80-85,,,,
,,,,,3000,"11,3","958,2",90-95,"12,0","1022,3",80-85,,,,
,,,,,4000,"11,3","958,2",90-95,"12,0","1022,3",80-85,,,,
,,,,,5000,"10,5","894,5",90-95,"11,3","956,8",80-85,,,,
,,,,,6000,"10,5","894,5",90-95,"11,3","956,8",80-85,,,,
,,,,,10000,"9,8","832,9",90-95,"10,5","893,5",80-85,,,,
 ,"Хрустальные кольца для салфеток 


","""Материл: хрусталь

Считаь у этого завода
https://www.cmcrystal.com/ 

Расчитывали ранее""

","Материал: хрусталь
Размер: 60*60*40 mm
Упаковка: безопасная упаковка
Цвет: бордовый
Примечание от фабрики: цвет хрусталя влияет на цену", Дизайн: сток (бордовый цвет),500,"15,7","1334,2",75-90,"16,8","1425,6",65-80,5 000,12,22-24,
,,,,,1000,"15,2","1294,4",75-90,"16,3","1385,9",65-80,,,,
,,,,,2000,"14,0","1185,8",75-90,"15,0","1272,2",65-80,,,,
