,"Менеджер: Лактистова Наталья
Email: nataliya@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Подставка для телефона,"Материал: акрил
Размер: 6,5*9*6,5см
Упаковка: OPP пакет
Примечание от фабрики: изготовление под заказ", Дизайн: цветная УФ печать лого/рисунка в нескольких местах,2000,"2,5","260,0",40-45,,,,"7 000,00","Фото/видео: 4-5 календ.дней
Доставка: 12-14 календ.дней",
,,,,5000,"2,44",250,45-50,,,,,,
,,,,10000,"2,3","236,0",55-60,,,,,,
 ,Стакан,"Материал: пластик
Объем: 475мл
Упаковка: без индивидуальной упаковки
Примечание от фабрики: настройка цвета по номеру pantone", Дизайн: шелкография лого 1 цвет с двух сторон,2000,"1,0","107,0",40-45,,,,"19 700,00","Фото/видео: 8-9 календ.дней
Доставка: 12-14 календ.дней",
 ,Рулетка,"Материал: Пластик
Размер: 1,5 м, корпус, 7.2✖️7.2✖️2.2cm
Упаковка: ОРР упаковка
Примечание от фабрики: ", Дизайн: Печать 1+2,4000,"1,3","135,4",55-60 календарных дней,,,,"13 700,00 ","фото/видео: 7 календ.дней,доставка: 21-25 календ.дней",
 ,Брошь,"Материал: сплав металла
Размер: 5,3х3,3
Упаковка: прозрачный пакет
Примечание от фабрики: ", Дизайн: гравировка логотипа на обратной стороне,1000,"1,4","143,0",40-45,,,,"8 000,00","7-10 фото/видео

12-14 доставка в Москву",
,,,,4000,"1,33","136,24",40-45,,,,,,
 ,Значок,"Материал: серебристый сплав металла
Размер: 20х15х2 мм
Упаковка: прозрачный пакет
", Дизайн: двухцветная эмаль,100,"5,6","563,1",50-55,,,,"21 200,00","7-10 фото/видео

12-14 доставка в Москву",
,,,,200,"3,51","355,08",50-55,,,,,,
 ,Багажная бирка,"Материал: искусственная кожа
Размер: 12х5 см
Упаковка: прозрачный пакет
"," Дизайн: тиснение логотпа с двух сторон, 10х2,5 см",3000,"1,3","133,4",50-55,,,,"8 200,00","10-12 фото/видео

12-14 доставка в Москву",
 ,Ручка,"Материал: пластик, покрытие софт-тач
Размер: 
Упаковка: без индивидуальной упаковки
", Дизайн: тампопечать с двух сторон,5000,"0,2","25,3",40-45,,,,"8 000,00","5-7 фото/видео

12-14 доставка в Москву",
 ,Картхолдер,"Материал: искусственная кожа, покрытие софт-тач 
Размер: 102х82 мм
Упаковка: прозрачный пакет
Три отделения для карточек", Дизайн: УФ-печать в один цвет с двух сторон,4000,"1,4","137,4",50-55,,,,"9 800,00","5-7 фото/видео

12-14 доставка в Москву",
 ,Картхолдер,"Материал: искусственная кожа
Размер: 9,7х6,3х0,3 см
Упаковка: прозрачный пакет
Примечание от фабрики: 3 отделения", Дизайн: тиснениелоготипа 3х5 см,2000,"2,2","217,8",55-60,,,,"8 200,00","Фото/видео: 4-5 календ.дней
Доставка: 12-14 календ.дней",
,,,,3000,"2,12","211,99",55-60,,,,,,
,,,,6000,"2,1","206,2",55-60,,,,,,
 ,Настольное покрытие,"Материал: ПВХ прозрачный 500мкм
Размер: 600х430 мм
Упаковка: без индивидуальной упаковки
", Дизайн: УФ печать 10х10 см,8000,"4,1","424,1",50-55,,,,"4 500,00","5-7 фото/видео

12-14 доставка в Москву",
 ,Настольное покрытие,"Материал: полипропилен 350мкм
Размер: 600х430 мм
Упаковка: без индивидуальной упаковки
", Дизайн: офсетная печать 10х10 см,8000,"1,4","141,0",50-55,,,,"47 000,00","5-7 фото/видео

12-14 доставка в Москву",
 ,Ручка,"Материал: пластик
Размер: 145х10 мм
Упаковка: без индивидуальной упаковки
Примечание от фабрики: круглая форма, один цвет"," Дизайн: УФ печать, три места нанесения",10000,"0,3","26,3",50-55,,,,"11 300,00","Фото/видео: 4-5 календ.дней
Доставка: 12-14 календ.дней",
,,,,20000,"0,24","25,38",55-60,,,,,,
,,,,50000,"0,2","25,0",60-65,,,,,,
 ,Ручка,"Материал: пластик
Размер: 145х10 мм
Упаковка: без индивидуальной упаковки
Примечание от фабрики: круглая форма, ручка одного цвета, клип другого, белый+фиолетовый"," Дизайн: УФ печать, три места нанесения",10000,"0,2","25,7",60-65,,,,"8 300,00","Фото/видео: 4-5 календ.дней
Доставка: 12-14 календ.дней",
,,,,20000,"0,24","25,08",65-70,,,,,,
,,,,50000,"0,2","24,7",70-75,,,,,,
