,"Менеджер: Ришат Зарипов
Email: rishat.zar@megamind.ru 
Телефон: +7 (925) 006-35-05",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Надувной круг,"Диаметр до надувания / после: 93 см / 80 см
Цвет и лого по макету
Упаковка: пластиковый пакет",500,"7,6","708,2","20-25 кд - производство
+15-17 кд - доставка","16 914,52 ₽","5-7 кд - фото+видео
+10-12 кд - доставка",
,,"Диаметр до надувания / после: 93 см / 80 см
Цвет и лого по макету
Упаковка: пластиковый пакет","1000
2000","6,59
6,42","602,68
587,61","20-25 кд - производство
+25-30 кд - доставка","16 914,52 ₽","5-7 кд - фото+видео
+10-12 кд - доставка",
,,"Диаметр до надувания / после: 100 см / 90 см
Цвет и лого по макету
Упаковка: пластиковый пакет","1000
2000","8,52
8,18","779,44
748,57","20-25 кд - производство
+25-30 кд - доставка","16 914,52 ₽","5-7 кд - фото+видео
+10-12 кд - доставка",
,Пляжный зонт,"Материал: полиэстер 210т
Размер: 2,2 м
Съемная ножка

Кастом: полная запечатка",1000,"53,46","4 866,41 ₽",50-53 кд,"18950,70",15-17 кд,
,Ланчбокс,"Материал: пластик
Объём: 1200 мл
Упаковка в опп-пакетик

Кастом: выкрас в пантон клиента (только от 3000шт.)",3000,"4,10","376,05 ₽",45-50 кд,"9475,17",17-19 кд,
,Солнечные очки,"Материал: пластик
Унисекс

Кастом: выкрас в пантон клиента ",1000,"2,39","211,45 ₽",45-60 кд,"9694,41",17-19 кд,
,,,1000,"2,39","211,45 ₽",,"9694,41",,
,Воздушный змей,"Материал: оксфорд
Упаковка в опп-пакетик
Складывается
Длина верёвки 80м

Кастом: цветная запечатка",1000,"4,30","381,92 ₽",40-45 кд,"7508,36",13-15 кд,
,,"Материал: полиэстер
Размер: см. доп. фото
Упаковка в опп-пакетик
Складывается
Длина верёвки 100м

Кастом: цветная запечатка",1000,"3,56","317,17 ₽",35-45 кд,"5917,22",14-16 кд,
,,"Материал: полиэстер
Размер: см. доп. фото
Упаковка в опп-пакетик
Складывается
Длина верёвки 300м

Кастом: цветная запечатка",1000,"6,19","546,23 ₽",,,,
,Термос,"Материал: сталь 304, пластик
Цвет: выкрас в пантон металлических и пластиковых частей
шелкография 1-2 цвета,  лазер
Объем: 2300мл
",1000,"36,17","3146,81 + 6700 открытие формы",65-70 кд,"37886,3",22-24 кд,
,Сумка-холодильник,"Материал: оксфорд, PEVA
Цвет: выкрас в пантон
Термопечать
Объем: 19л",1000,"11,3","982,75",55-60 кд,"13028,89",19-21 кд,
,Надувной матрас,"Мутериал: пвх
Цвет: выкрас в пантон
Размер:",2000,"8,0","694,9",40-45 кд,"28178,07",17-19 кд,
