,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Ручка ,"Материал: пластик
Брендирование: выкрас (пантон 389С), печать лого 1+1",3000,"0,3","30,3",40-45 дней,"0,4","33,1",30-35 дней,14490,17-20 дней,
,,,5000,"0,3","26,1",,"0,3","28,8",,,,
,Зонт,"Автоматический
Двухслойный, купол с запечаткой с двух сторон
Печать на 2х клиньях в 3 цвета
Чехол с запечаткой
Шнурок: салатовый",250,"14,7","1349,9",50-55 дней,"16,9","1553,2",40-45 дней,20670,17-20 дней,
,,,300,"14,7","1345,7",,"16,9","1549,1",,,,
,,,500,"14,6","1340,5",,"16,8","1546,8",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,   
