,"Менеджер: Вязовский Иван
Email: ivan@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,круглый рюкзак,"Материал: полиэстер + PU
Подклад: полиэстер
Размер: 36*31*19 см
Упаковка: инд пакет (хороший)
Пуллер: 3-4см
Молния: Тракторная металлическая, тесьма черная"," Дизайн: пвх логотип, запечатка подклада, тиснение на стропе",500,"48,8","4149,2",65-70,"54,1","4595,1",55-60,16 000,10,20-22,
,,,,1000,"48,5","4122,7",65-70,"53,7","4568,5",55-60,,,,
 ,поясная сумка,"Основной материал: PU + полиэстер
Подклад: хлопок
Наполнитель: PP-хлопок 200g
Размер: 25cm x 17cm x 6cm
Пуллер: 3-4см
Молния: Тракторная металлическая, тесьма черная
Упак:овка: инд пакет (хороший)", Дизайн: логотип на стропе,300,"19,1","1624,3",60-65,"20,7","1756,9",50-55,12 000,10,20-22,
,,,,500,"18,8","1597,2",60-65,"20,4","1729,8",50-55,,,,
,,,,1000,"18,4","1561,4",60-65,"19,9","1693,2",50-55,,,,
 ,сумка для телефона,"Материал: полиэстер + PU
Подклад: хлопок
Размер: 20*15*4 см
Ручки: 9*5 см
Упаковка: инд пакет (хороший)
Пуллер: 3-4см
Молния: Тракторная металлическая, тесьма черная"," Дизайн: пвх логотип, ремувка",300,"17,6","1494,9",60-65,"19,0","1611,0",50-55,14 000,10,20-22,
,,,,500,"16,4","1398,2",60-65,"17,8","1514,2",50-55,,,,
,,,,1000,"16,1","1371,6",60-65,"17,5","1487,7",50-55,,,,
 ,рюзкак,"Материал: tpu blazar 
Материал подкладки: полиэстер 135 гр
Материал вставки-наполнителя: пенополиэтилен
Размер рюкзака: 53,5*38*10,5 см
Размер внешнего кармана: 25,5*28 см
Размер лямки: 47*5,6 см
Размер спинки: 27*34 см
Длина водотталкивающей молнии внешнего кармана: 26 см 
Размер внешей кожзам застежки: 2,3 см*35 см
Фурнитура: металлический g-образный карабин, пластиковые фиксаторы лямок
Одно центральное отделение
"," Дизайн: ремувка, флекстран на стропе спереди, желтая сетка, желтая фурнитура",300,"46,9","3988,7",60-65,"53,1","4514,1",50-55,15 000,10,20-22,
,,,,500,"40,0","3400,9",60-65,"45,8","3895,3",50-55,,,,
