,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,Образец не включен в стоимость тиража,,,
Фото,Наименование,ТЗ,Характеристики,Кастом,Серты ,Наценка,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец сток,,Образец,,,Доп. фото
,,,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок с доставкой, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Мини-блендер,"Размер 9*7*2,5 см, 400 мл
Материал пластик","Материал: тритан, метал 
Размер: 9*9*22,7 см 
Упаковка: индивидуальная фабричная коробка 
Примечание от фабрики: 
в наборе к мини блендеру:  провод type-C
"," Дизайн: нанесение лого на блендер 
Размер: 2х2 см",ДС+СС включен в стоимость ,"1,6",500,"14,0","1230,5",35-40,"15,6","1373,1",25-30,3 000,17-19,6 500,5,15-17,
,,,,,,,1000,"11,4","1006,0",,"13,1","1148,5",,,,,,,
,,,,,,,2000,"10,3","905,4",,"11,9","1048,0",,,,,,,
,,,,,,,3000,"9,9","871,2",,"11,5","1013,7",,,,,,,
,,,,,,,5000,"9,6","845,1",,"11,2","987,7",,,,,,,
 ,Игра городки в чехле,"размер бит: 60 см, 230 гр. каждая; размер брусков: 10 см, 40 гр. каждый; диаметр бит и брусков 2,5 см; материал: береза

2 биты, 10 брусков

цвет чехла черный, логотип белый","Материал: береза
Размер: размер бит: 60 см, 230 гр. каждая; размер брусков: 10 см, 40 гр. каждый; диаметр бит и брусков 2,5 см
Чехол: черный, оксфорд, 72*7,5 см
Упаковка: чехол+пакет
Примечание от фабрики: позиция не готовая, производство под заказ, чехол подобран схожий с референсом подходящий по размеру"," Дизайн: нанесение логотипа на чехол шелкография 1 цвет
размер до 5*5 см",СС включен в стоимость,"1,58-1,5",500,,,,,,,,,6 000,5,15-17,
,,,,,,,1000,"16,5","1454,2",40-45,"20,3","1790,3",30-35,,,,,,
,,,,,,,2000,"15,8","1386,5",40-45,"19,7","1729,1",30-35,,,,,,
,,,,,,,3000,"15,5","1360,2",40-45,"19,3","1696,3",30-35,,,,,,
,,,,,,,5000,"14,8","1298,1",50-55,"18,5","1623,4",40-45,,,,,,
 ,Антистресс скульптор,Размер коробки 250 × 60 × 210,"Материал: пластик
Размер: 20*15*5,5 см
Упаковка: фабричная коробка

Минимальный тираж - 500 шт"," Дизайн: гравировка логотипа на стекле
Площадь не ограничена, 20*15 см
",СС включен в стоимость,"1,6/1,55/1,5/1,45/1,4",500,"12,6","1108,9",35-40,"14,6","1281,0",25-30,,,3 500,5,15-17,
,,,,,,,1000,"10,6","933,2",40-45,"12,5","1099,9",30-35,,,,,,
,,,,,,,2000,"9,5","834,8",45-50,"11,3","996,2",35-40,,,,,,
,,,,,,,3000,"8,9","785,0",50-55,"10,7","941,0",40-45,,,,,,
,,,,,,,5000,"8,4","741,0",55-60,"10,1","891,5",45-50,,,,,,
,,,," Дизайн: нанесение лого шелкографией 2 цвета, на стекле, размер до 10*10 см",СС включен в стоимость,"1,6/1,55/1,5/1,45/1,4",500,"11,7","1026,5",35-40,"13,6","1198,6",25-30,,,12 900,7,17-19,
,,,,,,,1000,"9,5","834,6",35-40,"11,4","1001,3",25-30,,,,,,
,,,,,,,2000,"8,4","739,4",35-40,"10,2","900,8",25-30,,,,,,
,,,,,,,3000,"7,8","681,8",45-50,"9,5","837,8",35-40,,,,,,
,,,,,,,5000,"7,3","641,3",45-50,"9,0","791,9",35-40,,,,,,
 ,Кубик Рубика,"Размер 3*3
Материал пластик","Материал: ABS
Размер: 5,9 см
Упаковка: индивидуальная коробка 
Примечание от фабрики: ", Дизайн: индивидуальный рисунок на каждой стороне кубика ,"ДС- 14500

Фактически: нужен СС","1,7",500,,,,,,,1 700,12-15,19 500,10,20-22,
,,,,,,,1000,"1,4","124,2",45-50,"1,7","152,2",35-40,,,,,,
,,,,,,,2000,"1,3","113,1",,"1,6","141,1",,,,,,,
,,,,,,,3000,"1,2","109,0",,"1,6","136,9",,,,,,,
,,,,,,,5000,"1,2","107,4",,"1,5","135,4",,,,,,,
 ,"Магнитная игра ""морской бой""","металлическая коробка с 2 металлическими игровыми полями размером (15х15 см) – 1 шт., размер клетки 1х1 см
• дополнительные ламинированные картонные игровые поля – 2 шт. (14,5 х 14,5 см), размер клетки 1х1 см
• магнитные фишки с изображением кораблей (20 шт., высота 1,2 см, длина от 1,2 до 4,8 см)
• водорастворимые маркеры – 2 шт.
Размер клеток игрового поля 1,5 см.","Материал: пластик, без магнитов
Размер: 15*23,5*13 см
Упаковка: коробка", Дизайн: индивидуальный дизайн коробки,СС включен в стоимость,"1,55/1,5",500,,,,,,,,,11 000,7,17-19,
,,,,,,,1000,,,,,,,,,,,,
,,,,,,,2000,,,,,,,,,,,,
,,,,,,,3000,"6,4","562,8",50-55,"8,3","731,6",40-45,,,,,,
,,,,,,,5000,"6,1","537,7",50-55,"8,0","701,0",40-45,,,,,,
 ,Набор для пикника,,"Материал: пластик
Размер: 22,5*23*11,3 см
Упаковка: индивидуальный пакет
Примечание от фабрики: Минимальный тираж - 500 шт"," Дизайн: нанесение логотипа шелкография 1 цвет на крышку или боковую сторону, размер до 4*4 см",ДС включена в стоимость,"1,7/1,65/1,6/1,55/1,5",500,"14,2","1248,2",35-40,"17,2","1517,5",25-30,,,10 200,10,20-22,
,,,,,,,1000,"13,5","1185,9",35-40,"16,5","1447,3",25-30,,,,,,
,,,,,,,2000,"12,9","1137,6",35-40,"15,8","1391,0",25-30,,,,,,
,,,,,,,3000,"12,5","1098,0",40-45,"15,3","1343,5",30-35,,,,,,
,,,,,,,5000,"12,0","1059,5",45-50,"14,7","1297,1",35-40,,,,,,
 ,"Блокнот
","Формат А6, 80 листов, пружина



","Материал: обложка картон, 80 листов 70 гр, пластиковая пружина
Размер: А6
Упаковка: индивидуальный пакет
Примечание от фабрики: "," Дизайн: печать на обложке, индивидуальная запечатка страниц
А6",не нужны,"1,6/1,55/1,5",500,"3,0","264,5",40-45,"3,4","300,6",35-40,,,8 100,7,17-19,
,,,,,,,1000,"2,9","251,7",40-45,"3,3","287,8",35-40,,,,,,
,,,,,,,2000,"2,5","218,8",45-50,"2,9","253,8",40-45,,,,,,
,,,,,,,3000,"2,3","206,0",60-65,"2,7","241,1",55-60,,,,,,
,,,,,,,5000,"2,1","187,8",60-65,"2,5","221,7",55-60,,,,,,
 ,Игра крестики-нолики,"Размер 7,5*7,5*3,2 см
Материал Дерево","Материал: дерево
Размер: 8,1*8,1*3 см
Упаковка: OPP пакет
Примечание от фабрики: "," Дизайн: нанесение лого на крышку, тампопечать, 2 цвета, 15*15 мм
",Не нужны,"1,6",500,"2,3","204,1",55-60,"2,6","231,3",45-50,,,10 000,10,20-22,
,,,,,,"1,55",1000,"2,1","184,4",55-60,"2,4","210,8",45-50,,,,,,
,,,,,,"1,55",2000,"2,0","171,9",60-65,"2,3","198,3",50-55,,,,,,
,,,,,,"1,5",3000,"1,8","161,6",60-65,"2,1","187,1",50-55,,,,,,
,,,,,,"1,5",5000,"1,8","160,2",65-70,"2,1","185,8",55-60,,,,,,
 ,Набор из 4х игр дерево,,"Материал: дерево
Размер: 35*35*4,5 см
Упаковка: OPP пакет
Примечание от фабрики: 
В наборе ш"," Дизайн: нанесение лого на крышку, шелкография, 2 цвета, 2*2 см",Не нужны,"1,6",от 500,"31,9","2810,1",55-60,"40,0","3522,6",45-50,,,14 000,7,17-19,
,,,,,,"1,55",1000,"30,8","2709,0",55-60,"38,6","3399,2",45-50,,,,,,
,,,,,,"1,55",2000,"30,4","2673,0",60-65,"38,2","3363,2",50-55,,,,,,
,,,,,,"1,53",3000,"30,0","2638,3",60-65,"37,7","3319,6",50-55,,,,,,
,,,,,,"1,5",5000,"29,4","2586,4",65-70,"37,0","3254,3",55-60,,,,,,
 ,Чехол папка для ноутбука и документов,,"Материал: нейлон
Размер: есть разные размеры от 11 до 16 дюйм
Упаковка: OPP пакет
"," Дизайн: нанесение лого, шелкография 2 цвета, 2*2 см",ДС = 14 500 руб,"1,65",500,"8,4","735,9",45-50,"9,7","854,4",35-40,4 500,15-17,10 000,7,17-19,
,,,,,,"1,6",1000,"8,1","712,0",50-55,"9,4","826,9",40-45,,,,,,
,,,,,,"1,55",2000,"7,8","689,0",55-60,"9,1","800,3",45-50,,,,,,
,,,,,,"1,53",3000,"7,7","679,9",55-60,"9,0","789,7",45-50,,,,,,
,,,,,,"1,5",5000,"7,6","666,3",60-65,"8,8","774,1",50-55,,,,,,
 ,Коврик для мышки,,"Материал: PVC
Размер: 21*25 см
Упаковка: нидивидуальный пакет 
Примечание от фабрики: 
минимальный тираж 1000 шт "," Дизайн: нанесение лого- термотрансферная печать
Нанесение на всю поверхность ",ДС- 14500 ,,500,-,-,-,-,-,-,2 000,12-15,6 500,5,15-17,
,,,,,,,1000,"1,3","113,5",40-45,"1,7","146,4",30-35,,,,,,
,,,,,,,2000,"1,3","110,1",,"1,6","143,0",,,,,,,
,,,,,,,3000,"1,2","107,3",,"1,6","140,2",,,,,,,
