,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб",цена за шт без ндс,"Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Термопакет,"Материал: ФБ 76г/м2
Размер: 25*15*46см
Цвет: белый
Примечание от фабрики: возможна отгрузка по 50тыс.шт. ", Дизайн: нанесение с двух сторон 1 цвет,50000,"0,41","41,95","34,96",60-65 ,,,,26 000,16,26-28,
,,,,100000,"0,39","40,39","33,66",90-95,,,,,,,
,,,,150000,"0,38","39,56","32,97",110-115,,,,,,,
,,,,200000,"0,38","38,89","32,41",130-135,,,,,,,
,,,,500000,"0,38","38,73","32,28",170-175,,,,,,,
,,,,1500000,"0,37","38,25","31,88",215-220,,,,,,,
,,,,2000000,"0,37","38,12","31,77",240-245,,,,,,,
,,,,2500000,"0,37","37,96","31,63",270-275,,,,,,,
