,"Менеджер: Казакова Екатерина
Email: kate.k@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Наушники в магнитном кейсе,"Материал: АБС
Размер: 5.8*5.8*2.2 см
Упаковка: заводская коробка
Примечание от фабрики: лазерная гравировка - мин тираж 100 шт
шелкография - мин тираж 1000 шт", Дизайн: лазерная гравировка\шелкография 2 цвета,100,"18,3","1901,0",40-45,,,,5 000,7,17-19,
,,,,1000,"15,1","1569,3",50-55,,,,,,,
 ,Флешка,"Материал: цинковый сплав
Размер: 59*15.6*8.8 мм
Упаковка: заводская упаковка
Примечание от фабрики: мин тираж - 100 шт
64 ГБ", Дизайн: лазерная гравировка,100,"19,2","2047,8",40-45,,,,4 000,7,17-19,
 ,"Флешка

(альтернативный способ доставки)","Материал: цинковый сплав
Размер: 59*15.6*8.8 мм
Упаковка: заводская упаковка
Примечание от фабрики: мин тираж - 100 шт
64 ГБ", Дизайн: лазерная гравировка,100,"13,8","1433,4",40-45,,,,4 000,7,17-19,
 ,"Пауэрбанк с функцией багажных весов
","Материал: АБС, аллюминий, литий-ионный аккумулятор
Размер:  153*35*38 мм
Упаковка: заводская упаковка
Примечание от фабрики: мин тираж - 500 шт

Ёмкость аккумулятора 5200 mAh
Весы способны выдержать вес до 50 кг
Также есть функция фонарика", Дизайн: лого 2 цвета,500,"17,1","1786,4",70-75,,,,12 000,12,22-24,
 ,Прозрачный чехол для чемодана,"Материал: ПВХ
Размер: размерная сетка в доп фото
Упаковка: заводская упаковка
Примечание от фабрики: мин тираж - 500 шт

Цена зависит от размера чехла. В данном случае цена на чехол на 26-дюймовый чемодан.", Дизайн: лого 2 цвета,500,"7,6","826,0",65-70,,,,10 000,10,20-22,
 ,Отпариватель с 6 режимами глажки,"Материал: АБС
Размер: 184*70*98 мм
Упаковка: заводская упаковка
Примечание от фабрики: мин тираж - 500 шт

Номинальная мощность 1200 Вт
Номинальное напряжение 220 В~
Емкость резервуара для воды 120 мл

Также необходимы ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено", Дизайн: лого 2 цвета,500,"20,6","2 192,63",50-55,,,,14 500,10,20-22,
 ,"Дорожный набор для ухода за обувью

(альтернативный способ доставки)","Материал: ПУ, дерево, жесть, пластик
Размер: 242*72 мм
Упаковка: заводская упаковка
Примечание от фабрики: мин тираж - 1000 шт



", Дизайн: печать 2 цвета,1000,"12,9","1378,8",65-70,,,,28 000,10,20-22,
 ,"Дорожный набор для ухода за обувью

(альтернативный способ доставки)","Материал: ПУ, конский волос, пластик,  дерево, полироль, микрофибра
Размер: 21*17*6 см 
Упаковка: заводская упаковка
Примечание от фабрики: 
Набор состоит из 11 предметов: щетка для чистки обуви*1, щетка для обуви с деревянной ручкой*1
большая щетка из конского волоса*1, кисть из конского волоса средней толщины*1, черный и белый крем для обуви*2 (по одной коробке черного и белого цвета), щеточка для чистки матовой замшевой поверхности (многофункциональная проволочная щетка)*1, щетка-губка с деревянной ручкой*1, металлический рожок для обуви*1, чистящая салфетка*2."," Дизайн: лазерная гравировка
",3000,"22,5","2413,8",60-65,,,,14 500,8,18-20,
 ,"Дорожный набор для ухода за обувью

(альтернативный способ доставки)","Материал: ПУ, дерево, ПП, пластик
Размер: 18*11*5 см
Упаковка: заводская упаковка
Примечание от фабрики: 
Набор состоит из 7 предметов: 3 вида щеток, два крема для полировки обуви, салфетка, рожок для обуви"," Дизайн: шелкография 1 цвет (больше цветов сделать нельзя)
",3000,"8,4","911,3",65-70,,,,18 500,12,22-24,
 ,"Дорожный набор для ухода за обувью

(альтернативный способ доставки)","Материал: замша, дерево, жесть
Размер: 15*10 см
Упаковка: заводская упаковка
Примечание от фабрики: 
В набор входит щетка для обуви, салфетка для полировки обуви и крем для полировки обуви"," Дизайн: шелкография 2 цвета
",3000,"5,8","630,6",70-75,,,,18 000,9,19-21,
 ,"Дорожный набор для ухода за обувью

(альтернативный способ доставки)","Материал: ПУ, дерево, пластик, жесть
Размер: 16.5*8*8 см
Упаковка: заводская упаковка
Примечание от фабрики: 
В набор входит: два вида щеток, два крема для полировки обуви, две губки для полировки обуви, салфетка, рожок для обуви ", Дизайн: тампопечать 1 цвет (больше цветов сделать нельзя),3000,"12,7","1366,3",65-70,,,,19 000,11,21-23,
 ,"Дорожный набор для ухода за обувью

(альтернативный способ доставки)","Материал: ПУ, дерево, жесть, пластик
Размер: 18*10*5 см
Упаковка: заводская упаковка
Примечание от фабрики: 
В набор входит: три вида щеток, два крема для полировки обуви, рожок"," Дизайн: шелкография 2 цвета
",3000,"7,2","781,2",75-80,,,,8 000,9,19-21,
 ,"Дорожный набор для ухода за обувью

(альтернативный способ доставки)","Материал: ПУ, дерево, жесть, пластик
Размер: 18*10*5 см
Упаковка: заводская упаковка
Примечание от фабрики: 
В набор входит: три вида щеток, два крема для полировки обуви, рожок, салфетка", Дизайн: тампопечать 1 цвет (больше цветов сделать нельзя),3000,"8,4","911,3",65-70,,,,12 500,11,21-23,
,картхолдер с фастеском,"Материал: пластик, полиэстер
Размер:  примерно 8,5 см*5,4 см, 
Длина ланъярда: примерно 40 см 
Упаковка: 
Примечание от фабрики: цена на стоковые цвета для 3000 шт учтена в стоимости, кастомизация от 5000 шт", Дизайн: нанесение лого УФ-печатью,3000,"3,9","400,3",52-57 кд,,,,"21 000,00",14,24-26,
,Картхолдер+ланъярд,"Материал: силикон, металл
Размер: 6,6*11,1 см
Упаковка: заводская упаковка

Кастомизация от 5000 шт"," Дизайн: по визуалу клиента, нанесение уф печать",3000,"3,1","327,4",40-45 кд,,,,"21 500,00",14,24-26,
,Картхолдер+ланъярд+ретрактор,"Материал: пластик, полиэстер
Размер карты: 86*54 мм
Длина ланъярда: примерно 40 см
Упаковка: заводская упаковка

Стоимость открытия формы включена в стоимость за единицу.", Дизайн: изготовление по макету клиента,3000,"3,9","405,1",60-65 кд,,,,"11 000,00",25,35-37,
