,"Менеджер: Емельянова Полина
Email: polinae@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Картхолдер ,"Материал: пвх 
Размер: 80х54 мм
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
открытие форм фактора ", Дизайн: индивидуальный дизайн картхолдера ,600,"4,6","414,2",45-50,"6,2","561,1",35-40,36 000,10,20-22,
,,,,1000,"4,3","385,6",,"5,9","528,1",,,,,
 ,Картхолдер ,"Материал: пвх, полиэстер
Размер: 80х54 мм
Размер ланьярда: 120 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
открытие форм фактора ", Дизайн: индивидуальный дизайн картхолдера ,600,"7,3","654,3",45-50,"8,2","738,5",35-40,40 000,11,21-23,
,,,,1000,"7,1","637,4",,"8,0","721,5",,,,,
 ,Картхолдер ,"Материал: силикон 
Размер: 80х54 мм
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
открытие форм фактора ", Дизайн: индивидуальный дизайн картхолдера ,600,"4,9","440,5",45-50,"6,5","587,4",35-40,36 000,10,20-22,
,,,,1000,"4,7","423,6",,"6,3","570,5",,,,,
 ,Картхолдер ,"Материал: кожзам 
Размер: 7,3х11 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
"," Дизайн: цвет из наличия, нанесение лого
Вид нанесения: тиснение ",1000,"1,4","122,2",40-45,"1,4","129,0",30-35,11 500,7,17-19,
,,,,,,,,,,,,,,
 ,Ланьярд ,"Материал: полиэстер 
Размер: 120 см, ширина: 2 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
", Дизайн: цвет из наличия,600,"2,6","231,5",40-45,"2,9","257,2",30-35,7 000,5,15-17,
,,,,1000,"2,5","224,7",,"2,8","249,6",,,,,
 ,Картхолдер ,"Материал: кожзам 
Размер: 7,3х11 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
"," Дизайн: цвет из наличия, нанесение лого
Вид нанесения: тиснение ",200,"4,3","365,5",40-45,"4,4","371,9",30-35,11 500,7,17-19,
,,,,600,"2,7","228,6",,"2,8","234,8",,,,,
,,,,1000,"1,8","152,7",,"1,9","158,7",,,,,
 ,Ланьярд ,"Материал: полиэстер 
Размер: 120 см, ширина: 2 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
"," Дизайн: цвет из наличия
Нанесение: сублимация с двух сторон ",500,"4,0","337,8",40-45,"4,5","385,5",30-35,7 000,5,10-12,
,,,,600,"3,9","327,3",,"4,4","373,6",,,,,
,,,,1000,"3,7","316,4",,"4,3","361,2",,,,,
 ,Картхолдер ,"Материал: кожзам 
Размер: 7,3х11 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
"," Дизайн: цвет из наличия, нанесение лого
Вид нанесения: цветная печать  ",200,"4,6","401,1",40-45,"5,1","450,5",30-35,11 500,7,17-19,
,,,,600,"4,1","363,8",,"4,7","411,7",,,,,
,,,,1000,"3,9","339,6",,"4,4","386,0",,,,,
