,"Менеджер: Котелевская Анна
Email: annakot@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Брелок акриловый (плоский),"Материал: акрил
Размер: 6 х 2 см, 6 х 8 см
Упаковка: инд пакет
Примечание от фабрики: необходима проработка образца для подтверждения стоимости тиража"," Дизайн: инд форма, полноцветная запечатка с двух сторон",947,"1,5","130,7",30-35,"1,8","149,4",20-25,3 600,5,15-17,
,,,,827,"1,6","139,8",,"1,9","158,5",,,,,
 ,Брелок металлический (плоский),"Материал: цинковый сплав
Размер: 6 х 2 см, 6 х 8 см
Упаковка: инд пакет
Примечание от фабрики: необходима проработка образца для подтверждения стоимости тиража"," Дизайн: инд форма, печать с двух сторон",947,"2,3","190,9",40-45,"2,3","197,6",30-35,"21940 (ментос)
20140 (вишня)",7,17-19,
,,,,827,"2,4","204,3",,"2,5","211,1",,,,,
,Брелок ,"Материал: пластик, бусины 
Размер: 5 х 7 см
Упаковка: сток 
Примечание: необходима проработка образца для подтверждения стоимости тиража",Дизайн индивидуальный,5000,"4,6","390,0",50-55,"4,7","398,6",40-45,15 000,10,20-22,
,"Освежитель для машины
(аромат вишни)","Материал: картон 
Размер: 7 х 10 см 
Упаковка: сток 
Примечание: требуется сертификат СГР 100 тыс рублей и 3 месяца изготовления (в стоимость не входит); 
необходима проработка образца для подтверждения стоимости тиража",Дизайн: индивидуальный ,"1774
(без сгр)","0,7","57,5",50-55,"0,7","63,7",40-45,10 500,7,17-19,
,,,,"1774
(с сгр)","2,0","170,2",90-100,"2,1","176,4",90-100,,,,
 ,Брелок с ремувками,"Материал: атлас, полиэстер
Размер: 6 х 2 см
Упаковка: инд пакет
Примечание от фабрики: необходима проработка образца для подтверждения стоимости тиража
Обвесы: жаккардовая ремувка, атласная лента с сублимацией, жаккардовая бирка, колечко-карабин","Дизайн: жаккардовая вышивка, сублимация",1774,"4,9","414,3",45-55,"5,1","431,1",35-45,10 800,7,17-19,
,Ремувка-лента,"Материал: атлас
Размер: 6 х 2 см
Упаковка: инд пакет
Примечание от фабрики: необходима проработка образца для подтверждения стоимости тиража
",Дизайн: сублимация,1774,"0,8","64,7",45-55,"0,8","71,5",35-45,4 620,7,17-19,
