,"Менеджер: Вязовский Иван
Email: ivan@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,ежедневник,"размер а5
80 листов 70 гр, одноцветная печать
форзац / нахзац дизайнерская бумага, выкрас
светоотражающее ляссе, одноцветная печать на ляссе
уф на обложке
сотф тач
мягкая обложка", Дизайн: ,7000,"4,071","397,34",40-45,"4,899","478,16",30-35,"9 000,00",17 дней (фото / видео 5-7 дней),
,,,,,,,,,,,,,
 ,ежедневник,"Блок: 143*205 мм, недатированный индивидуальный, всего 356 страниц (без информационной части), бумага кремовая 70 грамм (согласно образцу), печать 1+1 , пантон 424U (цвет печати на блоке - клетка), кругление углов блока; Окрас среза блока по пантону 200 U (по-возможности приблизить к 201С).
Блок дополнительно проклеивается по корешку бумагой.
Обложка: гибкая (кожзам + кожзам),
Кожзам Нубук, серый (согласно образцу).
Окрас краёв обложки по периметру в цвет обложки.
Корешок круглый.
На корешке по центру крепится горизонтальная, круглая резинка, цвет красный , приближенный к пантону 201С;
На обложке выемки под круглую резинку, диаметр 4 мм;
На резинку крепится язычок из кожзама нубук в цвет обложки. Язычок склеивается двусторонним скотчем. Края язычка окрашиваются по периметру в тон кожзама. Язычок сделан из аналогичного материала как и обложка.
Тиснение: блинтовое тиснение на 1-й полосе обложки и на 4-й полосе обложки, согласно образцу;
Форзац / нахзац кремовые, плотность 160 гр., согласно образцу;
Каптал: с 2-х сторон, в цвет ляссе, близкий к пантону 201 С;
Ляссе: приближенное к пантону 201С (цвет красный), атласное, ширина 1 см, согласно образцу", Дизайн: ,7000,"6,770","660,72",40-45,"8,090","790,44",30-35,"9 000,00",17 дней (фото / видео 5-7 дней),
,,,,,,,,,,,,,
 ,ежедневник,"Обложка гибкая, переплетный материал №13 (фото с названием материала из китайского каталога креплю), запаянный край.
Персонализация обложки - тиснение блинтовое (до 100 см2 согласно макета)
Индивидуальный блок недатированный в точку с информацией (лого), бумага кремовая 70 г/м2, печать 1+1, Объем блока: 208 полос (16 полос планинга, 192 полосы блок в точку).
Окрас среза по пантону (Pantone 361С)
Форзац / нахзац индивидуальный, офсетная печать, выкрас по Pantone 7445 C. Бумажный карман на нахзаце выкрас по Pantone 7445С.
Ляссе светоотражающее, размер 25*300 мм, печать 1+0 (QR код)
Обечайка - формат в развороте 45х385 мм, формат в сложении 45х145 мм. Мелованная бумага 200 г/м2, матовая ламинация
Упаковка - пакет с клеевым клапаном
", Дизайн: ,7000,"4,998","487,79",40-45,"6,157","600,94",30-35,"9 000,00",17 дней (фото / видео 5-7 дней),
,,,,,,,,,,,,,
 ,ежедневник,"размер: 15*15 см
форзац нахзац в пантон
прокрас среза в пантон
уф печать на обложке
72 листа, плотность 70 гр, двухсторонняя одноцветная печать
черная резинка
", Дизайн: ,7000,"4,300","419,68",40-45,"5,300","517,28",30-35,"9 000,00",17 дней (фото / видео 5-7 дней),
,,,,,,,,,,,,,
 ,ежедневник,"Размер А5
Мягкая обложка белый цвет
128 листов
бумага белого цвета, плотность 70 г
Форзац и нахзац  100 г ( по индивидуальному макету) 
Печать лого на срезе (“бегущая строка”)
Широкое ляссе желтого цвета
nfc метка на обложке
бесцветная уф печать на обложке
цветная печать на нахзаце и форзаце

", Дизайн: ,7000,"6,052","590,48",40-45,"7,634","744,68",30-35,"9 000,00",17 дней (фото / видео 5-7 дней),
,,,,,,,,,,,,,
 ,ежедневник,"Особенности:
·  Тип: Блокнот-органайзер
·  Аквамариновая твердая обложка
·  Закругленные углы
·  Эластичная застежка
·  Фирменная бумага Moleskine® цвета слоновой кости
·  Плотность листов: 120 г/м2
·  Линовка: точка (пунктир)
·  Количество страниц: 160
·  Две ленточные закладки
·  Страницы для персональных данных и содержания
·  Пронумерованные страницы
·  Страницы для тестирования ручки и других пишущих инструментов
·  Клапан со страницей ключей для ваших личных точечных и цветовых кодов
·  Набор наклеек для персонализации ваших записей
·  Надпись «In case of loss» на переднем форзаце
·  Расширяемый внутренний кармашек сзади
·  Бумажная лента B-SIDE многократного использования с дополнительными печатными рисунками
·  Блокнот открывается на 180°
·  Внутри история Moleskine.

", Дизайн: ,7000,"6,912","674,41",40-45,"8,782","856,92",30-35,"9 000,00",17 дней (фото / видео 5-7 дней),
,,,,,,,,,,,,,
 ,ежедневник,"Еженедельник датированный. Формат А4  
Формат 210*297 мм в готовом виде.
Блок датированный, на тонированной бумаге, 160 страниц. Твердая обложка с поролоном,
прямые углы.  Материал: Dallas салатового цвета (аналог), выкрашенный в пантон 376 С. согласно сигнальному образцу) Тиснение блинтовое до 50 см2, 1 место. Прошивка нитками по периметру (цвет ниток салатовый). Каптал желтый
Вклейка индивидуального ляссе – цвет темно-зеленый. Прокраска среза по 3-м сторонам (цвет темно-зеленый). Установка Цветного форзаца и нахзаца, цвет темно-зеленый.
Установка Конверта на нахзац, темно-зеленого цвета. Упаковка: Термоусадочная пленка
", Дизайн: ,7000,"8,370",816.91,50-55 ,"10,450","1020,67",40-45,"9 000,00",17 дней (фото / видео 5-7 дней),
,,,,,,,,,,,,,
 ,ежедневник,"Ежедневник недатированный. Формат А5  
Ежедневник формат А5, 
Блок: недатированный, кремовый блок, 256 стр.  Гибкая обложка, скругленные углы                        
Материал: Dallas салатового цвета (аналог), выкрашенный в пантон 376 С. (согласно сигнальному образцу) Опции обложки: Тиснение: Блинтовое 10 см2. Форзац и нахзац: темно-зеленый. Окраска среза по 3-м сторонам: темно-зеленый. 
Ляссе: темно-зеленое. Кармашек на нахзац EFALIN, цвет темно-зеленый.                 Круглый металлический шильд на ляссе Матовый (Хром) c лазерной гравировкой 
Упаковка: Термоусадочная пленка
", Дизайн: ,7000,"5,920","577,79",50-55 ,"6,850","668,88",40-45,"9 000,00",17 дней (фото / видео 5-7 дней),
,,,,,,,,,,,,,
 ,ежедневник,"а5
жесткая обложка
128 листов, 70 гр, двухсторонняя одноцветная печать, последние листы отрывеные
желтое ляссе
", Дизайн: ,7000,"4,873","475,60",40-45,"6,519","636,21",30-35,"9 000,00",17 дней (фото / видео 5-7 дней),
