,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, жд",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, авиа",Образец ,Срок образца,Доп. фото
,Термобутылка,"Материал: нержавеющая сталь
Объем: 500 мл
Размер: 4.7х23.5х6.5 см
Цвет: пантон 3597С, выкрас
Покрытие софт-тач",500,"8,3","761,8",35-40 дней,"9,7","884,9",25-30 дней,9200,17-20 дней,
,,,1000,"8,2","752,2",,"9,6","875,4",,,,
,Термобутылка,"Материал: нержавеющая сталь
Объем: 500 мл
Размер: 26.7х7.1х3.7 см
Цвет: пантон 3597С, выкрас
Покрытие софт-тач",1000,"9,3","850,5",40-45 дней,"10,9","998,4",30-35 дней,9350,17-20 дней,
,Термос,"Материал: нержавеющая сталь
Объем: 500 мл
Размер: 7.4х23х8.5 см
Цвет: пантон 3597С, выкрас
Покрытие софт-тач",1000,"13,6","1246,5",40-45 дней ,"15,3","1394,4",30-35 дней,7180,15-20 дней,
,Бутылка,"Материал: тритан
Объем:
Размер: 
Цвет: пантон 3597С, выкрас
Покрытие софт-тач",1000,"7,6","693,1",50-55 дней,"8,4","768,4",40-45 дней,45680,17-20 дней,
,Бутылка,"Материал: тритан
Объем: 500 мл
Цвет: пантон 3597С, выкрас
Покрытие софт-тач",3000,"7,1","650,4",60-65 дней,"8,1","735,9",70-75 дней,,17-20 дней,
,ПЗУ,"Емкость: 5000 мАч
Размер: 25.5х95х64 мм
Материал корпуса: пластик
Цвет: пантон 3597С, выкрас",2000,"6,8","617,9",35-40 дней,"7,4","671,5",25-30 дней,6220,17-20 дней,
,ПЗУ,"Емкость: 10000 мАч
Размер: 139х68х15 мм
Материал корпуса: пластик
Цвет: пантон 3597С, выкрас",2000,"8,3","755,7",35-40 дней,"9,2","841,5",25-30 дней,6570,17-20 дней,
,Беспроводная зарядка,"Размер: 100х100х7 мм
Работает от Type-C
Материал: пластик + алюминий
Без подсветки
Цвет: пантон 3597С, выкрас",3000,"6,3","572,5",40-45 дней,"6,8","623,8",30-35 дней,14920,17-20 дней,
