,"Менеджер: Попова Дарья
Email: daryap@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Брелок,"Материал: ПУ
Цвета: см.доп.фото
Размер: 9,5*7 см
Упаковка: ОПП
"," Дизайн: шелкография (1 цвет), место лого см.доп.фото",4000,"1,5","125,4",45-55,"1,6","132,2",35-45,"1700
(стоковый)","3700
 (кастомный)",7,17-19,
,,,,,,,,,,,,,,,
 ,Брелок,"Материал: дерево
Цвета: как на фото
Размер: 5,5*6 см
Упаковка: ОПП
", Дизайн: лазерная гравировка,4000,"1,6","137,6",50-57,"1,8","156,3",40-47,"1700
(стоковый)","5600
 (кастомный)",7,17-19,
,,,,,,,,,,,,,,,
 ,Брелок,"Материал: плюш (ПП хлопок)
Цвета: см.фото
Размер: примерно 12 см
Упаковка: ОПП
"," Дизайн: термотрансфер, место лого см. в доп.фото",4000,"3,0","250,6",40-50,"3,1","267,3",30-40,"1800
(стоковый)","3700
 (кастомный)",7,17-19,
,,,,,,,,,,,,,,,
 ,Брелок,"Материал: фетр, полиэстерное волокно
Цвета: см.доп фото
Размер: высота 90 мм, бирка 25х10 мм
Упаковка: опп-пакет"," Дизайн: создание брелка из фетра по запросу клиента, ручная работа",4000,"6,9","582,3",60-65,"7,0","595,4",50-55,Создание брелка с нуля,5 600,10,20-22,
