 ,"Менеджер: Эмина Арина Ильинична
Email: arinae@megamind.ru
Телефон: +7 (918) 370-96-97
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Косметичка сетка,"Материал: пвх, плотность 0,3 мм
Размер: 30*10 см
Упаковка: OPP пакет
Примечание от фабрики: минимальный тираж для настройки дизайна - 5000 шт
*на сетчатую косметичку лого нанести не получится"," Дизайн: цвет материала в пантон, выбор цвета молнии и пуллера",5000,"1,2","105,2",40-45,"1,4","115,8",30-35,13 500,7,17-19,
,,,,10000,"1,2","101,9",45-50,"1,3","112,2",35-40,,,,
,,,,20000,"1,2","98,8",50-55,"1,3","108,7",40-45,,,,
,Косметичка пвх 1,"Материал: пвх, плотность 0,3 мм
Размер: 30*10 см
Упаковка: OPP пакет
Примечание от фабрики: 
*ждем ответа фабрики насчет карманов и пуллера, сейчас они в стоимость не включены"," Дизайн: цвет материала в пантон, выбор цвета молнии и пуллера, двусторонняя одноцветная шелкография",1000,"2,2","185,7",45-50,"2,6","217,5",35-40,16 000,7,17-19,
,,,,5000,"2,1","181,1",50-55,"2,5","212,3",40-45,,,,
,,,,10000,"2,1","178,7",50-55,"2,5","209,6",40-45,,,,
,,,,20000,"2,0","173,2",55-60,"2,4","203,1",45-50,,,,
,Косметичка пвх 1 (с пвх пуллером и карманами),"Материал: пвх, плотность 0,3 мм
Размер: 30*10 см
Упаковка: OPP пакет
Примечание от фабрики: 
*посчитано производство с нуля
*точная цена после макета и образца"," Дизайн: цвет материала в пантон, выбор цвета молнии и пуллера, двусторонняя одноцветная шелкография, производство пвх пуллеров двух цветов по макету, два внутренних кармашка размером 10*8 см",1000,"6,2","524,9",50-55,"6,5","551,4",40-45,16 000,7,17-19,
,,,,5000,"5,5","465,4",50-55,"5,8","491,5",40-45,,,,
,,,,10000,"5,1","430,7",55-60,"5,4","456,4",45-50,,,,
,,,,20000,"4,6","387,2",55-60,"4,9","412,1",45-50,,,,
,Косметичка пвх 2 (с пвх пуллером и карманами),"Материал: пвх, плотность 0,3 мм
Размер: 30*10*5 см
Упаковка: OPP пакет
Примечание от фабрики: 
*посчитано производство с нуля
*точная цена после макета и образца"," Дизайн: цвет материала в пантон, выбор цвета молнии и пуллера, двусторонняя одноцветная шелкография, производство пвх пуллеров двух цветов по макету, два внутренних кармашка размером 10*8 см",1000,"6,4","540,0",50-55,"6,7","571,8",40-45,10 000,7,17-19,
,,,,5000,"5,7","480,3",50-55,"6,0","511,5",40-45,,,,
,,,,10000,"5,2","445,4",55-60,"5,6","476,3",45-50,,,,
,,,,20000,"4,7","401,4",55-60,"5,1","431,3",45-50,,,,
,Косметичка пвх 3 (с пвх пуллером и карманами),"Материал: пвх, плотность 0,3 мм
Размер: 19*14*4 см
Упаковка: OPP пакет
Примечание от фабрики: 
*посчитано производство с нуля
*точная цена после макета и образца"," Дизайн: цвет материала в пантон, выбор цвета молнии и пуллера, двусторонняя одноцветная шелкография, производство пвх пуллеров двух цветов по макету, два внутренних кармашка размером 10*8 см",1000,"6,0","507,7",50-55,"6,4","539,5",40-45,10 000,7,17-19,
,,,,5000,"5,5","463,2",50-55,"5,8","494,4",40-45,,,,
,,,,10000,"5,1","430,9",55-60,"5,4","461,8",45-50,,,,
,,,,20000,"4,7","396,7",55-60,"5,0","426,6",45-50,,,,
,Косметичка пвх 4 (с пвх пуллером и карманами),"Материал: пвх, плотность 0,3 мм
Размер: 15*23,2*7 см
Упаковка: OPP пакет
Примечание от фабрики: 
*посчитано производство с нуля
*точная цена после макета и образца"," Дизайн: цвет материала в пантон, выбор цвета молнии и пуллера, двусторонняя одноцветная шелкография, производство пвх пуллеров двух цветов по макету, два внутренних кармашка размером 10*8 см",1000,"4,5","378,4",50-55,"4,8","410,2",40-45,10 000,7,17-19,
,,,,5000,"4,1","345,9",50-55,"4,4","377,2",40-45,,,,
,,,,10000,"3,8","322,3",55-60,"4,2","353,2",45-50,,,,
,,,,20000,"3,5","300,8",55-60,"3,9","330,7",45-50,,,,
,Косметичка пвх 5 (с пуллером из кожзама и карманами),"Материал: пвх, плотность 0,3 мм
Размер: 19,5*16,7*5 см
Упаковка: OPP пакет
Примечание от фабрики: 
*посчитано производство с нуля
*точная цена после макета и образца"," Дизайн: цвет материала в пантон, выбор цвета молнии и пуллера (также можно выбрать цвет кожзама для боковых швов), двусторонняя одноцветная шелкография, производство пуллеров из кожзама по макету, два внутренних кармашка размером 10*8 см",1000,"6,1","515,1",50-55,"6,4","546,9",40-45,10 000,7,17-19,
,,,,5000,"5,5","470,5",50-55,"5,9","501,7",40-45,,,,
,,,,10000,"5,2","443,0",55-60,"5,6","473,9",45-50,,,,
,,,,20000,"4,8","403,7",55-60,"5,1","433,7",45-50,,,,
