,"Менеджер: Казакова Екатерина
Email: kate.k@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Брелок 

(цена примерная, точная цена после предоставления макета)","Материал: полиэстер, сплав
Размер: примерный размер шнурка 14 см, размеры значков примерно 18 мм 
Упаковка: опп пакет
Примечание от фабрики: "," Дизайн: по макету клиента
Аэрозольная краска + односторонняя печать",100000,"2,8","237,2",95-100,,,,64 000,17,27-29,
,,,,500000,"2,5","217,3",100-105,,,,,,,
 ,"Брелок 

(цена примерная, точная цена после предоставления макета)


Оптимизация","Материал: полиэстер, сплав
Размер: примерный размер шнурка 14 см, размеры значков примерно 18 мм 
Упаковка: опп пакет
Примечание от фабрики: 

Оставляем три значка и шнурок. Фурнитура без выкраса, стоковая."," Дизайн: по макету клиента, реф слева
Аэрозольная краска + односторонняя печать",100000,"1,9","161,0",95-100,,,,51 500,17,27-29,
,,,,500000,"1,7","148,2",100-105,,,,,,,
 ,"Брелок 

(цена примерная, точная цена после предоставления макета)


Оптимизация","Материал: полиэстер, сплав
Размер: размеры значков примерно 18 мм 
Упаковка: опп пакет
Примечание от фабрики: 

Оставляем три значка, без шнурка. Фурнитура без выкраса, стоковая."," Дизайн: по макету клиента, реф слева
Аэрозольная краска + односторонняя печать",100000,"1,7","142,1",95-100,,,,50 000,17,27-29,
,,,,500000,"1,5","130,6",100-105,,,,,,,
 ,"Брелок 

(цена примерная, точная цена после предоставления макета)","Материал: полиэстер, сплав
Размер: примерный размер 8,5*8,5 см
Упаковка: опп пакетик
Примечание от фабрики: "," Дизайн: мягкая игрушка по макету клиента, цвет шнурка и карабина можно поменять, бирка с лого клиента, бумажная бирка с печатью клиента  ",100000,"1,3","113,5",70-75,,,,10 000,15,25-27,
,,,,500000,"1,2","103,9",,,,,,,,
 ,"Брелок 

(цена примерная, точная цена после предоставления макета)","Материал: силикон, сплав
Размер: 10,5*2,9 см
Упаковка: опп пакет
Примечание от фабрики: "," Дизайн: цвет силикона в пантон, печать на кнопках по макету клиента",100000,"1,4","123,3",65-70,,,,9 500,7,17-19,
,,,,500000,"1,3","108,9",130-135,,,,,,,
 ,"Брелок 

(цена примерная, точная цена после предоставления макета)","Материал: силикон, сплав
Размер: 10,5*5,5 см
Упаковка: опп пакет
Примечание от фабрики: "," Дизайн: цвет силикона в пантон, печать на кнопках по макету клиента",100000,"1,6","134,3",65-70,,,,9 500,7,17-19,
,,,,500000,"1,4","121,2",130-135,,,,,,,
 ,"Брелок 

(цена примерная, точная цена после предоставления макета)","Материал: пластик, металл
Размер: 3 см
Упаковка: опп пакет
Примечание от фабрики: ", Дизайн: изготовление своей формы фигурки,100000,"0,8","69,6",70-75,,,,20 000,15,25-27,
,,,,500000,"0,7","65,2",,,,,,,,
 ,"Брелок 

(цена примерная, точная цена после предоставления макета)","Материал: кожзам, металл
Размер: 11х2,2 см
Упаковка: опп пакет
Примечание от фабрики: "," Дизайн: выкрас брелка в пантон, выкрас фурнитуры, нанесение лого на брелок по макету клиента",100000,"1,2","104,7",65-70,,,,4 500,10,20-22,
,,,,500000,"1,1","97,7",,,,,,,,
 ,"Брелок 

(цена примерная, точная цена после предоставления макета)","Материал: шнур из полиэстера, металл, кожзам
Размер: 11 см
Упаковка: опп пакет
Примечание от фабрики: "," Дизайн: выкрас брелка в пантон, выкрас фурнитуры, нанесение лого на брелок по макету клиента",100000,"1,3","115,7",75-80,,,,9 500,12,22-24,
,,,,500000,"1,2","105,9",85-90,,,,,,,
 ,"Брелок 

(цена примерная, точная цена после предоставления макета)","Материал: шнур из полиэстера, металл, кожзам
Размер: 12,5 см
Упаковка: опп пакет
Примечание от фабрики: "," Дизайн: выкрас брелка в пантон, выкрас фурнитуры, нанесение лого на брелок по макету клиента",100000,"1,4","118,5",90-95,,,,9 500,15,25-27,
,,,,500000,"1,3","108,5",,,,,,,,
