,"Менеджер: 
Email: 
Телефон: ",,"Прокопова Елена
elena.p@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Ежедневник А5,"
Блок: 145*207 мм, недатированный индивидуальный, всего 214 страниц (без информационной части), бумага белая 70 грамм, печать 1+1 , пантон Cool Gray 7 C (печати на блоке – линейка, логотип компании), кругление углов блока; Окрас среза блока по пантону Cool Gray 6 C
Блок дополнительно проклеивается по корешку бумагой. 
Обложка: гибкая (кожзам + кожзам), 
Кожзам Нубук, серый (согласно макету).
Окрас краёв обложки по периметру в цвет обложки.
Корешок круглый.
На корешке по центру крепится горизонтальная, круглая резинка, цвет согласно макету , приближенный к пантону Cool Gray 6 C;
На обложке выемки под круглую резинку, диаметр 4 мм;
На резинку крепится язычок из кожзама нубук в цвет обложки. Язычок склеивается двусторонним скотчем. Края язычка окрашиваются по периметру в тон кожзама. Язычок сделан из аналогичного материала как и обложка.
Тиснение: блинтовое тиснение на 1-й полосе обложки и на 4-й полосе обложки, согласно макету; 
Форзац / нахзац белые, плотность 160 гр., согласно макету;
Каптал: с 2-х сторон, в цвет ляссе, близкий к пантону Cool Gray 6 C;
Ляссе: приближенное к пантону Cool Gray 6 C, атласное, ширина 1 см
Индивидуальная упаковка каждого ежедневника в полиэтиленовый пакет с липким краем.","Дизайн: Тиснение: блинтовое тиснение на 1-й полосе обложки и на 4-й полосе обложки, согласно макету; ",2000,"6,0","505,9","1 011 700,00",40-45,"8,1","677,6","1 355 240,00",30-35,9 800,7,17-19,
,,,,3000,5.93,"497,7","1 493 160,00",40-45,"8,0","668,5","2 005 410,00",30-35,,,,
,,,,4000,"5,8","489,8","1 959 160,00",50-55,"7,9","659,5","2 638 120,00",40-45,,,,
,,,,5000,"5,8","483,8","2 419 200,00",50-55,"7,8","651,6","3 257 750,00",40-45,,,,
,,,,6000,"5,7","480,9","2 885 100,00",55-60,"7,7","647,5","3 885 240,00",45-50,,,,
,,,,7000,"5,6","473,2","3 312 190,00",55-60,"7,6","638,8","4 471 880,00",45-50,,,,
,,,,8000,"5,6","470,2","3 761 920,00",55-60,"7,6","634,9","5 079 120,00",45-50,,,,
,,,,9000,"5,5","465,0","4 184 910,00",55-60,"7,5","628,6","5 657 670,00",45-50,,,,
