,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Кабель для зарядки 3в1,"Материал: пластик, нейлон
Размер: растягивается от 35 до 120 см
Примечание от фабрики: необходимо подтверждение цены после проработки образца", Дизайн: сток,1350,"4,4","371,4",25-30,"4,7","396,9",15-20,2 100,2,12-14,
,,," Дизайн: УФ-печать лого, стоковая коробка",,"4,5","378,9",40-45,"4,8","404,3",30-35,"3800
(образец пакета +7850)",7,17-19,
,,," Дизайн: УФ-печать лого, брендирование коробки",,"4,6","388,8",,"4,9","414,3",,,,,
,,," Дизайн: УФ-печать лого, упаковка в зип-пакет 7х10 см",,"5,0","428,6",,"5,3","454,0",,,,,
 ,Кабель для зарядки 3в1,"Материал: пластик, нейлон
Размер: 16 см
Примечание от фабрики: необходимо подтверждение цены после проработки образца", Дизайн: сток,1350,"2,3","198,7",25-30,"2,4","207,6",15-20,1 760,2,12-14,
,,," Дизайн: УФ-печать лого, стоковый пакет",,"2,6","223,6",40-45,"2,7","232,5",30-35,"5650
(образец пакета +7850)",7,17-19,
,,," Дизайн: УФ-печать лого, упаковка в зип-пакет 7х10 см",,"3,1","265,8",,"3,2","274,7",,,,,
 ,Кабель для зарядки 3в1,"Материал: пластик силикон
Размер: 20 см
Примечание от фабрики: необходимо подтверждение цены после проработки образца", Дизайн: сток,1350,"2,9","241,9",25-30,"3,0","257,8",15-20,1 850,2,12-14,
,,," Дизайн: УФ-печать лого, стоковый пакет",,"3,1","266,8",40-45,"3,3","282,7",30-35,"9750
(образец пакета +7850)",7,17-19,
,,," Дизайн: УФ-печать лого, упаковка в зип-пакет 7х10 см",,"3,7","316,5",,"3,9","332,4",,,,,
 ,Кабель для зарядки 3в1,"Материал: пластик силикон
Размер: растягивается от 20 до 120 см
Примечание от фабрики: необходимо подтверждение цены после проработки образца", Дизайн: сток,1350,"3,9","327,8",25-30,"4,2","357,5",15-20,1 850,2,12-14,
,,," Дизайн: УФ-печать лого, стоковая коробка",,"4,2","360,2",45-50,"4,6","389,8",35-40,"3800
(образец пакета +7850)",10,20-22,
,,," Дизайн: УФ-печать лого, упаковка в зип-пакет 7х10 см",,"4,7","402,4",,"5,1","432,1",,,,,
