,"Менеджер: Андрианова Анастасия
Email: anastasiaandrianova@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Пакет малый ВК,"Материал: голографический картон, плотность 275 г/м3
Размер: 20*30*10 см
Упаковка: OPP пакет
Примечание от фабрики: ", Дизайн: запечатка синим цветом в пантон + нанесение ондцветного лого (уф-печать),1000,"3,1","325,7",40-45,"3,5","369,3",30-35,45 500,10,20-22,
,,,,2000,"2,6","275,5",,"3,0","317,9",,,,,
,,,,3000,"2,4","255,4",,"2,8","296,4",,,,,
 ,Пакет средний ВК,"Материал: голографический картон, плотность 275 г/м3
Размер: 25*35*15 см
Упаковка: OPP пакет
Примечание от фабрики: ", Дизайн: запечатка синим цветом в пантон + нанесение ондцветного лого (уф-печать),1000,"3,5","369,0",40-45,"4,0","428,5",30-35,45 500,10,20-22,
,,,,2000,"3,1","325,0",,"3,6","382,7",,,,,
,,,,3000,"2,8","301,3",,"3,4","357,3",,,,,
 ,Пакет большой ВК,"Материал: голографический картон, плотность 275 г/м3
Размер: 35*40*20 см
Упаковка: OPP пакет
Примечание от фабрики: ", Дизайн: запечатка синим цветом в пантон + нанесение ондцветного лого (уф-печать),1000,"4,6","490,6",40-45,"5,4","569,9",30-35,45 500,10,20-22,
,,,,2000,"4,2","442,4",,"4,9","519,4",,,,,
,,,,3000,"3,9","417,8",,"4,7","492,4",,,,,
Расчет от другой фабрики,,,,,,,,,,,,,,
 ,Пакет малый ВК,"Материал: голографический картон (как на рефе), плотность 230 г/м3
Размер: 20*30*10 см
Упаковка: OPP пакет
Примечание от фабрики: ", Дизайн: запечатка синим цветом в пантон + нанесение ондцветного лого (уф-печать),1000,"2,0","209,5",45-50,"2,4","253,1",35-40,18 500,10,20-22,
,,,,2000,"1,8","193,6",,"2,2","235,9",,,,,
,,,,3000,"1,7","181,7",,"2,1","222,8",,,,,
 ,Пакет средний ВК,"Материал: голографический картон (как на рефе), плотность 230 г/м3
Размер: 25*35*15 см
Упаковка: OPP пакет
Примечание от фабрики: ", Дизайн: запечатка синим цветом в пантон + нанесение ондцветного лого (уф-печать),1000,"2,3","244,5",45-50,"2,8","292,9",35-40,18 500,10,20-22,
,,,,2000,"2,1","221,6",,"2,5","268,7",,,,,
,,,,3000,"1,9","206,0",,"2,4","251,6",,,,,
 ,Пакет большой ВК,"Материал: голографический картон (как на рефе), плотность 230 г/м3
Размер: 35*40*20 см
Упаковка: OPP пакет
Примечание от фабрики: ", Дизайн: запечатка синим цветом в пантон + нанесение ондцветного лого (уф-печать),1000,"2,8","296,1",45-50,"3,3","354,2",35-40,18 500,10,20-22,
,,,,2000,"2,6","277,7",,"3,2","334,1",,,,,
,,,,3000,"2,5","260,3",,"3,0","315,1",,,,,
