,"Менеджер: Киселева Екатерина
Email: katya.e@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Бутылка,"Материал: тритан
Размер: 700 мл, 70 х 253 х 75 мм
Упаковка: сток коробка 
", Дизайн: лого УФ печать по макету,4438,"8,3","715,7",55-60,"9,1","799,1",45-50,19 400,10,20-22,
 ,Панама,"Материал: хлопок, 260 гр
Размер: универсальный
Цвет: Pantone 2756C
Поля: белые, с прострочкой
Упаковка: инд пакет

Необходимо оформление ДС (15 000) и ЧЗ, включено в стоимость"," Дизайн: выкрас в пантон, пришивной хлястик с шелкографией",2566,"7,1","603,4",45-50,"7,7","657,9",35-40,7 780,7,17-19,
 ,Ручка,"Материал: пластик
Размер: 14 см
Цвет: Pantone 2756C
Упаковка: инд пакет"," Дизайн: выкрас в пантон, покрытие софт-тач, УФ-печать по макету",16440,"0,3","21,2",45-50,"0,3","24,8",35-40,3 500,8,18-20,
 ,Ручка,"Материал: пластик
Размер: 13.8 х 1 см
Цвет: Pantone 2756C
Упаковка: инд пакет"," Дизайн: выкрас в пантон, покрытие софт-тач, УФ-печать по макету",16440,"0,3","21,6",55-60,"0,3","24,8",45-50,11 680,7,17-19,
,Брелок-ремувка,"Материал: полиэстер
Размер: 2,3 х 13,5 см
Упаковка: сток 
Примечание: необходимо подтвердить информацию по финальному макету и образцу",Дизайн: индивидуальный,8757,"1,0","84,0",45-50,"1,1","91,4",35-40,9 500,7,17-19,
 ,Сумка,"Материал: ПВХ, толщина 0.3 мм
Материал ручек: полиэстер
Размер сумки: 40×40×8 см
Ручка: 4×69 см
Упаковка: ОПП пакет
Примечание: сумка с дном, без боковых вставок и без внутреннего кармана"," Дизайн: ДТФ на стропе, на сумке УФ размером 5 х 5 см ",2581,"5,1",449,40-45,"5,8","513,5",30-35,7 850,5,15-17,
,Повербанк,"Материал: Алюминиевый сплав 6063 + высокопрочное алюминиевое стекло + задняя панель из кевлара + АБС-пластик + экологически чистый магнит + полимерная батарея; 
Размер: 146,5 мм*71 мм*15,7 мм
Упаковка: коробка сток
Примечание: необходимо подтверждение дизайна","Дизайн: нанесение логотипа (нельзя нанести на всю поверхность, можно обработать только часть) ",3697,"46,9",3990,60-65,"49,6","4214,2",50-55,13 400,15,25-27,
просчет от 02.07,,,,,,,,,,,,,,
,Сумка,"
Размер: 38×45 см
Материал: полиэстер, твил 290D (покрытие ПУ); трехслойная сетка
Вес: 170 г
Внутренний карман: на молнии, крепится к тесьме крючками
Упаковка: пакет сток
Примечание: необходимо подтверждение по образцу ","Дизайн: шелкография (фабрика говорит, что цифровая печать не очень подойдет, тк не обеспечивает трехмерности, печатается тонко)",2581,"5,8",492,50-55,"6,5","554,1",40-45,5 800,7,17-19,
просчет от 21.07,,,,,,,,,,,,,,
,Повербанк,"
Размер: 148 х 68 х 28 мм 
Материал:  ABS + PC (пластик)
Упаковка: коробка (макет в доп фото)
Технички: 
10000 мач
Выходная мощность: 2A / 5W
Входная мощность: 2A
Типы входа: Type-C / USB / Micro USB
Основная особенность: Быстрая беспроводная зарядка",Дизайн: лого УФ печать,3697,10,"870, 3",40-45,11,"962,9",30-35,5 550,3,13-15,
