,"Менеджер: Емельянова Полина
Email: polinae@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Органайзер для проводов ,"Материал: ABS, магнит 
Размер: 15*7*2 см
Упаковка: ОРР пакет 
Примечание от фабрики: 
крепление органайзера к любой поверхности с помощью клейкой основы- скотча 
Цвета: черный, синий, зеленый, розовый "," Дизайн: нансение лого, цвет из наличия ",300,"1,9","173,8",32-37,"2,0","187,2",22-27,3 100,3,13-15,
,,,,500,"1,8","171,5",,"2,0","184,9",,,,,
 ,Органайзер для проводов ,"Материал: PVC, магнит 
Размер: 9,2*2,1 см
Упаковка: ОРР пакет 
Примечание от фабрики: 
крепление органайзера к любой поверхности с помощью клейкой основы- скотча 
Цвета: черный, белый"," Дизайн: нансение лого- шелкография 
цвет из наличия ",500,"3,1","290,5",35-40,"3,3","302,0",25-30,6 500,4,14-16,
 ,Органайзер для проводов ,"Материал: ABS, магнит 
Размер: 2*2 см
Упаковка: ОРР пакет 
Примечание от фабрики: 
крепление органайзера к любой поверхности с помощью клейкой основы- скотча 
Цвета: черный, белый "," Дизайн: нансение лого, цвет из наличия ",300,"0,4","36,6",32-37,"0,4","38,4",22-27,3 000,3,13-15,
,,,,500,"0,3","28,8",,"0,3","30,7",,,,,
 ,Органайзер для проводов ,"Материал: силикон 
Размер: 9,2*2 см
Упаковка: ОРР пакет 
Примечание от фабрики: 
крепление органайзера к любой поверхности с помощью клейкой основы- скотча 
Цвета: черный, белый, зеленый, фиолетовый, розовый, синий, желтый, оранжевый "," Дизайн: нансение лого, цвет из наличия ",300,"1,2","113,9",32-37,"1,4","127,4",22-27,3 000,3,13-15,
,,,,500,"1,1","106,2",,"1,3","119,7",,,,,
 ,Тревел емкость 90 ml,"Материал: силикон, пластик
Размер: 90 ml, 13,6*3,8 см
Упаковка: индивидуальный пакет пакет 
Примечание от фабрики: 
Цвета: фиолетовые, синий, зеленые 
1 тюбик "," Дизайн: нансение лого, цвет из наличия ",300,"2,7","247,7",40-45,"3,5","325,8",30-35,6 600,5,15-17,
,,,,500,"2,6","245,4",,"3,5","323,6",,,,,
 ,Тревел емкость 25 ml,"Материал: силикон, пластик
Размер: 25 ml, 4,8*3,5 см
Упаковка: индивидуальный пакет пакет 
Примечание от фабрики: 
Цвета: фиолетовый, синий, зеленый, красный 
1 тюбик "," Дизайн: нансение лого, цвет из наличия ",300,"1,7","155,8",40-45,"1,8","171,5",30-35,6 000,5,15-17,
,,,,500,"1,5","142,7",,"1,7","158,3",,,,,
