,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,"Стакан, меняющий цвет от холодной воды","Материал: алюминий
Размер: 128*84мм
Упаковка: OPP пакет
Примечание от фабрики: цена примерная, может измениться в зависимости от дизайна", Дизайн: по макету,1000,"3,8","352,0",60-65 календ.дней,,,,"23 320,00","Фото/видео: 13-15 календ.дней
Доставка:12-14 календ.дней",
,,,,2000,"3,58",332,60-65 календ.дней,,,,,,
 ,"Стакан, меняющий цвет от солнечного света","Материал: пластик
Размер: 710мл
Упаковка: OPP пакет
Примечание от фабрики: цена примерная, может измениться в зависимости от дизайна", Дизайн: по макету,1000,"3,7","347,0",65-70 календ.дней,,,,"23 400,00","Фото/видео: 11-12 календ.дней
Доставка:12-14 календ.дней",
,,,,2000,"3,62",336,65-70 календ.дней,,,,,,
 ,Стакан переливающийся,"Материал: пластик
Размер: 710 мл
Упаковка: без индивидуальной упаковки
"," Дизайн: брендирование по макету клиента, крышка с носиком",1000,"4,6","442,0",65-70 календ.дней,,,,"34 000,00","Фото/видео: 13-15 календ.дней
Доставка:12-14 календ.дней",
,,,,2000,"4,3","416,0",65-70 календ.дней,,,,,,
,Стакан золотой текстурный,"Материал: полистирол
Размер: 480 мл
Упаковка: индивидуальная упаковка в пакет
Примечание от фабрики: минимальный тираж от 3000 шт","Дизайн: желтый полупрозрачный пластик с переливающимся напылением, печать логотипа на стакане",3000,"5,7","551,0",55-60 календарных дней,"7,96",783,,15644,12-14 календарных дней (фото и видео); 12-14 календарных дней (отправка в Москву),
,,,,5000,"5,7","489,0",,"7,93","780,04",,,,
,"Стакан золотой текстурный","Материал: полистирол
Размер: 480 мл
Упаковка: индивидуальная белая коробка
Примечание от фабрики:  КНГ с 18.01 по 13.02 (в срок тиража НЕ включено)
","Дизайн: печать лого 1 цвет
",2000,"5,5","599,0",50-55 календ.дней,"7,27",796,40-45 календ.дней,15600,"12-14 календарных дней (фото и видео); 12-14 календарных дней (отправка в Москву)",
,Стакан голографический с двойным дном,"Материал: пластик
Размер: 450 мл
Упаковка: индивидуальная упаковка в пакет
Примечание от фабрики: минимальный тираж от 1000 шт","Дизайн: прозрачный корпус с голографическим напылением, печать логотипа на стакане",1000,"5,4","519,0",40-45 календарных дня,"7,33","717,45",30-35 календарных дней,11861,10-12 календарных дней (фото и видео); 12-12 календарных дней (доставка в Москву),
,,,,2000,"5,2","505,0",,"7,17","703,14",,,,
,"Стакан двойной, раздельный для двух напитков","Материал: полипропилен (ПП)
Размер: 500 мл
Упаковка: без индивидуальной упаковки",Дизайн: печать логотипа на стакане в один цвет типографической краской,100-200 тысяч,"0,7","61,6",60-65 календарных дней,,,,14552,12-14 календарных дней (фото и видео); 12-14 календарных дней (отправка в Москву),
,,"Материал: полипропилен (ПП)
Размер: 700 мл
Упаковка: без индивидуальной упаковки
",,100-200 тысяч,"0,9","81,6",60-65 календарных дней,,,,,,
,,"Материал: полипропилен (ПП)
Размер: 500 мл
Упаковка: без индивидуальной упаковки",Дизайн: чистый стакан без печати логотипа,100-200 тысяч,"0,6","56,0",60-65 календарных дней,,,,4750,12-14 календарных дней (фото и видео); 12-14 календарных дней (отправка в Москву),
,,"Материал: полипропилен (ПП)
Размер: 700 мл
Упаковка: без индивидуальной упаковки
",,100-200 тысяч,"0,8","76,0",60-65 календарных дней,,,,,,
,Крышка для двойного стакана с двумя отверстиями для трубочек,"Материал: ПЭТ
Размер: 95 мм
Упаковка: без индивидуальной упаковки
",,100-200 тысяч,"0,1","6,0",60-65 календарных дней,,,,14552,12-14 календарных дней (фото и видео); 12-14 календарных дней (отправка в Москву),
,Стакан для напитков,"Материал: полипропилен (ПП)
Размер: 400 мл, 90 мм
Упаковка: без индивидуальной упаковки
",Дизайн: печать логотипа на стакане в один цвет,100-200 тысяч,"0,5","45,1",45-50 календарных дней,,,,10625,12-14 календарных дней (фото и видео); 12-14 календарных дней (Отправка в Москву),
,Крышка-тарелка для закусок ,"Материал: полипропилен (ПП)
Размер: 500 мл, 90 мм
Упаковка: без индивидуальной упаковки
",,100-200 тысяч,"0,7","61,3",45-50 календарных дней,,,,9808,12-14 календарных дней (фото и видео); 12-14 календарных дней (Отправка в Москву),
,Трубочки-ложки для напитков,"Материал: полипропилен
Размер: 6*240 мм
Упаковка: 100 трубочек в индивидуальном пакете
",,100-200 тысяч,"1,7",165,45-50 календарных дней,,,,7292,10-12 календарных дней (фото и видео); 12-14 календарных дней доставка в Москву,
,Стакан прямоугольный,"Материал: полипропилен
Размер: 500 мл, высота 20,8 см, дно стакана  6,8*4 см, верх стакана 7,5*4,75 см
Упаковка: без индивидуальной упаковки
Примечание от фабрики: возможна выкраска корпуса стакана в пантон, печать логотипа шелкографией",Дизайн: печать логотипа шелкографией в один цвет,20 тыс.,"0,85","98,5",45-50 календарных дней,,,,15992,10-12 календарных дней (фото и видео); 12-14 календарных дней доставка в Москву,
,Термокружка для кофе с крышкой,"Материал: пластик, нержавеющая сталь
Размер: 450 мл
Упаковка: упаковка в индивидуальную коробку
","Дизайн: по макету, 3D печать логотипа в 2 цвета",200,"9,6",963,40-45 календарных дней,"10,6",1070,30-35 календарных дней,8200,"7-10 дней (фото и видео);
12-14 дней (отправка в Москву)",
,,,,300,"9,55",960,,"10,55",1065,,,,
