,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,,,,,,,,,Образец не включен в стоимость тиража,,,,,,
Фото,Наименование,Менеджер,ТЗ,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец КАСТОМ,,,Образец СТОК,,,Доп. фото
,,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Набор джибитсов
комбо",Света Л,Комплект из 15 шт: 14 сток + 1 инд форма,"Материал: ПВХ
Размер: 3 х 3 см
Упаковка: инд пакет", Дизайн:  14 сток + 1 инд форма,1300,"4,7","392,1",45-50,"5,0","419,9",35-40,"11550 (1 шт инд форма)
5000 (набор из 14 шт сток из наличия)",7,17-19,-,,,
 ,"Набор джибитсов
инд форма",Света Л,Комплект из 15 шт инд формы,"Материал: ПВХ
Размер: 3 х 3 см
Упаковка: инд пакет"," Дизайн: индивидуальная форма, 15 шт в наборе ",1300,"7,2","608,2",45-50,"7,6","642,2",35-40,11550 (1 шт),7,17-19,-,,,
,"Набор джибитсов
сток",Света Л,Комплект из 15 шт сток,"Материал: ПВХ
Размер: 3 х 3 см
Упаковка: инд пакет", Дизайн: сток,1300,"3,4","286,3",37-42,"3,5","297,4",27-32,-,,,1550 (1 шт),2,12-14,
 ,"Термос с джибитсами
(с индикатором температуры на крышке)",Катя,Подстаканник с отверстиями для джибитсов и термос. На подстаканнике от 5 до 10 отверстий под джибитсы. ,"Материал: нержавейка 316 и 201
Размер: 500 мл
Упаковка: коробка
Примечание: джибитсы можно снять и поставить без них, но кастомить их и стакан для них - нельзя","Дизайн: лого шелкография (до 2х цветов) или 3Д печать (полноцвет), выкрас бутылки (без крышки) в пантон",1300,"14,0","1213,7",55-60,"16,0","1397,8",45-50,13 950,10,20-22,13950 (полноцвет лого),10,20-22,
,"Термос с джибитсами
(с индикатором температуры на крышке)
сток",Катя,,"Материал: нержавейка 316 и 201
Размер: 500 мл
Упаковка: коробка
Примечание: можно выбрать любой цвет из доп фото, но на стоке такого кол-ва нет, нужно производить",Дизайн: сток ,1300,"13,9","1201,8",50-55,"15,9","1385,9",40-45,13 950,10,20-22,4 500,3,13-15,
 ,"Пенал для джибитсов
",Света Ч,"Пенал с отверстиями для джибитсов. 
На пенале от 5 до 10 отверстий под джибитсы. ","Материал: силикон
Размер: 19,8*2,9*7 см
Упаковка: индивидуальный пакет", Дизайн: цвет красный из наличия,1300,"2,4","199,5",40-45,"2,7","225,9",30-35,,,,1 800,2,12-14,
,,,,, Дизайн: выкрас материала в пантон,1300,"2,4","205,4",,"2,8","232,5",,5 800,7,17-19,,,,
,"Пенал для джибитсов
",Света Ч,"Пенал с отверстиями для джибитсов. 
На пенале от 5 до 10 отверстий под джибитсы. ","Материал: силикон
Размер: 19*6,5*2,5 см
Упаковка: индивидуальный пакет", Дизайн: цвет красный из наличия,1300,"1,8","147,8",45-50,"2,1","175,0",35-40,,,,1 800,7,17-19,
,,,,, Дизайн: выкрас материала в пантон,1300,"1,9","157,2",,"2,2","185,2",,7 800,7,17-19,,,,
,"Пенал для джибитсов
",Света Ч,"Пенал с отверстиями для джибитсов. 
На пенале от 5 до 10 отверстий под джибитсы. ","Материал: силикон
Размер: 22*9*5 см
Упаковка: индивидуальный пакет", Дизайн: цвет красный из наличия,1300,"4,4","369,6",45-50,"5,1","425,4",35-40,,,,2 200,2,12-14,
,,,,, Дизайн: выкрас материала в пантон,1300,"4,5","380,4",,"5,2","437,9",,6 100,7,17-19,,,,
,"Пенал для джибитсов
",Света Ч,"Пенал с отверстиями для джибитсов. 
На пенале от 5 до 10 отверстий под джибитсы. ","Материал: силикон
Размер: 27,6*11,7*7 см
Упаковка: индивидуальный пакет", Дизайн: цвет красный из наличия,1300,"2,6","213,8",45-50,"2,9","245,2",35-40,,,,1 800,2,12-14,
,,,,, Дизайн: выкрас материала в пантон,1300,"2,6","220,1",,"3,0","252,5",,7 800,7,17-19,,,,
 ,"Браслет для джибитсов
брендирование",Света Л,"Браслет с отверстиями для джибитсов. 
На браслете от 5 до 10 отверстий под джибитсы.","Материал: пвх 
Размер:  200*18*3 мм
Упаковка: сток пакетик
Примечание: необходимо подтверждение по дизайну ", Дизайн: выкрас в пантон,1300,"1,4","118,7",45-50,"1,5","123,0",35-40,41 950,7,17-19,-,,,
 ,"Браслет для джибитсов
сток",Света Л,"Браслет с отверстиями для джибитсов. 
На браслете от 5 до 10 отверстий под джибитсы.","Материал: пвх 
Размер:  205*15*3 мм
Упаковка: сток пакетик
Цвет: в доп фото", Дизайн: сток,1300,"0,7","55,8",35-40,"0,7","62,1",25-30,-,,,1 560,3,13-15,
