,"Менеджер: 
Email: 
Телефон: ",,"Киселева Екатерина
katya.e@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Массажер для глаз,"Материал: пластик, электроника
Размер: 190 х 70 х 85 мм
Упаковка: коробка
Примечание от фабрики: если лого нанести шелкографией, цена образца и тиража будет ниже
Характеристики продукта:
Модель: 10s-b маска для глаз
Вес: приблизительно 56 г
Номинальное напряжение: DC 5V
Ёмкость аккумулятора: приблизительно 1000 mAh
Тип: термопрогревающая версия (горячий компресс)
Время работы: приблизительно 50 минут
Предупреждение:
Детям, людям с гипертонией и сердечно-сосудистыми заболеваниями не рекомендуется использовать.
Лицам с глаукомой, катарактой, заболеваниями сетчатки и другими глазными заболеваниями не использовать.
При травмах глаз или после глазных операций использование запрещено.
Пациентам, перенесшим инсульт, с низким давлением или при нарушениях общего состояния не использовать.
Не используйте маску, если на вас надеты контактные линзы.
Паровая маска для глаз является бытовым электронным изделием. Не предназначена для лечения и других коммерческих целей.",Дизайн: лого УФ печать,1000,"25,2","2145,5",2 145 480,55-60,"26,6","2272,9",2 272 940,45-50,17 500,7,17-19,
,,,,1200,"24,7","2104,3",2 525 208,,"26,1","2231,8",2 678 148,,,,,
 ,Зонт,"Материал: ударопрочная ткань
Размер: 100 см в открытом
Упаковка: пакет
Примечание от фабрики: необходимо подтверждение по макету и образцу",Дизайн: печать лого внутри и снаружи,1000,"11,7","1009,4",1 009 430,55-60,"13,4","1169,3",1 169 330,45-50,6 650,4,14-16,
,,,,1200,"11,4","984,4",1 181 316,,"13,1","1144,3",1 373 196,,,,,
 ,кубик для сна,"Материал: пластик
Размер: 5*5cm
Упаковка: инд коробка
Примечание от фабрики: воспроизводит музыку, нужен сертификат ДС, учитан в цене 
Примечание от фабрики: необходимо подтверждение по макету и образцу",Дизайн: Двусторонняя точечная УФ-печать,1000,"13,4","1128,4",1 128 400,40-45,"14,0","1173,4",1 173 380,30-35,7 900,5,15-17,
,,,,1200,"13,4","1125,1",1 350 084,,"13,9","1170,1",1 404 060,,,,,
 ,кубик для сна,"Материал: пластик
Размер: 10*10cm
Упаковка: инд коробка
Примечание от фабрики: воспроизводит музыку, нужен сертификат ДС, учитан в цене 
Примечание от фабрики: необходимо подтверждение по макету и образцу",Дизайн: Двусторонняя точечная УФ-печать,1000,"17,3","1451,7",1 451 680,45-50,"18,5","1551,6",1 551 640,35-40,9 850,7,17-19,
,,,,1200,"17,2","1448,3",1 738 008,,"18,4","1548,3",1 857 960,,,,,
 ,ключница,"Материал: искусственная кожа
Размер: 11*6,5 см
Упаковка: инд пакет
Примечание от фабрики: необходимо подтверждение по макету и образцу",Дизайн: тисненый логотип,1000,"5,7","479,2",479 210,45-50,"6,2","516,7",516 690,35-40,7 850,7,17-19,
,,,,1200,"5,7","476,1",571 332,,"6,1","513,4",616 044,,,,,
 ,"Шарф
(вязка)","Материал: 30 шерсть 70 акрил
Размер: 30 х 180 см
Упаковка: сток
Примечание от фабрики: потребуется подтверждение по макету и образцу",Дизайн: вязка по индивидуальному дизайну,1000,"31,9","2681,6",2 681 600,55-60,"35,7","3002,1",3 002 050,45-50,9 600,10,20-22,
,,,,1200,"31,9","2676,4",3 211 632,,"35,7","2996,8",3 596 172,,,,,
,"Шарф
(сток + бирка)","Материал: мохер
Размер: 230 x 38 см [включая бахрому 16 x 2 см]
Упаковка: сток
Примечание от фабрики: необходимо подтверждениие по макету и образцу",Дизайн: бирка по макету ,1000,"14,2","1194,3",1 194 300,50-55,"16,1","1352,7",1 352 700,40-45,4 500,10,20-22,
,,,,1200,"14,2","1190,4",1 428 480,,"16,1","1348,7",1 618 440,,,,,
