,"Менеджер: Магасумов Арсений
Email: arseny@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,,Образец не включен в стоимость тиража
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Полотенце,"Материал: хлопок 100%
Размер: 35х75 см (для лица), 70х140 см (для тела)
Упаковка: индивидуальный ОПП-пакет
Примечание от фабрики: возможность вышивки логотипа на 60 комплектах полотенец", Дизайн: вышивка логотипа на обоих полотенцах,120,"23,8","2023,5",35-40,"25,3","2147,5",25-30,4 100,5,15-17,
,,,,,,,,,,,,,,
 ,Бутылки,"Материал: нержавеющая сталь
Размер: 12,8х4,7 см (150 мл)
Упаковка: пузырчатая пленка
Примечание от фабрики: бутылки в наличии на складе, что ускоряет сроки доставки", Дизайн: лазерное нанесение логотипа на поверхность бутылки,100,"10,7","910,9",35-40,"11,8","1003,7",25-30,4 700,7,17-19,
,,,,,,,,,,,,,,
 ,Зарядная станция 3 в 1,"Материал: пластик
Размер: 181*17.6*140мм
Упаковка: заводская коробка 
Цвет: чёрный, белый
Примечание от фабрики: 
15 Вт, TYPE-C"," Дизайн: лазерная гравировка, место лого см. в доп.фото",30,"26,4","2241,6",35-40,,,,8 600,5,15-17,
,,,,,,,,,,,,,,
 ,Зарядная станция 4 в 1,"Материал: пластик
Размер: 115x72x137 мм
Упаковка: заводская коробка 
Цвет: чёрный, белый
Примечание от фабрики: 
15 Вт, 3А, 9В, TYPE-C"," Дизайн: лазерная гравировка, место лого см. в доп.фото",30,"27,2","2307,7",35-40,,,,8 600,5,15-17,
,,,,,,,,,,,,,,
 ,Зарядная станция 3 в 1 (складная),"Материал: пластик
Размер: 80*69*35 мм
Упаковка: заводская коробка 
Цвет: чёрный, белый
Примечание от фабрики: 
15 Вт, 3А, 9В, TYPE-C"," Дизайн: лазерная гравировка, место лого см. в доп.фото",30,"24,3","2067,3",35-40,,,,8 600,5,15-17,
,,,,,,,,,,,,,,
 ,Обвес-брелок,"Материал: полиэстер, металл
Размер: 14х2 см (25 мм кольцо)
Упаковка: опп-пакет
Примечание от фабрики: создание обвеса по требованиям от клиента, нанесение логотипа", Дизайн: тканная марка с логотипом,500,"1,3","114,2",40-45,"1,5","125,3",30-35,3 500,7,17-19,
,,,,,,,,,,,,,,
 ,Обвес-брелок,"Материал: полиэстер, металл
Размер: 14х2 см (25 мм кольцо)
Упаковка: опп-пакет
Примечание от фабрики: создание обвеса по требованиям от клиента, нанесение логотипа", Дизайн: тканная марка с логотипом,500,"2,3","193,8",45-50,"2,4","204,9",35-40,10 500,7,17-19,
,,,,,,,,,,,,,,
 ,Обвес-брелок,"Материал: полиэстер, металл
Размер: 14х2 см (25 мм кольцо)
Упаковка: опп-пакет
Примечание от фабрики: создание обвеса по требованиям от клиента, нанесение логотипа", Дизайн: тканная марка с логотипом,500,"2,1","181,3",40-45,"2,3","192,5",30-35,4 300,4,14-16,
,,,,,,,,,,,,,,
 ,Обвес-брелок,"Материал: полиэстер, металл
Размер: 14х2 см 
Упаковка: опп-пакет
Примечание от фабрики: создание обвеса по требованиям от клиента, нанесение логотипа", Дизайн: тканная марка с логотипом,500,"2,0","168,9",40-45,"2,1","180,0",30-35,4 300,8,18-20,
,,,,,,,,,,,,,,
 ,Обвес-брелок,"Материал: полиэстер, металл
Размер: 14х2 см (25 мм кольцо)
Упаковка: опп-пакет
Примечание от фабрики: создание обвеса по требованиям от клиента, нанесение логотипа", Дизайн: тканная марка с логотипом,500,"2,3","193,8",45-50,"2,4","204,9",35-45,9 300,8,18-20,
,,,,,,,,,,,,,,
 ,Часы Xiaomi M8,"Материал: тпу
Размер: примерно 46,8*23*12 мм
Упаковка: заводская коробка 
Цвет: см.фото
Примечание от фабрики: 
USB-зарядка, 50 мАч
нанесение лого от 1000 шт.
кастом коробки от 2000 шт. ", Дизайн: сток,30,не берут,не берут,не берут,"8,2","699,48
ДОЛГОЕ",25-30,4 000,7,17-19,
,,, Дизайн: шелкография,1000,"5,73
ДОЛГОЕ","486,65
ДОЛГОЕ",25-30,"6,0","511,9
ДОЛГОЕ",,,,,
 ,Кепка,"Материал: 65% хлопок, 35% полиэстер
Размер: 58 см
Упаковка: ОПП
Цвет: по раскладке фабрики (см. доп.фото)

"," Дизайн: вышивка лого, место лого см. в фото",50,"23,2","1969,7","производство 25-30 (после подтверждения образца) 
доставка 25-30","24,0","2041,9","производство 25-30 (после подтверждения образца) 
доставка 15-20",8 300,7,17-19,
,,,,,,,,,,,,,,
 ,Зонт,"Материал: зонтичная ткант 210Т
Размер: 23 дюйма, 68*105 см в раскрытом виде, 38*6 см в сложенном
Упаковка: ОПП
Цвет: чёрный, синий, серый, зелёный, бежевый
Примечание от фабрики: ручка-карабин", Дизайн: шелкография/цифровая печать (в зависомсти от лого клиента) на ткани  (см.фото),50,"22,4","1901,6",35-40,"26,0","2210,2",25-30,5 800,5,15-17,
