,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Шоппер Puzzle Bag,"Материал: парусина, экокожа
Цвет: черный + цвет из раскладки
Размер: 39х33х11 см
Два передних кармана, два боковых кармана, карман для ручки, карабин
Стропа с жаккардовым нанесением",300,"17,2","1461,5",55-60,"19,0","1616,3",45-50,17 200,7,17-19,
,,,500,"16,6","1406,4",,"18,4","1561,3",,,,,
,,,1000,"16,2","1378,3",,"18,0","1533,1",,,,,
,,,3000,"15,9","1350,8",,"15,9","1350,8",,,,,
 ,Шоппер Puzzle Bag,"Материал: парусина, термохромная экокожа
Цвет: черный + цвет из раскладки
Размер: 39х33х11 см
Два передних кармана, два боковых кармана, карман для ручки, карабин
Стропа с жаккардовым нанесением",300,"22,5","1909,1",55-60,"24,3","2063,9",45-50,,,,
,,,500,"21,8","1854,0",,"23,6","2008,9",,,,,
,,,1000,"21,5","1825,9",,"23,3","1980,7",,,,,
,,,3000,"21,2","1798,4",,"23,0","1953,2",,,,,
 ,Брелок с металлическим шильдом,"Материал: полиэстер, жаккардовая ткань, металлический сплав
Длина: 18 см
Диаметр шильда: 3 см
Персонализация: эмбоссинг",300,"2,0","216,0",85-90,"1,9","205,2",85-90,"7 800,00",15,25-27,
,,,500,"2,0","205,8",,"1,9","195,5",,,,,
,,,1000,"1,8","181,7",,"1,7","172,6",,,,,
 ,Брелок с карманом для бейджа,"Материал: ПВХ, паракорд
Размер: 6.6х11.2 см
Персонализация: печать лого на кармане, выбор цвета кармана из раскладки, выбор цвета шнурка из раскладки

Стоимость тиража должна быть уточнена после получения макета и проработки образца",300,"2,9","257,7",35-40,"3,1","271,0",25-30,"9 270,00",10,20-22,
,,,500,"2,8","241,7",,"2,9","255,0",,,,,
,,,1000,"2,7","239,9",,"2,9","253,2",,,,,
,,,3000,"2,7","238,7",,"2,9","252,0",,,,,
