,"Менеджер: Киселева Екатерина
Email: katya.e@megamind.ru
Телефон: +7 (921) 970-63-24
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
,Кружка,"Материал: костяной фарофр
Размер: 130х70мм,600 мл
Упаковка: транспортировочная
"," Дизайн: выкрас в пантон (внутри и снаружи), форма по тз с крышкой из фарфора, лого мтс",250,"19,5","1660,8",70-75,"21,1","1794,3",60-65,"32 950 
открытие формы+лого",20-25,32-37,
,Кружка,"Материал: керамика
Размер: 10 х 7.5 см, 300 мл
Упаковка: сток коробка
", Дизайн: сток,250,"5,4","488,2",30-35,"6,6","604,1",20-25,5 800,2,12-14,
,Крышки ,"Материал: дерево
Размер: 7.3 см
Упаковка: сток пакет
", Дизайн: сток,250,"3,3","288,3",30-35,"3,4","299,7",20-25,3 200,2,12-14,
 ,Свеча,"Материал: соевый воск
Размер: высота свечи - 100м, высота одной грани - 20мм, диаметр самой узкой окружности - 50мм, самой широкой - 70мм, высота фитиля - 15мм
Упаковка: сток коробка
", Дизайн: по макету,1000,"3,2","283,7",45-50,"4,1","369,5",35-40,15700 (при тираже половина стоимости возвращается),7,17-19,
 ,Картхолдер,"Материал: силикон
Размер: 60 х 95 мм
Упаковка: по одному в OPP-пакет
Примечание от фабрики: необходдимо производство и подтверждение предтиражного образца "," Дизайн: индивидуальная форма, пантон, печать дизайна по макету  без дебоссинга (невозможно на силиконе)",1000,"4,1","344,6",50-55,"4,1","350,0",40-45,10 800,15,25-27,
,,,,,,,,,,,,,,
,Картхолдер,"Материал: кожзам, клей
Размер: 95 х 65 мм
Упаковка: сток
Примечание от фабрики: необходдимо производство и подтверждение предтиражного образца 
Крепление на клей"," Дизайн: подбор близкий к пантон *, печать дизайна по макету

* Точно в пантон от 1000 шт ",100,"3,7","310,4",60-65,"3,8","324,8",50-55,6 500,15,25-27,
,,,,250,"3,5","299,3",,"3,7","313,7",,,,,
,,," Дизайн: подбор близкий к пантон *, тиснение дизайна по макету

* Точно в пантон от 1000 шт ",100,"3,9","327,2",65-70,"4,0","342,4",55-60,,,,
,,,,250,"3,7","315,5",,"3,9","330,7",,,,,
,,," Дизайн: подбор близкий к пантон *, тиснение и печать дизайна по макету

* Точно в пантон от 1000 шт ",100,"3,9","346,7",,"4,1","362,9",,,,,
,,,,250,"3,8","334,7",,"4,0","350,9",,,,,
 ,Кросс-боди-шнур для телефона,"Материал: полиэстер, силикон
Размер: 1500 мм
Упаковка: сток пакетик
Примечание от фабрики: необходимо производство и подтверждение предтиражного образца "," Дизайн: цвет пантон, индивидуальная форма силиконовой трубки для кросс-боди ремня",1000,"3,8","319,4",55-60,"4,0","337,7",45-50,35 300,15,25-27,
,,,,,,,,,,,,,,
 ,Кросс-боди-шнур для телефона,"Материал: полиэстер, силикон
Размер: 1500 мм
Упаковка: сток пакетик
Примечание от фабрики: необходимо производство и подтверждение предтиражного образца "," Дизайн: цвет пантон или подбор близкого оттенка, индивидуальная форма силиконовой трубки для кросс-боди ремня",300,"7,2","629,6",50-55,"7,4","649,6",40-45,17 500,10,20-22,
,,,,500,"4,7","409,2",,"4,9","429,1",,,,,
,,,,1000,"4,6","407,4",,"4,9","427,3",,,,,
,,," Дизайн: цвет пантон или подбор близкого оттенка, без силиконовой трубки",300,"6,5","575,1",,"6,8","595,1",,,,,
,,,,500,"4,0","354,7",,"4,3","374,6",,,,,
,,,,1000,"4,0","352,9",,"4,2","372,8",,,,,
 ,Сумка через плечо,"Материал: курточная ткань, 240 гр
Размер: 15х25 см
Цвет: пантон 2090С
Детали: 
- черный шнурок-резинка (или паракорд 3-4 мм), на нем круглая ПВХ бусина красного цвета без нанесения
- ПВХ или жаккардовая бирка с нанесением вшита в шов
- красный карабин, металл
- нежно-сиреневая стропа со стежками
- основная стропа в цвет сумки
Упаковка: стоковый пакет (зип-пакет 20х30 см, 160 мкм, без брендирования +5,2 руб)
Примечание от фабрики: необходимо производство и подтверждение предтиражного образца 

*тираж для силиконовых бирок и подвесов слишком маленький, поставщик не соглашается делать, поэтому посчитаны ПВХ бирки и подвесы"," Дизайн: цвет пантон, индивидуальная форма бирки и подвеса",300,"24,2","2233,6",55-60,"25,3","2393,5",45-50,16 720,10,20-22,
,,,,500 (мин),"15,8","1339,8",55-60,"16,9","1435,2",45-50,,,,
 ,Сумка через плечо,"Материал: курточная ткань, 240 гр
Размер: 15х25 см
Цвет: пантон 2090С
Детали: 
- черный шнурок-резинка (или паракорд 3-4 мм), без бусины (стоковая бусина из силикона +26 руб)
-  жаккардовая бирка вшита в шов (ПВХ-бирка +150 руб)
- красный карабин, металл
- нежно-сиреневая стропа со стежками
- основная стропа в цвет сумки
Упаковка: стоковый пакет (зип-пакет 20х30 см, 160 мкм, без брендирования +5,2 руб)
Примечание от фабрики: необходимо производство и подтверждение предтиражного образца 

*тираж для силиконовых бирок и подвесов слишком маленький, поставщик не соглашается делать, поэтому посчитаны ПВХ бирки и подвесы"," Дизайн: цвет пантон, индивидуальная форма бирки и подвеса",300 (мин),"14,5","1230,7",45-50,"15,4","1306,6",35-40,"14420 
(с ПВХ-биркой 20560)",10,20-22,
 ,Брелок,"Материал: силикон, металл, паракорд
Размер: ремувка 60х20 мм, подвес 50х50 мм
Цвет: пантон 2090С + металлик
Детали: 
- силиконовая форма с блестками (шиммер замешивается перед заливкой)
- фурнитура сток
- паракорд фиолетового цвета (способ закрепления - сшивание)
- форма крепится к колечку с помощью цепочки или тросика
Упаковка: стоковый пакет
Примечание от фабрики: необходимо производство и подтверждение предтиражного образца "," Дизайн: цвет пантон, индивидуальная форма бирки и подвеса",300,"28,3","2653,3",45-50,"31,6","2985,3",35-40,135 250,10,20-22,
,,,,1000 (мин),"9,4","796,0",45-50,"10,1","859,6",35-40,135 250,10,20-22,
,Карабин,"Материал: металл
Размер: 24 х 48 мм
Упаковка: сток
", Дизайн: сток,50,"0,6","50,6",25-30,"0,6","53,0",15-20,1 460,2,12-14,
,,,,100,"0,3","27,2",,"0,3","27,2",,,,,
,,,,250,"0,3","22,1",,"0,3","22,1",,,,,
,Карабин,"Материал: металл
Размер: 21.5 х 38.3 мм
Упаковка: сток
", Дизайн: сток,50,"0,6","48,0",25-30,"0,6","50,4",15-20,1 520,2,12-14,
,,,,100,"0,3","24,1",,"0,3","26,5",,,,,
,,,,250,"0,2","18,3",,"0,2","20,7",,,,,
,Карабин,"Материал: металл
Размер: 41 х 75 мм
Упаковка: сток
", Дизайн: сток,50,"0,9","83,1",25-30,"1,0","89,9",15-20,1 890,2,12-14,
,,,,100,"0,7","59,9",,"0,8","66,8",,,,,
,,,,250,"0,6","54,8",,"0,7","61,7",,,,,
,Карабин,"Материал: металл
Размер: 50х25 мм
Упаковка: сток
", Дизайн: сток,50,"0,6","55,8",25-30,"0,7","58,2",15-20,1 890,2,12-14,
,,,,100,"0,4","31,8",,"0,4","34,2",,,,,
,,,,250,"0,3","26,0",,"0,3","28,4",,,,,
,Бусина,"Материал: силикон
Размер: 19 мм
Упаковка: сток
", Дизайн: сток,50,"0,6","50,2",25-30,"0,6","51,9",15-20,1 890,2,12-14,
,,,,100,"0,3","27,0",,"0,3","28,7",,,,,
,,,,250,"0,3","22,0",,"0,3","23,6",,,,,
,Бусина,"Материал: акрил
Размер: 20 мм
Упаковка: сток
", Дизайн: сток,100,"0,3","22,1",25-30,"0,3","23,8",15-20,1 890,2,12-14,
,,,,250,"0,2","17,1",,"0,2","18,7",,,,,
,Бусина,"Материал: ПВХ
Размер: 20 мм
Упаковка: сток
"," Дизайн: открытие формы, выкрас в пантон (без нанесения)",250,"6,1","536,3",50-55,"6,2","542,3",40-45,32 300,10,20-22,
,,,,1000 (мин),"2,0","172,0",,"2,0","177,9",,,,,
