,"Менеджер: 
Email: 
Телефон: ",,"Борисова Александра
sashab@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Увлажнитель воздуха ,"Материал: пластик, pp
Размер: 19*16,6cm
Упаковка: инд коробка
Примечание от фабрики: посчитан 1 цвет шелкографии 
Прикрепляю фотографию, где можно сделать логотип 
 Можно убрать логотип производителя 
 Логотип может быть напечатан на резинке, цвет ремня может быть изменен - это будет плюс к цене (плюс к цене примерно 20 рублей, заказ от 10000 штук, срок в производстве не увеличится) 
Фотографии живые прикрепляю ",Дизайн: лого шелкография,2000,"22,4","1879,3","3 758 580,00",50-55,"28,0","2351,7","4 703 480,00",40-45,8 710,5,15-17,
,,,,,,,,,,,,,,,,
 ,Умный блокнот с ручкой,"Материал: Полимерный материал
Размер: 24*17,5cm
Упаковка: инд пакет
Примечание от фабрики: Ручка 3-го поколения Smart Pen + несъемный блокнот с бумагой формата А5 + 3 запасных стержня",Дизайн: лого шелкография,150,"74,9","6289,9","943 480,50",35-40,"77,7","6522,3","978 340,50",25-30,8 150,2,12-14,
,,,,,,,,,,,,,,,,
 ,Колонка с led-экраном,"Материал: ABS
Размер: 14*5,5cm
Упаковка: инд коробка
Примечание от фабрики: Время зарядки: около 2 часов, Время воспроизведения музыки: 7-8 часов",Дизайн: лого УФ-печать,2000,"36,6","3072,8","6 145 560,00",55-60,"39,1","3280,1","6 560 240,00",45-50,13 470,5,15-17,
,,,,,,,,,,,,,,,,
 ,Зарядная станция,"Материал: пластик
Размер:  118*104*78mm
Упаковка: инд коробка
Примечание от фабрики: ",Дизайн: лого УФ-печать,2000,"34,2","2875,4","5 750 740,00",55-60,"35,8","3003,1","6 006 260,00",45-50,8 700,5,15-17,
,,,,,,,,,,,,,,,,
 ,Браслет ,"Материал: ремешок из текстиля，корпус из пластика

Размер: 10*10*3 см

Упаковка: пакет.                       Примечание от фабрики: ",Дизайн: возможно нанесение логотипа на внешнюю сторону крепления(как на фото)лазерной гравировкой или УФ-печатью  (один цвет),2000,"44,5","3760,0","7 520 000,00",55-60,"46,0","3810,0","7 620 000,00",45-50,7 400,7,17-19,
,,,,,,,,,,,,,,,,
 ,Тревел-сумка,"Материал: EVA        

Размер: 23*4*14  cm
Упаковка: пакет.                       Примечание от фабрики: ",Дизайн: УФ-печать   (один цвет),2000,"13,9","1170,4","2 340 720,00",   ,"15,3","1284,6","2 569 200,00",45-50,6 300,7,17-19,
,,,,,,,,,,,,,,,,
 ,"
Коврик с подогревом
","Материал: pu                                      Размер: 80*33
Упаковка: пакет.                       Примечание от фабрики:  фабркиа может сделать уф","Дизайн: черный коврки, печать уф  (один цвет)",2000,"15,0","1234,8","2 469 640,00",50-55,"17,4","1449,0","2 898 040,00",40-45,9 100,7,17-19,
,,,,,,,,,,,,,,,,
 ,"
поисковый трекер
","Материал: abs
Размер: 36*36mm
Упаковка: коробка                  Примечание от фабрики: ",Дизайн:  лазер   (один цвет),2000,"5,1","346,7","693 360,00",50-55,,,,,6 800,5,15-17,
,,,,,,,,,,,,,,,,
 ,"ежедневник с зарядкой 
","Материал: искусственная кожа
Размер: 20,7*14,2 cm
Упаковка: инд пакет                Примечание от фабрики: ",Дизайн:  лого уф печать,2000,"26,1","2190,1","4 380 280,00",60-65,"29,2","2452,5","4 905 060,00",50-55,9 205,5,15-17,
,,,,,,,,,,,,,,,,
 ,"вечный календарь
","Материал:  АБС+массив дерева
Размер: 22*15*4 cm
Упаковка: инд пакет                Примечание от фабрики: ",Дизайн:  лого лазер,4000,"5,4","456,0","1 824 120,00",55-60,"6,6","554,8","2 219 280,00",45-50,6 500,5,15-17,
,,,,,,,,,,,,,,,,
 ,"вечный календарь
","Материал: ABS-пластик, алюминиевый сплав, дерево
Размер:  12 x 11 x 9.5 см
Упаковка: инд пакет                Примечание от фабрики: ",Дизайн:  лого лазер,4000,"12,8","1076,1","4 304 200,00",55-60,"14,4","1206,7","4 826 880,00",45-50,4 750,3,13-15,
,,,,,,,,,,,,,,,,
 ,"вечный календарь
","Материал: АБС+массив дерева
Размер: 13,5*18 cm
Упаковка: инд пакет                Примечание от фабрики: ",Дизайн:  лого лазер,4000,"9,3","779,8","3 119 320,00",55-60,"10,5","878,6","3 514 440,00",45-50,6 500,5,15-17,
,,,,,,,,,,,,,,,,
 ,"вечный календарь
","Материал: дерево
Размер: 20,5*16,5 cm
Упаковка: инд пакет                Примечание от фабрики: ",Дизайн:  лого лазер,4000,"3,5","291,7","1 166 960,00",55-60,"4,2","353,8","1 415 320,00",45-50,8 100,5,15-17,
,,,,,,,,,,,,,,,,
 ,"вечный календарь
","Материал: дерево
Размер: 14,5*13,5 cm
Упаковка: инд пакет                Примечание от фабрики: ",Дизайн:  лого лазер,4000,"11,0","923,5","3 693 800,00",55-60,"12,2","1025,3","4 101 280,00",45-50,6 500,5,15-17,
