,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
,Фотоальбом ,"Материал: фланель, хлопок, лен
Размер альбома: 33 х 32 см
Размер страниц: 32.5 х 28 см
Упаковка: сток
Примечание от фабрики: за доп стоимость можно нанести лого",сток,240,"17,7","1721,7",50-55 дней,"21,1","2052,5",40-45 дней,"8 300,00",17-19 дней,
,,,,360,,,,,,,,,
,,,,600,,,,,,,,,
,Карманный принтер,"Материал: абс, пс пластик
Размер: 124 х 85 мм
Упаковка: сток
Примечание от фабрики: принтер от бренда Сяоми",сток,240,"107,0","10418,5",45-50 дней,"107,5","10469,0",30-35 дней,"23 500,00",30-35 дней,
,,,,360,,,,,,,,,
,,,,600,,,,,,,,,
,3Д пазл,"Материал: дерево
Размер инсталляции: 325 х 214 х 228 мм
Упаковка: сток
Примечание от фабрики: 10 шариков в комплекте",сток,240,"53,6","5313,1",30-35 дней,"58,8","5873,5",20-25 дней,"21 550,00",17-19 дней,
,,,,360,,,,,,,,,
,,,,600,,,,,,,,,
,Проектор,"Материал: ABS
Размер: 136 х 126 х 165 мм
Упаковка: сток",сток,240,"140,7","13693,4",40-45 дней,"146,8","14287,4",30-35 дней,"11 600,00",22-25 дней,
,,,,360,"139,3","13552,1",,"145,4","14146,2",,,,
,,,,600,"138,1","13439,1",,"144,2","14033,2",,,,
,Набор для окуривания виски и коктейлей,"Материал: резиновое дерево
Упаковка: сток картонная
Примечание от фабрики: в набор входит окуриватель и 4 вида щепа",сток,240,"13,3","1295,8",65-70 дней,"15,3","1491,0",50-55 дней,"7 700,00",25-30 дней,
,,,,360,"12,5","1212,8",,"14,5","1408,1",,,,
,,,,600,"11,9","1155,9",,"13,9","1351,2",,,,
,"Колонка в форме айсберга с функциями ночника и аромадиффузора ""Эльбрус""","Материал: ABS + гипс + PC
Размер: 13,8 х 8,5 х 14,5 см
Упаковка: сток
Примечание от фабрики: масло в набор не входит",сток,240,"51,4","4997,1",35-40 дней,"55,6","5409,1",25-30 дней,"7 350,00",15-17 дней,
,,,,360,"51,3","4994,6",,"55,6","5406,6",,,,
,,,,600,"51,3","4992,6",,"55,6","5404,6",,,,
