,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Щетка в кожаном чехле,"Материал: пластик, натуральная кожа
Размер щетки: 186*14мм
Размер чехла:  ~21*2,5см
Упаковка: щетка в кожаном чехле, каждый чехол в OPP пакете
Примечание от фабрики: "," Дизайн: гравировка на щетке, изготовление кожаного чехла под заказ, гравировка на кнопке",200,"12,8","1090,0",60-65,"13,3","1128,0",50-55,10 600,8,18-20,
,,,,500,"11,9","1011,0",60-65,"12,3","1048,0",50-55,,,,
,Коробка для конфет,"Материал: картон
Размер: 10*10*10см
Упаковка: без
Примечание от фабрики: ", Дизайн: тиснение золотой серебряной или черной фольгой,200,"3,1","260,0",40-45,"3,9","328,0",30-35,6 900,7,17-19,
,,,,500,"2,9","247,0",40-45,"3,7","315,0",30-35,,,,
,Коробка для конфет,"Материал: картон
Размер: 14*14*14см
Упаковка: без
Примечание от фабрики: ", Дизайн: тиснение золотой серебряной или черной фольгой,200,"7,9","669,0",40-45,"10,5","892,0",30-35,7 000,7,10-12,
,,,,500,"7,7","657,0",40-45,"10,3","879,0",30-35,,,,
 ,Футляр для хранения,"Материал: натуральная кожа
Размер: 32*28см
Упаковка: OPP пакет
Примечание от фабрики: ", Дизайн: тиснение лого,200,"45,6","3879,0",45-50,"47,5","4034,0",35-40,28 000,5,10-12,
,,,,500,"44,2","3760,0",45-50,"46,0","3910,0",35-40,,,,
 ,Футляр для хранения,"Материал: тайвек
Размер: 22*28*9см
Упаковка: OPP пакет
Примечание от фабрики: ", Дизайн: шелкография лого 1 цвет,200,"11,5","982,0",55-60,"12,6","1072,0",45-50,22 500,9,10-12,
,,,,500,"10,9","927,0",55-60,"12,0","1017,0",45-50,,,,
 ,Футляр-подвес,"Материал: натуральная кожа
Размер: 9,8*6*3,9см
Упаковка: OPP пакет
Примечание от фабрики: есть возможность изготовить футляр из кожи или текстиля любого размера по индивидуальному макету, подобрать фурнитуру с учетом пожеланий, цена зависит от дизайна ", Дизайн: тиснение лого,200,"15,4","1310,0",55-60,"15,7","1333,0",45-50,27 300,12,10-12,
,,,,500,"15,1","1284,0",55-60,"15,0","1278,0",45-50,,,,
 ,Тапочки,"Материал: натуральная шерсть барана
Размер от 35EU до 45EU 
Упаковка: стандартная заводская картонная коробка
Примечание от фабрики: Необходимо оформление ДС+ЧЗ (примерная стоимость 40 000 рублей), не входит в стоимость", Дизайн: выбор цвета из заводской палитры фабрики,500,,,,"47,68","4 257,07 ₽",40-45,10 600,5,15-17,
,,,,,,,,,,,,,,
 ,Тапочки,"Материал: Плюш
Размер от 35EU до 45EU 
Упаковка: ОРР пакет
Примечание от фабрики: Необходимо оформление ДС+ЧЗ (примерная стоимость 40 000 рублей), не входит в стоимость", Дизайн: выбор цвета из заводской палитры фабрики,500,,,,"16,08","1 459,46 ₽",40-45,4 200,5,15-17,
