,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, жд",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, авиа",Образец ,Срок образца,Доп. фото
,Шнурок для очков,"Материал: силикон
Размер: 53х0.01 см
Упаковка в индивидуальный пакет",100,"0,5","48,2",25-30 дней,"0,54","49,9",15-20 дней,1750,10-15 дней,
,,,500,"0,4","34,6",,"0,39","36,3",,,,
,,,1000,"0,4","32,9",,"0,37","34,6",,,,
,Шнурок для очков,"Материал: силикон
Размер: 52х0.01 см
Упаковка в индивидуальный пакет",100,"0,4","38,8",25-30 дней,"0,44","40,5",15-20 дней,1750,10-15 дней,
,,,500,"0,3","5572,0",,"0,29","26,9",,,,
,,,1000,"0,3","23,5",,"0,27","25,3",,,,
,Шнурок для очков,"Материал: полиэстер
Размер: 68х0.02 см
Упаковка в индивидуальный пакет",100,"0,8","74,8",25-30 дней,"0,9","78,7",15-20 дней,2210,10-15 дней,
,,,500,"0,7","61,3",,"0,7","65,1",,,,
,,,1000,"0,6","59,6",,"0,7","63,4",,,,
,Шнурок для очков,"Материал: полиэстер
Размер: 70х0.01 см
Упаковка в индивидуальный пакет",100,"0,4","40,6",25-30 дней,"0,5","41,9",15-20 дней,1660,10-15 дней,
,,,500,"0,3","26,9",,"0,3","28,4",,,,
,,,1000,"0,3","25,3",,"0,3","26,7",,,,
,Шнурок для очков,"Материал: акрил
Размер: 70 см
Упаковка в индивидуальный пакет",100,"0,7","66,8",25-30 дней,"0,8","69,6",15-20 дней,1580,10-15 дней,
,,,500,"0,6","53,3",,"0,6","56,1",,,,
,,,1000,"0,6","51,5",,"0,6","54,3",,,,
,Рюкзак,"Материал: нейлон, мембранная ткань
Размер: 44х28х11
",100,"63,1","5830,6",55-60 дней,"66,9","6185,4",45-50 дней,19050,"17-20 дней, фото-видео 7-10 дней",
,,,300,"57,2","5285,5",,"60,9","5640,3",,,,
,,,500,"51,4","4749,4",,"55,2","5104,2",,,,
