,"Менеджер: Андрианова Анастасия
Email: anastasiaandrianova@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Светильник ариловый ,"Материал: акрил + пластик (подставка)
Размер: акриловая часть - 15*8*24 см; подставка - 9,5*4 см
Упаковка: индивидуальная коробка 
Примечание от фабрики: 
В комплекте: акриловая доска, подставка, пуль управления, провод, инструкция

16 цветов свечения и режим плавного переливания цвета. Управление цветом свечения осуществляется прикосновением к сенсорной кнопке и пультом ДУ. Ночник работает от батареек 3хAA и через USB-провод (для подключения к сети используйте USB-адаптер 5V/2A).","Дизайн: акриловая часть по макету (самолет + надпись гравировка), подставка из наличия черного цвета",100,"7,5","782,2",30-35,"8,79","914,6",20-25,"5 000,00",12-15,
 ,Чехол для чемодана,"Материал: полиэстер, плотность 200 г/м2
Размер: 
S: высота 48-52 см, ширина 32-36 см
Упаковка: OPP пакет
Примечание от фабрики: 
","Дизайн: нанесение логотипа (шелкография) в правом нижнем углу чехла (размер примерно 10*15 см)
*цвет можно выбрать из наличия",100,"4,1","430,4",35-40,"4,56","474,38",25-30,"8 000,00",13-15,
,,"Материал: полиэстер, плотность 200 г/м2
Размер: 
M: высота 57-62 см, ширина 38-43 см        
Упаковка: OPP пакет
Примечание от фабрики: 
",,100,"5,0","521,6",,"5,55","577,56",,,,
,,"Материал: полиэстер, плотность 200 г/м2
Размер:      
L: высота 67-70 см, ширина 45-50 см
Упаковка: OPP пакет
Примечание от фабрики: 
",,100,"6,1","632,7",,"6,81","708,57",,,,
,,"Материал: полиэстер, плотность 200 г/м2
Размер: 
XL: высота 72-78 см, ширина 50-55 см
Упаковка: OPP пакет
Примечание от фабрики: 
",,100,"7,0","722,8",,"7,79","810,35",,,,
,,"Материал: полиэстер, плотность 200 г/м2
Размер: 
M: высота 57-62 см, ширина 38-43 см        
Упаковка: OPP пакет
Примечание от фабрики: 
",Дизайн: полная запечатка по макету ,100,"8,8","1006,3",,"9,29","1068,2",,,,
,,"Материал: полиэстер, плотность 200 г/м2
Размер: 
M: высота 57-62 см, ширина 38-43 см        
Упаковка: OPP пакет
Примечание от фабрики: 
",,100,"5,0","521,6",,"5,55","577,56",,,,
