,"Менеджер: Киселева Екатерина
Email: katya.e@megamind.ru
Телефон: +7 (921) 970-63-24
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Бутылка,"Материал: нержавейка 201
Размер: 680 мл
Упаковка: цветная коробка
", Дизайн: лого / пантон,100 (мин для нанесения лого),"9,3","892,4",35-40,"11,4","1111,6",25-30 ,7 600 (лого),2,12-14,
,,,,,"8,3","790,2",45-50 (долгое),"9,0","863,2",30-35 (долгое),,,,
,,,,500 (мин для изменения цвета),"8,8","851,6",50-55 ,"11,0","1070,7",40-45,18 800 (пантон),15,25-27,
,,,,,"7,8","749,4",60-65 (долгое),"8,5","822,4", 45-50 (долгое),,,,
 ,Бутылка 2,"Материал: нержавейка 201, 316
Размер: 1000 мл
Упаковка: цветная коробка
", Дизайн: лого / пантон, 100 (мин для нанесения лого),"27,8","2648,9",30-35 ,"31,6",3035,20-25,11 700 (лого),4,14-16,
,,,,,"26,1","2468,8",40-45 (долгое),"27,3",2598,25-30 (долгое),,,,
,,,, 2000 (мин для изменения цвета),"24,2","2306,3",30-35 ,"27,9","2692,4",20-25,14 250 (пантон),6,16-18,
,,,,,"22,4","2126,1",40-45 (долгое),"23,7","2254,8",25-30 (долгое),,,,
 ,Попсокет с подставкой (хвостиками),"Материал: пластик, силикон, металлический провод
Размер: 50 мм
Упаковка: пакетик сток
Примечение от фабрики: в Китае такой позиции пока нет. Могут изготовить с нуля, поэтому необходима проработка образца, Стоимость может быть уточнена после изготовления образца.",Дизайн: индивидуальный дизайн по фото (желательно предоставление образцов),5000,"6,1","568,1",60-65,"6,5",601,50-55,72 100,30,40-42,
,,,,,,,,,,,,,,
 ,Фотоаппарат пленочный,"Материал: пластик
Размер: 12.5х8.7х5.4 см
Упаковка: цветная коробка",Дизайн: сток,300,"11,6","1073,7",30-35,"12,3",1142,20-25,2 800,2,12-14,
,,,,500,"10,1","938,1",,"10,8",1006,,,,,
,,,,1000,"9,0","836,4",,"9,7",904,,,,,
,,,,300,"5,9","549,3",45-50 (долгое),"6,6",611,35-40 (долгое),,,,
,,,,500,"5,9","547,0",,"6,5",609,,,,,
,,,,1000,"5,9","545,3",,"6,5",607,,,,,
,,,"Дизайн: печать лого, шелкография, 1+0",300,"11,8","1101,0",40-50,"12,6",1169,30-40,8 770,7,10-12,
,,,,500,"10,4","965,4",,"11,1",1033,,,,,
,,,,1000,"9,3","863,7",,"10,0",931,,,,,
,,,,300,"6,2","576,5",55-60 (долгое),"6,9",638,45-50 (долгое),,,,
,,,,500,"6,2","574,2",,"6,8",636,,,,,
,,,,1000,"6,2","572,5",,"6,8",634,,,,,
,Попсокет на магните с кабелем,"Материал: силикон, пластик
Размер: 60 х 60 мм, Длина кабеля: до 0,5 м
Технические характеристики:
Интерфейс: Lightning, TYPE-C
Количество разветвителей: 1
Максимальная выходная мощность: 100W
Цвета: черный, белый
Особенности: растягивающийся
Примечание: необходимо изготовление образца, стоимость может быть уточнена",Дизайн: нанесение логотипа,1000,"12,3","1140,8",50-55,"12,6",1174,40-45,16 100,10,20-22,
,,,,1500,"12,3","1140,2",,"12,6",1173,,,,,
,,,,2000,"12,3","1140,0",,"12,6",1173,,,,,
,Попсокет на магните с подставкой,"Материал: пластик, магнит
Размер: 60 х 60 мм
Технические характеристики:
Максимальная выходная мощность: 15W
Общая мощность выходного тока: 15W
Цвета: белое, черное
Примечание: необходимо изготовление образца, стоимость может быть уточнена",Дизайн: нанесение логотипа,300,"14,0","1303,1",40-45,"14,2",1324,30-35,11 600,5,15-17,
,,,,500,"13,7","1272,8",,"13,9",1293,,,,,
,,,,1000,"13,5","1257,0",,"13,7",1277,,,,,
Просчет 25.07.25,,,,,,,,,,,,,,
,"Выдвижной 4-в-1 кабель для быстрой зарядки и передачи данных (до 100W), совместим с iPhone, планшетами, ноутбуками и зарядкой в машине","Материал: алюминиевый сплав
Размер: длина от 1 м до 2 м, выдвижной
Технические характеристики:
Интерфейсы: Lightning, Type-C, другие
Разветвление: 2 на 2
Мощность: до 100W (20V 5A)
Функции: передача данных
Комплектация: инструкция
Упаковка: сток 
Примечание: необходимо подтверждение по макету и образцу",Дизайн: логотип шелкография,500,"7,7","656,2",45-50,"8,2",694,35-40,3 700,3,13-15,
,,,,1000,"7,7","654,4",,"8,1",693,,,,,
