,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Лампа,"Материал: АБС-пластик, водонепроницаемая бумага
Зарядка от type C
Размер: 12.1х12.1х1.8 см
Упаковка: индивидуальная коробка

Брендирование: добавление паттерна на бумажную часть лампы, добавление лого на подставку, гравировка",300,"17,8","1672,7",40-45 дней,19,"1777,6",30-35 дней,9100,"15-20 дней, фото-видео 5-7 дней",
,,,500,"16,7","1562,5",,"17,8","1667,5",,,,
,,,1000,"16,1","1506,9",,"17,3","1611,8",,,,
,Лампа,"Материал: АБС-пластик, водонепроницаемая бумага
Зарядка от type C
Размер: 12х12х1.5 см
Упаковка: индивидуальная коробка

Брендирование: добавление паттерна на бумажную часть лампы, добавление лого на подставку, гравировка",300,"11,1","1035,2",40-45 дней,"11,7","1093,7",30-35 дней,8700,"15-20 дней, фото-видео 5-7 дней",
,,,500,"11,1","1032,9",,"11,7","1091,4",,,,
,,,1000,"10,1","944,9",,"10,7","1003,4",,,,
,Гирлянда с прищепками,"Длина: 1.5 м, 10 ламп

Работает от USB
Упаковка: индивидуальный пакет

Брендирование: наклейка с лого на пакет",300,"1,8","163,3",30-35 дней,"2,1","191,2",20-25 дней,1850,15-20 дней,
,,,500,"1,7","161,1",,2,"188,9",,,,
,,,1000,"1,7","159,3",,2,"187,2",,,,
,Гирлянда с прищепками,"Длина: 3 м, 20 ламп
Размер прищепки: 5.5х1.4х1.3 см
Работает от USB
Упаковка: индивидуальный пакет

Брендирование: наклейка с лого на пакет",300,"3,0","279,9",30-35 дней,"3,4","319,3",20-25 дней,1900,15-20 дней,
,,,500,"2,9","277,8",,"3,4","317,2",,,,
,,,1000,"2,9","276,2",,"3,3","315,5",,,,
,Гирлянда с прищепками,"Длина: 6 м, 40 ламп
Размер прищепки: 5.5х1.4х1.3 см
Работает от USB
Упаковка: индивидуальный пакет

Брендирование: наклейка с лого на пакет",300,"5,1","473,3",30-35 дней,"5,9","551,9",20-25 дней,2280,15-20 дней,
,,,500,"5,0","471,1",,"5,9","549,8",,,,
,,,1000,"5,0","469,5",,"5,8","548,2",,,,
,Поднос,"Размер: 30х2х5 см 
Матераил: пластик, экокожа
Брендирование: тиснение на 2х ручках сбоку (см фото)
Упаковка: OPP пакет + картонная коробка",300,"16,3","1526,9",45-50 дней,"19,09","1784,81",35-40 дней,"4924,98",16-21 дней,
,,,500,"16,3","1521,7",,"19,03","1779,57",,,,
,,,1000,"16,2","1517,8",,"18,99","1775,71",,,,
,"Ситечко для чая
","Размер: 5,5 х 5,5 см
Материал: нержавеющая сталь 304
Брендирование: логотип на задней части ситечка (лазер), цвет золотой
Упаковка: OPP пакет","1000
(сток)","1,6","146,3",25-30 дней,"1,67","155,73",15-20 дней,"1893,39 (5шт.)",10-15 дней,
,,,"1000
(лого)","2,0","186,8",40-50 дней,"2,1","196,2",30-40 дней,"3717,04",51-22 дней,
,"Ситечко для чая
","Размер: 5,5 х 5,5 см
Материал: нержавеющая сталь 304
Брендирование: нет
Упаковка: OPP пакет","500
мин тираж","1,3","121,0",25-30 дней,"1,4","130,45",15-20 дней,"1579,75",10-15 дней,
,,,1000,"1,3","119,3",,"1,38","128,75",,,,
,"Ситечко для чая
","Размер: 9 х 5 см
Материал: нержавеющая сталь 304
Брендирование: нет
Упаковка: OPP пакет
В комплекте блюдечко","500
мин тираж","1,6","145,7",25-30 дней,"1,66","155,28",15-20 дней,"1595,3",10-15 дней,
,,,1000,"1,5","144,0",,"1,64","153,58",,,,
,"Ситечко для чая
","Размер: 14,5 х 3,"" см
Материал: нержавеющая сталь 304
Брендирование: нет
Упаковка: OPP пакет
В комплекте блюдечко",300,"1,7","158,8",25-30 дней,"1,8","168,22","15-20 дней
","1797,06 (3 шт)",10-15 дней,
,,,500,"1,7","159,2",,"1,81","168,77",,,,
,,,1000,"1,7","157,5",,"1,79","167,07",,,,
, Гейзерная кофеварка ,"Объём: 100 мл (примерно)
Материал: алюминиевый сплав, полипропилен, пищевой силикон
Брендирование: логотип (лазер )
Упаковка: коробка",300,"23,6","2197,3",25-30 дней,"25,42","2372,12","15-20 дней
","9653,87",10-15 дней,
,,,500,"22,0","2051,2",,"22,84","2226,06",,,,
,,,1000,"20,8","1941,4",,"22,64","2116,26",,,,
,Набор подсвечников-перевертышей (3шт),"Материал: стекло
Размер упаковки: 17 х 7,5 х 7,5см
Брендирование: нет
Упаковка: коробка + защитная подкладка",300,"6,2","582,6",30-35 дней,"7,94",742,20-25 дней,"3210,9",10-15 дней,
,,,500,"6,2","580,5",,"7,91","739,93",,,,
,,,1000,"6,2","579,0",,"7,9","738,38",,,,
