,,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Менеджер,Фото,Наименование,Характеристики,коммент от ММ ,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
Арина, ,Шары со снегом внутри,"Материал: Стекло, смола 
Размер: 10 см
Упаковка: индвидуальная белая коробка + пенопласт + пакет 
Примечание от фабрики: 
Посчитан антифриз -5 градусов
Антифриз -7 градусов: +1$ / 81,20 шт
Антифриз -10 градусов: +2$ / 162,40 шт
*точная стоимость после макета и образца       Предоставьте каталоги? нужно чтото симпатичнее,
СКИНУЛИ 
*минимальный тираж 500 шт
","Готово 


https://drive.google.com/file/d/1EuNNkifXJsQ52f3cvrs904v11yvmNXph/view?usp=sharing
https://drive.google.com/file/d/1bhtPD0O8E1fI1LlC4_QByd5KRnEdTgIu/view?usp=sharing"," Дизайн: 
- внутренняя композиция из смолы (открытие индивидуальной формы по 3д макету)
- подставка из смолы, выкрас в нужный цвет (за доп стоимость на подставку можно добавить лого)
- внутри шара белый снег (можно выбрать размер, за доп стоимость можно добавить блестки, цветной снег)",100,,,,,,,70 000,20,30-32,
,,,,,,200,,,,,,,,,,
,,,,,,от 500 шт ,"32,4","2812,2",85-90 ,"36,0","3151,7",75-80,,,,
Арина, ,Карусель (инд макет),"Материал: смола
Размер: 16-20 см в высоту (зависит от макета)
Упаковка: индивидуальная коробка
Примечание от фабрики: минимальный тираж 500 шт; стоковых позиций нет, фабрика занимается индивидуальной разработкой 
*цены примерные, точная стоимость после макета и образца",,Дизайн: индвидуальный дизайн по макету ,от 500 шт ,"38,6","3366,6",90-96,"43,8","3858,9",80-85,90 000,25,35-37,
Света Ч, ,Музыкальные заводные карусели с лошадью,"Материал: дерево
Размер: 13,5*23,5 см
Упаковка: коробка
Примечание от фабрики:  Просим предоставить фото/ видео  из каталога  данной позиции и еще разнообразных карусель

",https://drive.google.com/drive/folders/1P1kQWtfxDkPuR3nAaNMAqnhMvQkPZaE9?usp=sharing, Дизайн: из наличия,100,"17,4","1476,5",35-40,"19,6","1666,5",25-30,3 700,2,12-14,
,,,,,,200,"17,3","1468,0",,"19,5","1658,0",,,,,
,,,,,,300,"17,2","1465,1",,"19,5","1655,2",,,,,
Света Ч, ,"Пластиковая рождественская LED-карусель с функцией подъёма и вращения, с музыкой
Bluetooth","Материал: пластик
Размер: 30*30*33.3 см
Упаковка: коробка
Примечание от фабрики: 

",, Дизайн: из наличия,100,"138,0","11729,8",85-90,"152,3","12945,9",75-80,21 000,2,12-14,
,,,,,,200,"137,9","11721,3",,"152,2","12937,4",,,,,
,,,,,,300,"137,9","11718,5",,"152,2","12934,6",,,,,
Света Ч, ,"Пластиковая карусель со светом и музыкой, работа от батареек","Материал: пластик
Размер: 19,3*17,9 см
Упаковка: коробка
Примечание от фабрики: Просьба предоставить фото/видео из каталогов

",https://docs.google.com/presentation/d/1SYirk3yLSRMVxzbGrf05z99mZqFcq6PF/edit?usp=sharing&ouid=115033289058801883550&rtpof=true&sd=true, Дизайн: из наличия,100,"38,6","3280,3",85-90,"44,2","3755,3",75-80,13 000,2,12-14,
,,,,,,200,"38,5","3271,8",,"44,1","3746,8",,,,,
,,,,,,300,"38,5","3268,9",,"44,1","3744,0",,,,,
Света Ч, ,Шкатулка музыкальная,"Материал: дерево
Размер: 8,5*8*8 см
Упаковка: коробка
Примечание от фабрики: ",, Дизайн: из наличия,100,"32,1","2726,1",35-40,"33,7","2860,7",25-30,4 500,2,12-14,
,,,,,,200,"32,0","2717,6",,"33,6","2852,2",,,,,
,,,,,,300,"31,9","2714,8",,"33,5","2849,4",,,,,
Света Ч, ,Ваза,"Материал: стекло 
Размер: 4*25 см 
Упаковка: инд коробка 
Примечание от фабрики:   продублируйте каталоги на вазы, были у вас красивые. что там новенького
СКИНУЛИ 

","https://docs.google.com/spreadsheets/d/1mCkCEznkBBfu10ZrTALaR4hXoTIiyaPV/edit?gid=1416593819#gid=1416593819

https://docs.google.com/spreadsheets/d/1mk8vVroOF8rA2-UgUqilJQYEuLr7xk128i2Ae9e3tFA/edit?gid=1305006403#gid=1305006403", Дизайн: из наличия ,100,"10,9","924,7",30-35,"14,6","1237,5",20-25,4 500,4,14-16,
,,,,,,200,"10,6","899,0",,"14,2","1203,1",,,,,
,,,,,,300,"9,1","770,6",,"12,1","1031,2",,,,,
Света Ч, ,Ваза,"Материал: стекло 
Размер: 14*23 см 
Упаковка: инд коробка 
Примечание от фабрики: Просьба предоставить каталог по Вазам , а так же фото/ видео данной позиции
СКИНУЛИ 

","https://docs.google.com/spreadsheets/d/1mCkCEznkBBfu10ZrTALaR4hXoTIiyaPV/edit?gid=1416593819#gid=1416593819

https://docs.google.com/spreadsheets/d/1mk8vVroOF8rA2-UgUqilJQYEuLr7xk128i2Ae9e3tFA/edit?gid=1305006403#gid=1305006403", Дизайн: из наличия ,100,"21,1","1790,5",30-35,"29,1","2472,8",20-25,4 500,4,14-16,
,,,,,,200,"20,5","1740,7",,"28,3","2404,2",,,,,
,,,,,,300,"17,6","1492,1",,"24,2","2060,7",,,,,
Света Ч, ,Ваза,"Материал: стекло 
Размер: 10* 20см 
Упаковка: инд коробка 
Примечание от фабрики: ",, Дизайн: из наличия ,100,"8,1","688,5",30-35,"11,1","944,4",20-25,4 500,4,14-16,
,,,,,,200,"7,9","669,3",,"10,8","918,1",,,,,
,,,,,,300,"6,8","573,7",,"9,3","787,0",,,,,
,,,"Материал: керамика 
Размер: 200мл, высоат 5,5 диаметр 9см
Упаковка: коробка
Примечание от фабрики: ",," Дизайн: деколь,  узоры ",200,"28,6","2431,1",60-65,"32,1","2728,6",50-55,21 924,15,20-25,
,,,,,,300,,,,,,,,,,
,,,,,,500,"12,3","1048,3",70-75,"14,0","1187,4",60-65,,,,
,,,,,,1000,"11,4","970,1",70-75,"13,6","1109,2",60-65,,,,
,,,,,,2000,"11,3","956,0",70-75,"12,9","1095,0",60-65,,,,
Лена, ,Тарелка ,"Материал: керамика 
Размер: 23см
Упаковка: коробка
Примечание от фабрики: ",, Дизайн: по макету (деколь с добавлением золота ),500,"14,3","1212,2",70-75,"16,6","1411,6",60-65,22 155,15,20-25,
,,,,,,1000,"14,1","1198,1",70-75,"16,4","1397,5",60-65,,,,
,,,,,,2000,"13,9","1184,8",70-75,"16,2","1375,5",60-65,,,,
Аня, ,Текстиль подушка,"Минимальный тираж для кастома 500 шт
Выбор материала из раскладки близкого к цвету пантона
Бирка с вышивкой логотипа 5*5 см
Вышивку напрямую на материале не сделают
Размер: 45 см
Материал: плюш
Наполнитель: PP вата

Минимальный тираж для пошива по индив. форме - 500 шт.

окончательная стоимость после образца     Хотим сделать гобелен. какая минималка на гобелен в нашем дизайне? какая минималка на изделия из гобелена (дорожка, салфетки, наволочки) если делаем в китае? ",, Дизайн: ,100,,,,,,,16 000,10,20-22,
,,,,,,200,,,,,,,,,,
,,,,,,от 500 шт ,"12,5","1353,8",50-55,"15,1","1635,2",40-45,,,,
Арина, ,Текстиль шарф,"Материал: полиэстр
Цвет:серый 
Размер: 60*170 см
Логотип: пришитая бирка
Вес: 270 грамм


Окончательная стоимость после образца     Тут мы просили пледы из кашемира, льпаки, мериноса и т.п., можно смешанный состав, но премиальное качество. можно смотреть готовое, предлагать продукцию с фабрики, и указать если делаем кастом, то минималка. ",, Дизайн: ,100,,,,,,,25 000,10,20-22,
,,,,,,200,,,,,,,,,,
,,,,,,от 300 шт ,"17,7","1390,0",60-65,"20,2","1588,0",50-55,,,,
Арина, ,"СВЕЧА С ИМИТАЦИЕЙ КЕРАМИКИ
","
Примечание от фабрики: 
*продаются наборами - в одном наборе 3 шт (цена дана за набор)       Тут на один дизайн какая минималка? 500? те если в наборе 3 штуки, там 3 дизайна?  или можно больше?  если мы захотим 6 дизайнов *250 шт, возможно?  есть примеры круговой запечатки или картинок сюжетных? хотим поняь можно ли сказку реализовать",, Дизайн: рисунок выполнен методом аквапереноса,от 500 шт,"13,7","1177,5",40-45,"14,4","1242,8",30-35,14 000,7,17-19,
,,,,,,1000,"13,5","1155,0",,"14,2","1219,2",,,,,
Света Ч,,Свеча,"Материал: Подставка из камня (ароматический камень)
Контейнер из камня (ароматический камень)
Соевый воск & хлопковый фитиль
Размер: Размер подноса: 2*14*18 см
Размер карусели: 10*12 см
Свеча 120 гр
Упаковка: коробка
Примечание от фабрики:    просим предоставить фотки и каталог от фабрики",https://drive.google.com/drive/folders/1m2vX1BjMU3Alsi7PDSQCHqTw6VbwzNZo?usp=sharing, Дизайн: индивидуальная печать на коробке,100,"13,6","1154,7",45-50,"14,2","1207,7",35-40,8 000,7,17-19,
,,,,,,200,"13,5","1146,2",,"14,1","1199,2",,,,,
,,,,,,300,"13,5","1143,4",,"14,1","1196,3",,,,,
Лена, ,Костер. В наборе 4 штуки,"Материал: кожа
Размер: 10х10см
Упаковка: пакет 
Примечание от фабрики:   цена без подставки, цена за штуку  
",," Дизайн:  цвет из раскладки от фабрики, тиснение фольгой ",100,"4,2","354,3",40-45,"4,4","376,0",30-35,9 599,7,17-19,
,,,,,,200,"3,0","250,6",40-45,"3,1","263,6",30-35,,,,
,,,,,,300,"2,5","215,3",40-45,"2,7","226,8",30-35,,,,
,,,,,,500,"2,1","186,0",45-50,"2,2","196,4",35-40,,,,
,,,,,,1000,"2,0","175,8",45-50,"2,0","182,7",35-40,,,,
Света Ч, ,Тканевая подстилка под елку,"Материал: полиэстер 
Размер: 120 см 
Упаковка: инд пакет 
Примечание от фабрики:   цена низкая, нужны варианты приличные, сложные, не тряпки. Смотрим хорошие фабрики, минималка на кастом и склад

",ДОБАВИЛИ ВАРИАНТЫ НИЖЕ, Дизайн: ищ наличия ,100,"5,9","502,6",30-35,"6,5","549,8",20-25,3 500,7,17-19,
,,,,,,200,"5,7","480,1",,"6,2","526,0",,,,,
,,,,,,300,"5,5","463,8",,"6,0","508,4",,,,,
Света Ч, ,Тканевая подстилка под елку,"Материал: полиэстер 
Размер: 120 см 
Упаковка: инд пакет 
Примечание от фабрики:   тоже самое

",ДОБАВИЛИ ВАРИАНТЫ НИЖЕ, Дизайн: ищ наличия ,100,"5,5","465,2",30-35,"6,2","526,6",20-25,3 500,7,17-19,
,,,,,,200,"5,3","452,7",,"6,0","512,3",,,,,
,,,,,,300,"5,2","440,1",,"5,9","498,1",,,,,
