,"Менеджер: Соколова Милана
Email: milanas@megamind.ru
Телефон: +8 (925) 621-75-43
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Ланъярд,"Материал: паракорд
Размер: 7*110 см или 5*90 см
Упаковка: опп-пакет
Примечание от фабрики: могут сделать на наш тираж и по форме клиента
Цвета как на фото или по пантону клиента (цена одна)
Карабин по макету клиента, серебряный
Держатель для телефона в комплекте", Дизайн: печать лого на пу бирке,2000,"5,9","580,2",40-45,,,,"15 800,00","Фото - 5-7
Доставка 10-12",
,,,,2000,"5,36","523,05",40-45,,,,,,
,,,,2000,,,,"9,38","915,95",30-40,,,
 ,Чехол для наушников,"Материал: паракорд
Размер: под размер наушников, около 5-6 см
Упаковка: нет
Примечание от фабрики: ручная работа, разработка по макету клиента"," Дизайн: полный кастом по макету клиента, жаккардовая бирка",2000,"4,5","435,3",40-50,,,,"6 500,00","Фото 10 
Доставка 10-12",
,,,,2000,,,,"4,68","456,65",30-40,,,
 ,Пакет,"Материал: пластик
Размер: 12-18 см(имеются дургеи размеры в наличии)
Упаковка: нет", Дизайн: брендирование по макету клиента,2000,"1,1","104,2",45-50,,,,"36 700,00","Фото 5-7
Доставка 10-12",
,,,,2000,,,,"1,11","108,62",30-40,,,
 ,Бейдж,"Материал: пластик
Размер: 10*6 см
Упаковка: нет
Примечание от фабрики: полностью по макету клиента", Дизайн: печать по макету клиента,2000,"2,5","240,5",40-45,,,,"42 900,00","Фото 8
Доставка 10-12",
,,,,2000,,,,"2,68","261,24",30-40,,,
