,"Менеджер: Хартова Диана Игоревна
Email: diana@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото,
,Значки,"




Материал: металл+эмаль
Размер: длина 1,5 см
Застежка: бабочка
Зип пакет или пакет на клеевом клапане стоят одинаково
        
        
        
        
        
        
        
        
        ",300,"1,5","138,5","50-55 кд



","15 000,12 ₽
(стоимость образца - это стоимость пресс-формы)","7-10 кд - фото+видео
+10-12 кд - доставка",,
,,,500,"1,5","134,7",,,,,
,,,700,"1,4","130,0",,,,,
,,,1000,"1,4","128,8",,,,,
,Нож сомелье,"Материал: нержавеющая сталь
Упаковка в пп-пакетик

Кастом: печать лого на ручке",500-1000,"3,92","366,71",29-34 кд,"3699,33",13-15 кд,,
,,"Материал: нержавеющая сталь, дерево
Упаковка в премиум коробку
В наборе брошюра

Кастом: лазерная печать лого на ручке",100-500,"19,49","1822,27",28-35 кд,,,,
,,,1000,"18,45","1724,92",,,,,
,,"Материал: нержавеющая сталь, дерево
Упаковка коробочка

Кастом: печать лого на ручке",1000,"14,35","1341,35",85-90 кд,"7942,32",17-19 кд,,
,Бокалы,"Материал: стекло
Объем: 410 мл
Упаковка: белая коробка",100,"3,75","373,62 ₽",27-32 кд,"2400,11",12-14 кд,видео,
,,,1000,,,,,,,
,,,12000,"1,855","168,85 ₽",70-90 дк,,,,контейнер
,,"Материал: стекло
Объем: 460 мл
Упаковка: белая коробка
Толщина стекла: 1.2 мм",100,"4,03","395,03 ₽",26-31 кд,"2164,98",12-14 кд,,
,,,1000,"3,80","371,47 ₽",,,,,
,,,12000,"2,652","241,30 ₽",70-90 кд,,,,контейнер
,,"Материал: стекло
Объем: 450 мл
Упаковка: белая коробка
Толщина стекла: 1.2 мм",100,"5,00","491,90 ₽",27-32 кд,"2446,37",12-14 кд,,
,,,1000,"4,75","464,90 ₽",,,,,
,,,12000,"3,028","275,50 ₽",70-90 кд,,,,контейнер
,,"Материал: стекло
Объем: 460 мл
Упаковка: белая коробка
Толщина стекла: 1  мм",100,"5,03","494,64 ₽",27-32 кд,"2446,37",12-14 кд,,
,,,1000,"4,78","467,62 ₽",,,,,
,,,12000,"2,964","269,8",70-90 кд,,,,контейнер
