,"Менеджер: Казакова Екатерина
Email: kate.k@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Косметичка

Стоимость примерная, точная после предоставления макета","Материал: искусственная каракульча
Размер: 21*12*12 см
Упаковка: опп-пакет
Цвет: из палитры (доп фото)", Дизайн: выкрас основной ткани в цвет из палитры,5000,"7,3","791,4",80-85,"8,1","883,2",70-75,15 000,15,25-27,
,,,,10000,"5,9","640,8",,"6,7","732,6",,,,,
,,,,17000,"5,7","619,3",,"6,4","708,1",,,,,
 ,"Косметичка

Стоимость примерная, точная после предоставления макета","Материал: искусственная каракульча
Размер: 21*12*12 см
Упаковка: опп-пакет
Цвет: из палитры (доп фото)"," Дизайн: выкрас основной ткани в цвет из палитры, бирка с лого клиента,  ткань молнии в цвет основного материала",5000,"8,1","878,0",80-85,"8,9","972,9",70-75,21 000,15,25-27,
,,,,10000,"7,8","843,2",,"8,6","935,1",,,,,
,,,,17000,"7,5","815,1",,"8,3","903,8",,,,,
 ,"Косметичка

(альтернативный способ доставки)

Стоимость примерная, точная после предоставления макета","Материал: искусственная каракульча
Размер: 21*12*12 см
Упаковка: опп-пакет
Цвет: из палитры (доп фото)", Дизайн: выкрас основной ткани в цвет из палитры,5000,"6,8","738,9",80-85,"7,3","791,4",70-75,15 000,15,25-27,
,,,,10000,"5,4","588,3",,"5,9","640,8",,,,,
,,,,17000,"5,2","568,6",,"5,7","619,3",,,,,
 ,"Косметичка

(альтернативный способ доставки)

Стоимость примерная, точная после предоставления макета","Материал: искусственная каракульча
Размер: 21*12*12 см
Упаковка: опп-пакет
Цвет: из палитры (доп фото)"," Дизайн: выкрас основной ткани в цвет из палитры, бирка с лого клиента,  ткань молнии в цвет основного материала",5000,"7,6","823,8",80-85,"8,1","878,0",70-75,21 000,15,25-27,
,,,,10000,"7,3","790,8",,"7,8","843,2",,,,,
,,,,17000,"7,1","764,3",,"7,5","815,1",,,,,
,"Косметичка

Доставка контейнером

Стоимость примерная, точная после предоставления макета","Материал: искусственная каракульча
Размер: 21*12*12 см
Упаковка: опп-пакет
Цвет: из палитры (доп фото)", Дизайн: выкрас основной ткани в цвет из палитры,10000,"5,6","588,3",105-110,,,,15 000,15,25-27,
,,,,17000,"5,1","544,0",,,,,,,,
,"Косметичка

Доставка контейнером

Стоимость примерная, точная после предоставления макета","Материал: искусственная каракульча
Размер: 21*12*12 см
Упаковка: опп-пакет
Цвет: из палитры (доп фото)"," Дизайн: выкрас основной ткани в цвет из палитры, бирка с лого клиента,  ткань молнии в цвет основного материала",10000,"6,9","727,1",105-110,,,,21 000,15,25-27,
,,,,17000,"6,4","682,8",,,,,,,,
,,,,,,,,,,,,,,
 ,"Косметичка

Стоимость примерная, точная после предоставления макета","Материал: искусственная каракульча
Размер: 18*9*7 см
Упаковка: заводская упаковка
"," Дизайн: есть возможность выкраса в другой цвет, бирка с лого клиента",5000,"3,3","354,4",75-80,"3,5","386,0",65-70,21 000,15,25-27,
,,,,10000,"3,1","332,2",,"3,3","362,3",,,,,
,,,,17000,"2,9","310,6",,"3,1","339,0",,,,,
 ,"Косметичка

(Альтернативный способ доставки)

Стоимость примерная, точная после предоставления макета","Материал: искусственная каракульча
Размер: 18*9*7 см
Упаковка: заводская упаковка
"," Дизайн: есть возможность выкраса в другой цвет, бирка с лого клиента",5000,"3,1","340,0",75-80,"3,4","368,8",65-70,21 000,15,25-27,
,,,,10000,"2,9","318,6",,"3,2","345,9",,,,,
,,,,17000,"2,7","297,7",,"3,0","323,5",,,,,
,,,,,,,,,,,,,,
 ,"Косметичка

Стоимость примерная, точная после предоставления макета","Материал: плюш, полиэстер
Размер:  18*9*10 см
Упаковка: заводская упаковка


"," Дизайн: есть возможность выкрас в другой цвет, бирка с лого клиента",5000,"3,2","350,4",80-85,"3,5","386,2",70-75,27 000,15,25-27,
,,,,10000,"3,0","328,5",,"3,3","362,4",,,,,
,,,,17000,"2,8","307,1",,"3,1","339,1",,,,,
 ,"Косметичка

(Альтернативный способ доставки)

Стоимость примерная, точная после предоставления макета","Материал: плюш, полиэстер
Размер:  18*9*10 см
Упаковка: заводская упаковка


"," Дизайн: есть возможность выкрас в другой цвет, бирка с лого клиента",5000,"3,1","334,2",80-85,"3,4","366,7",70-75,27 000,15,25-27,
,,,,10000,"2,9","313,1",,"3,1","343,9",,,,,
,,,,17000,"2,7","292,6",,"2,9","321,6",,,,,
,,,,,,,,,,,,,,
 ,"Косметичка

Стоимость примерная, точная после предоставления макета","Материал: плюш, полиэстер
Размер:  18*10*10 см
Упаковка: заводская упаковка


"," Дизайн: есть возможность выкрас в другой цвет, бирка с лого клиента",5000,"3,1","343,5",75-80,"3,5","379,2",65-70,15 000,15,25-27,
,,,,10000,"2,9","321,9",,"3,2","355,8",,,,,
,,,,17000,"2,8","300,9",,"3,0","332,9",,,,,
 ,"Косметичка

(Альтернативный способ доставки)

Стоимость примерная, точная после предоставления макета","Материал: плюш, полиэстер
Размер:  18*10*10 см
Упаковка: заводская упаковка


"," Дизайн: есть возможность выкрас в другой цвет, бирка с лого клиента",5000,"3,0","327,2",75-80,"3,3","359,7",65-70,15 000,15,25-27,
,,,,10000,"2,8","306,6",,"3,1","337,3",,,,,
,,,,17000,"2,6","286,4",,"2,9","315,4",,,,,
 ,"Косметичка силиконовая

Стоимость примерная, точная после предоставления макета","Материал: силикон, пластик
Размер:  22*11,5*5 см
Упаковка: заводская упаковка


", Дизайн: стоковые цвета без лого,5000,"4,1","448,5",47-57,"4,5","496,2",37-52,4 500,7,17-19,
,,,,10000,"4,0","442,2",50-55,"4,4","489,9",40-45,,,,
,,,,17000,"3,9","432,8",55-60,"4,3","480,5",45-55,,,,
 ,"Косметичка силиконовая

Стоимость примерная, точная после предоставления макета","Материал: силикон, пластик
Размер:  22*11,5*5 см
Упаковка: заводская упаковка


", Дизайн: стоковые цвета c одноцветным лого,5000,"4,2","457,8",50-55,"4,6","505,5",40-45,6 500,9,19-21,
,,,,10000,"4,1","451,5",53-58,"4,5","499,2",43-48,,,,
,,,,17000,"4,0","442,1",58-62,"4,4","489,8",48-52,,,,
