,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Чехол для телефона со шнурком,"Материал: силикон, паракорд
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость может быть уточнена после проработки образцов"," Дизайн: выкрас чехла в пантон, брендирование шнурка (или выбор из раскладки)",1000,"2,4","217,6",37-42,"2,6","235,1",27-32,6 100,7,17-19,
,,,,5000,"2,3","211,0",42-47,"2,5","228,5",32-37,,,,
,,,,10000,"2,3","205,5",45-50,"2,5","223,0",35-40,,,,
,Чехол для телефона,"Материал: силикон
Упаковка: индивидуальный пакет
", Дизайн: выкрас в пантон,1000,"1,7","154,0",37-42,"1,8","163,4",27-32,,,,
,,,,5000,"1,6","146,9",42-47,"1,7","156,8",32-37,,,,
,,,,10000,"1,5","136,2",45-50,"1,6","146,1",35-40,,,,
,Шнурок,"Материал: паракорд
Упаковка: индивидуальный пакет
", Дизайн: цвет по пантону / выбор из раскладки,1000,"0,9","79,8",37-42,"1,1","96,6",27-32,,,,
,,,,5000,"0,9","77,1",42-47,"1,0","93,9",32-37,,,,
,,,,10000,"0,8","75,6",45-50,"1,0","92,4",35-40,,,,
 ,Кабель для зарядки 3в1,"Материал: силикон, пластик
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость может быть уточнена после проработки образцов"," Дизайн: выкрас в пантон, гравировка лого (лого с подсветкой)",1000,"3,3","295,3",40-50,"3,5","318,8",30-40,10 300,7,17-19,
,,,,5000,"3,0","270,2",,"3,0","270,2",,,,,
,,,,10000,"2,8","249,0",,"2,8","249,0",,,,,
 ,Кабель для зарядки 3в1,"Материал: силикон, пластик
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость может быть уточнена после проработки образцов"," Дизайн: выкрас в пантон, нанесение лого, шелкография",1000,"2,3","204,3",40-50,"2,4","213,3",30-40,10 270,7,17-19,
,,,,5000,"2,1","190,9",,"2,1","190,9",,,,,
,,,,10000,"2,1","188,1",,"2,1","188,1",,,,,
 ,Кабель для зарядки 3в1,"Материал: силикон, пластик
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость может быть уточнена после проработки образцов"," Дизайн: выкрас в пантон, гравировка лого (лого с подсветкой)",1000,"2,1","189,7",40-50,"2,2","200,1",30-40,5 850,7,17-19,
,,,,5000,"2,1","184,4",,"2,2","194,8",,,,,
,,,,10000,"2,0","182,9",,"2,2","193,4",,,,,
 ,Ланъярд-кабель,"Материал: силикон, пластик
Цвет: черный, белый (выкрас в пантон +13,2 руб)
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость может быть уточнена после проработки образцов", Дизайн: гравирока лого,1000,"3,3","293,4",45-50,"3,6","324,2",35-40,6 060,7,17-19,
,,,,5000,"3,2","286,7",,"3,5","317,6",,,,,
,,,,10000,"3,2","283,9",,"3,5","314,8",,,,,
 ,Подушка-сумка,"Материал: полиэстер
Цвет: черный
Упаковка: индивидуальный пакет", Дизайн: сток,130,"4,8","425,7",25-30,"5,3","465,2",15-20,2 199,2,12-14,
,,," Дизайн: печать лого, шелкография",130,"5,6","495,2",35-40,"6,1","534,7",25-30,5 880,5,15-17,
 ,Коврик для мышки,"Материал: полиэстер
Размер: 180х270х2 мм
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость может быть уточнена после проработки образцов", Дизайн: индивидуальный дизайн,150,"2,5","216,5",32-37,"2,8","243,7",22-27,4 220,5,15-17,
,,Размер: 110х90х2 мм,,150,"1,7","145,4",,"1,8","155,3",,4 050,,,
