,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Бутылка,"Материал: нержавеющая сталь
Размер: 750 мл, 27х7.8 см
Упаковка: индивидуальная коробка
Примечание от фабрики: покрытие софт-тач, силиконовая подвеска на крышку"," Дизайн: нанесение градиента, печать лого",647,"11,9","1091,9",35-40 дней,"14,0","1287,9",25-30 дней,"7 680,00",17-20 дней,
,,"Материал: нержавеющая сталь
Размер: 500 мл, 27х7.8 см
Упаковка: индивидуальная коробка
Примечание от фабрики: покрытие софт-тач, силиконовая подвеска на крышку",,,"9,2","847,2",,"10,8","991,7",,"7 190,00",17-20 дней,
 ,Кружка,"Материал: керамика 
Размер: 360 мл, 9.6х7.3х7.6 см
Упаковка: индивидуальная коробка
Примечание от фабрики: глянцевый эффект"," Дизайн: выкрас в пантон, печать лого на дне ",4716,"5,7","526,9",60-65 дней,"7,2","663,1",50-55 дней,"20 770,00",17-20 дней ,
,,"Материал: керамика 
Размер: 360 мл, 9.6х7.3х7.6 см
Упаковка: индивидуальная коробка
Примечание от фабрики: покрытие софт-тач, матовый эффект ",,,"5,8","534,9",,"7,3","671,1",,,,
 ,Бутылка алюминиевая,"Материал: алюминий
Размер: 1000 мл, 9.6х7.3х7.6 см
Упаковка: индивидуальная коробка
", Дизайн: сток,1413,"5,8","572,5",32-37 дней,"6,9","662,2",22-27 дней,"2 370,00",10-12 дней,
,,"Материал: керамика 
Размер: 360 мл, 9.6х7.3х7.6 см
Упаковка: индивидуальная коробка
", Дизайн: гравировка лого,,"6,4","611,9",35-40 дней,"7,5","718,2",25-30 дней,"6 510,00",17-20 дней,
,Бейджкипер,"Материал: ПВХ
Размер: 6.2х10.1 см
Упаковка: индивидуальный пакет
", Дизайн: сток,1341,"0,5","50,1",35-40 дней ,"0,6","53,4",25-30 дней ,"2 130,00",10-12 дней ,
,Ручка шариковая Blade Soft Touch аналог (строка 10),"Материал: металл
Размер: 146 х 10 мм
Упаковка: сток
"," Дизайн: выкрас в пантон 185С, уф печать лого ",1000,"1,8","171,4",45-50 дней,"1,9","178,7",35-40 дней,"17 500,00",17-19 дней,
,,,,,,,,,,,,,
 ,Ручка шариковая Slim (строка 11),"Материал: металл
Размер: 130 х 7,6 мм
Упаковка: сток
"," Дизайн: выкрас в пантон 185С, уф печать лого ",6917,"0,5","42,5",40-45 дней,"0,5","46,5",30-35 дней,"10 500,00",18-20 дней,
,,,,,,,,,,,,,
 ,Карандаш (строка 12),"Материал: дерево
Размер: 19 см
Упаковка: сток
", Дизайн: уф печать лого ,3950,"0,3","22,4",35-40 дней,"0,3","25,1",25-30 дней,"12 300,00",15-17 дней,
,,,,,,,,,,,,,
 ,Ручка шариковая Palermo,"Материал: металл
Размер: 14 х 1 см
Упаковка: сток","Дизайн: 
1. уф печать, лого
2. выкрас в пантон  ",4608,"0,7","66,2",50-55 дней,"0,7","72,0",40-45 дней,"20 900,00",30-35 дней,
,,,,,,,,,,,,,
 ,Ручка шариковая Uma Straight SI,"Материал: металл
Размер: 14 х 1 см
Упаковка: сток","Дизайн: 
1. уф печать, лого ",1000,"1,1","103,6",45-50 дней,"1,1","110,9",35-40 дней,"4700 
(стоковый образец)","15-17 дней
(стоковый образец)",
,,,"Дизайн: 
1. уф печать, лого
2. выкрас в пантон  ",3000,"1,1","102,4",,"1,1","109,7",,,,
 ,Картхолдер,"Материал: кожа
Размер: 65 х 95 мм (стандартный)
Упаковка: сток
Примечание от фабрики: 
- Особенности: встроенная магнитная пластина, отделение для банковских карт, поддержка MagSafe
- Совместимость:
  - Минимальная диагональ экрана: 5.42""
  - Максимальная диагональ экрана: 6.7""","Дизайн: 
- Цвет: красный Pantone 185C (запечатка)
- Нанесение: блинтовое тиснение логотипа по макету
",1052,"7,2","694,0",45-50 дней,"7,3","708,5",35-40 дней,"12 100,00",19-22 дней,
,,"Материал: кожа
Размер: 100 х 75 мм (требуется открытие индивидуальной формы)
Упаковка: сток
Примечание от фабрики: 
- Особенности: встроенная магнитная пластина, отделение для банковских карт, поддержка MagSafe
- Совместимость:
  - Минимальная диагональ экрана: 5.42""
  - Максимальная диагональ экрана: 6.7""
","Дизайн: 
- Цвет: красный Pantone 185C (запечатка)
- Нанесение: блинтовое тиснение логотипа по макету
",,"10,0","973,9","50-55 дней
","10,2","988,4","40-45 дней
","14 600,00",20-25 дней,
