,"Менеджер: Вязовский Иван
Email: ivan@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,еждневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: 128 листов, на кольцах", Дизайн: по тз,250,"8,537","785,41",40-45,"10,220","940,25",30-35,"9 000,00",17 дней (фото / видео 7 дней),
,еждневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: 95 листов, на кольцах", Дизайн: по тз,200,"12,734","1171,54",40-45,"14,043","1291,97",30-35,"9 000,00",17 дней (фото / видео 7 дней),
,еждневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: 128 листов, на кольцах", Дизайн: по тз,250,"8,537","785,41",40-45,"10,220","940,25",30-35,"9 000,00",17 дней (фото / видео 7 дней),
,еждневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: 95 листов, на кольцах", Дизайн: по тз,200,"12,734","1171,54",40-45,"14,043","1291,97",30-35,"9 000,00",17 дней (фото / видео 7 дней),
,еждневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: 128 листов", Дизайн: по тз,900,"5,668","521,45",40-45,"7,164","659,08",30-35,"9 000,00",17 дней (фото / видео 7 дней),
,еждневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: 128 листов", Дизайн: по тз,300,"9,316","857,04",40-45,"10,812","994,67",30-35,"9 000,00",17 дней (фото / видео 7 дней),
,еждневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: 128 листов", Дизайн: по тз,850,"5,669","521,56",40-45,"7,165","659,19",30-35,"9 000,00",17 дней (фото / видео 7 дней),
,еждневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: 95 листов, на кольцах", Дизайн: по тз,350,"11,252","1035,17",40-45,"12,561","1155,60",30-35,"9 000,00",17 дней (фото / видео 7 дней),
,еждневник,"Материал: кож зам
Размер: а4
Упаковка: инд пакет
Примечание от фабрики: 128 листов", Дизайн: по тз,300,"10,491","965,15",40-45,"13,483","1240,41",30-35,"9 000,00",17 дней (фото / видео 7 дней),
,еждневник,"Материал: кож зам
Размер: а4
Упаковка: инд пакет
Примечание от фабрики: 80 листов", Дизайн: по тз,250,"14,821","1363,50",40-45,"17,065","1569,94",30-35,"9 000,00",17 дней (фото / видео 7 дней),
,еждневник,"Материал: кож зам
Размер: а4
Упаковка: инд пакет
Примечание от фабрики: 80 листов", Дизайн: по тз,250,"14,821","1363,50",40-45,"17,065","1569,94",30-35,"9 000,00",17 дней (фото / видео 7 дней),
,еждневник,"Материал: кож зам
Размер: а4
Упаковка: инд пакет
Примечание от фабрики: 80 листов", Дизайн: по тз,250,"14,821","1363,50",40-45,"17,065","1569,94",30-35,"9 000,00",17 дней (фото / видео 7 дней),
,еждневник,"Материал: кож зам
Размер: а4
Упаковка: инд пакет
Примечание от фабрики: 128 листов", Дизайн: по тз,350,"18,849","1734,15",40-45,"21,841","2009,41",30-35,"9 000,00",17 дней (фото / видео 7 дней),
,еждневник,"Материал: кож зам
Размер: а4
Упаковка: инд пакет
Примечание от фабрики: 128 листов", Дизайн: по тз,300,"11,068","1018,24",40-45,"14,060","1293,50",30-35,"9 000,00",17 дней (фото / видео 7 дней),
