,"Менеджер: 
Email: 
Телефон: ",,"Куницына Ольга
olga.k@megamind.ru
+7 (911) 087-57-14",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка ЖД долгое,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Подставка для телефона с силиконовым покрытием
Q7","Материал: ABS+силикон+металл
Размер: 110*70*38 мм
Упаковка: фабричная коробка
", Дизайн: без кастома,1002,"2,8","241,5","241 983,00",45-50,"2,4","206,3","206 722,62",55-60,2 700,2,12-14,
,,, Дизайн: шелкография красного цвета,1002,"2,9","253,8","254 297,58",50-55,"2,5","218,6","219 037,20",60-65,12 300,7,17-19,
 ,"Подставка для телефона с силиконовым покрытием
Q10","Материал: ABS+силикон+металл
Размер: 110*100*22,5 мм
Упаковка: фабричная коробка
", Дизайн: без кастома,1002,"3,5","304,9","305 549,88",45-50,"3,1","272,4","272 974,86",55-60,3 300,2,12-14,
,,, Дизайн: шелкография красного цвета,1002,"3,6","317,2","317 864,46",50-55,"3,3","284,7","285 279,42",60-65,14 600,7,17-19,
 ,Беспроводная зарядка,"Материал: пластик
Размер: 68*88*31 мм
Цвет: черный, белый
Упаковка: фабричная коробка

Модель продукта: HYD-H65
Входной ток: 9 В/2 А, 12 В/2 А
Беспроводная зарядка мобильного телефона: 15 Вт
Зарядка Apple Watch: S1–S9 (3 Вт)
Bluetooth-гарнитура TWS: 5 Вт
", Дизайн: без кастома,1002,"15,8","1340,0","1 342 639,92",55-60,"15,4","1299,1","1 301 718,24",65-70,4 200,2,12-14,
,,, Дизайн: шелкография красного цвета,1002,"16,2","1376,8","1 379 573,64",,"15,8","1336,0","1 338 651,96",,7 400,10,20-22,
 ,Беспроводная зарядка,"Материал: Цинковый сплав + АБС + силикон
Размер: 80*80*31 мм
Цвет: серый, серебристо-белый
Упаковка: фабричная коробка

модель LFX-208
входные параметры: 9В 4А
Выходной параметр 15 Вт (макс.)
Вход Type C
Расстояние срабатывания 2-10 мм
Эффективность преобразования
<72%


", Дизайн: без кастома,1002,"24,3","2059,2","2 063 288,34",50-55,"23,6","1994,5","1 998 499,02",60-65,5 300,2,12-14,
,,, Дизайн: шелкография красного цвета,1002,"24,7","2096,0","2 100 232,08",,"24,0","2031,4","2 035 432,74",,10 300,7,17-19,
 ,Беспроводная зарядка,"Материал: цинковый сплав, силикон, пластик
Размер: 66*66*34 мм
Цвет: черный, белый, оранжевый
Упаковка: фабричная коробка

Вход: 5В-2А/9Т-2А (QC или PD)
Выходная мощность: 5 Вт/7,5 Вт/10 Вт/15 Вт", Дизайн: без кастома,1002,"12,1","1022,0","1 024 074,06",50-55,"11,7","993,4","995 426,88",60-65,3 700,2,12-14,
,,, Дизайн: шелкография красного цвета,1002,"12,4","1046,6","1 048 693,20",,"12,0","1018,0","1 020 056,04",,7 400,7,17-19,
