,"Менеджер: Андрианова Анастасия
Email: anastasiaandrianova@megamind.ru
Телефон: 
",,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Мешок для обуви ,"Материал: полиэстер
Размер: 40*33 см 
Нанесение - сублимация 
Упаковка: индивидуальный пакет 
Шнурок черный 8 мм 
Люверсы для шнурка 

Без кармана ",50000,"1,2","104,5",45-50,"1,45","123,4",35-40,10 000,13-15 ,
,,,100000,"1,2","103,38",45-50,"1,44","122,27",35-40,,,
,,,150000,"1,23","102,54",50-55,"1,44","121,32",40-45,,,
,,,200000,"1,22","101,28",55-60,"1,43","120,17",45-50,,,
 ,Мешок для обуви ,"Материал: полиэстер
Размер: 40*33 см 
Нанесение - сублимация 
Упаковка: в общих пакетах 
Шнурок черный 8 мм 
Люверсы для шнурка 


Без кармана ",50000,"1,1","97,9",45-50,"1,32","116,79",35-40,10 000,13-15 ,
,,,100000,"1,1","96,98",45-50,"1,32","115,98",35-40,,,
,,,150000,"1,09","95,79",50-55,"1,32","114,79",40-45,,,
,,,200000,"1,07","94,87",55-60,"1,31","113,87",45-50,,,
