,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Образцы качества,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",,
 ,Мягкая игрушка,"Материал: ткань, плюш
Размер: 10 см
Упаковка: сток, пакетик
Примечание от фабрики: необходимо производство образца",Дизайн: индивидуальный дизайн по макету,5 000,"7,0","716,8",50-55,"7,5","769,0",40-45,20 000,7,17-19,"Нет стока, только сигнальный образец",
,,,,10 000,"6,7","685,1",,"7,2","737,3",,,,,,
,,,,20 000,"6,4","653,6",,"6,9","705,8",,,,,,
 ,Игрушки ,"Материал: ПВХ, смола, акрил
Размер: 4-5 см
Упаковка: сток
Примечание от фабрики: 15 фигурок",Дизайн: индивидуальный дизайн по макету клиента,5 000,"11,0","1136,9",55-60,"11,2","1169,1",45-50,81 350 (за 1 фигурку),22,32-34,Есть образец в офисе ,
,,,,10 000,"8,6","889,6",,"8,9","921,7",,,,,,
,,,,15 000,"7,8","796,8",,"8,0","828,9",,,,,,
 ,Игрушки ,"Материал: ПВХ, смола, акрил
Размер: 4-5 см
Упаковка: сток
Примечание от фабрики: 10 фигурок",Дизайн: индивидуальный дизайн по макету клиента,5 000,"10,7","1107,1",55-60,"10,9","1139,1",45-50,,,,3 150,
,,,,10 000,"8,3","859,7",,"8,6","891,8",,,,,,
,,,,15 000,"7,5","767,9",,"7,8","799,1",,,,,,
,Игрушки ,"Материал: ПВХ
Размер: 4-5 см
Упаковка: сток пакет
Примечание от фабрики: 15 фигурок. Цены могут быть скорректированы после получения фабрикой макета.",Дизайн: индивидуальный дизайн по макету клиента,5 000,"4,1","437,2",55-60,"4,3","471,9",45-50,26 700 (1 фигурка),7,17-19,3470,
,,,,10 000,"4,0","420,7",,"4,2","455,4",,,,,,
,,,,15 000,"3,9","414,8",,"4,2","449,6",,,,,,
