,"Менеджер: Червоненко Светлана
Email: sveta.ch@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
Нержавеющая сталь,,,,,,,,,,,,,,
 ,Цепочка с подвеской,"Материал: нержавеющая сталь
Цвет цепочки: серебряный
Размер: подвеска - 2*4 см, цепочка - 60 см
Упаковка: индивидуальный пакетик"," Дизайн: нержавеющая сталь с плоским черным гальваническим покрытием, глаза -выемки, на обратной стороне гравировка логотипа ",1000,"1,1","96,8",40-45,"1,3","107,0",30-35,3 800,10,20-22,
,,,,3000,"1,1","92,9",,"1,2","102,8",,,,,
,,,,5000,"1,1","89,8",,"1,2","99,4",,,,,
 ,Цепочка с подвеской,"Материал: нержавеющая сталь
Цвет цепочки: золотой
Размер: подвеска - 2*4 см, цепочка - 60 см
Упаковка: индивидуальный пакетик"," Дизайн: нержавеющая сталь с плоским черным гальваническим покрытием, глаза -выемки, на обратной стороне гравировка логотипа ",1000,"1,4","119,2",40-45,"1,5","129,4",30-35,3 800,10,20-22,
,,,,3000,"1,4","114,6",,"1,5","124,5",,,,,
,,,,5000,"1,3","110,9",,"1,4","120,5",,,,,
 ,Цепочка с подвеской,"Материал: нержавеющая сталь
Цвет цепочки: серебряный
Размер: подвеска - 3*5 см, цепочка - 60 см
Упаковка: индивидуальный пакетик"," Дизайн: нержавеющая сталь с плоским черным гальваническим покрытием, глаза -выемки, на обратной стороне гравировка логотипа ",1000,"1,2","99,3",40-45,"1,3","109,5",30-35,3 800,10,20-22,
,,,,3000,"1,1","95,3",,"1,2","105,2",,,,,
,,,,5000,"1,1","92,2",,"1,2","101,8",,,,,
 ,Цепочка с подвеской,"Материал: нержавеющая сталь
Цвет цепочки: золотой
Размер: подвеска - 3*5 см, цепочка - 60 см
Упаковка: индивидуальный пакетик"," Дизайн: нержавеющая сталь с плоским черным гальваническим покрытием, глаза -выемки, на обратной стороне гравировка логотипа ",1000,"1,4","121,7",40-45,"1,6","131,9",30-35,3 800,10,20-22,
,,,,3000,"1,4","117,0",,"1,5","126,9",,,,,
,,,,5000,"1,3","113,3",,"1,4","122,8",,,,,
 ,Цепочка с подвеской,"Материал: нержавеющая сталь
Цвет цепочки: серебряный
Размер: подвеска - 3*6 см, цепочка - 60 см
Упаковка: индивидуальный пакетик"," Дизайн: нержавеющая сталь с плоским черным гальваническим покрытием, глаза -выемки, на обратной стороне гравировка логотипа ",1000,"1,3","106,8",40-45,"1,4","116,9",30-35,3 800,10,20-22,
,,,,3000,"1,2","102,5",,"1,3","112,4",,,,,
,,,,5000,"1,2","99,2",,"1,3","108,8",,,,,
 ,Цепочка с подвеской,"Материал: нержавеющая сталь
Цвет цепочки: золотой
Размер: подвеска - 3*6 см, цепочка - 60 см
Упаковка: индивидуальный пакетик"," Дизайн: нержавеющая сталь с плоским черным гальваническим покрытием, глаза -выемки, на обратной стороне гравировка логотипа ",1000,"1,6","131,6",40-45,"1,7","141,8",30-35,3 800,10,20-22,
,,,,3000,"1,5","126,7",,"1,6","136,5",,,,,
,,,,5000,"1,4","122,6",,"1,6","132,2",,,,,
Акрил,,,,,,,,,,,,,,
 ,Цепочка с подвеской,"Материал: акрил
Цвет цепочки: серебряный
Размер: подвеска - 2*4 см, цепочка - 60 см
Упаковка: индивидуальный пакетик"," Дизайн: индивидуальная форма, УФ-печать, логотип на обратной стороне тоже УФ печать ",1000,"0,8","71,3",35-40,"1,0","80,8",25-30,2 800,5,15-17,
,,,,3000,"0,8","68,1",,"0,9","77,3",,,,,
,,,,5000,"0,8","65,8",,"0,9","74,8",,,,,
 ,Цепочка с подвеской,"Материал: акрил
Цвет цепочки: золотой
Размер: подвеска - 2*4 см, цепочка - 60 см
Упаковка: индивидуальный пакетик"," Дизайн: индивидуальная форма, УФ-печать, логотип на обратной стороне тоже УФ печать ",1000,"1,5","126,0",35-40,"1,6","135,5",25-30,2 800,5,15-17,
,,,,3000,"1,4","121,2",,"1,5","130,4",,,,,
,,,,5000,"1,4","117,3",,"1,5","126,3",,,,,
 ,Цепочка с подвеской,"Материал: акрил
Цвет цепочки: серебряный
Размер: подвеска - 3*5 см, цепочка - 60 см
Упаковка: индивидуальный пакетик"," Дизайн: индивидуальная форма, УФ-печать, логотип на обратной стороне тоже УФ печать ",1000,"0,9","74,5",35-40,"1,0","84,0",25-30,2 800,5,15-17,
,,,,3000,"0,8","71,2",,"1,0","80,5",,,,,
,,,,5000,"0,8","68,8",,"0,9","77,8",,,,,
 ,Цепочка с подвеской,"Материал: акрил
Цвет цепочки: золотой
Размер: подвеска - 3*5 см, цепочка - 60 см
Упаковка: индивидуальный пакетик"," Дизайн: индивидуальная форма, УФ-печать, логотип на обратной стороне тоже УФ печать ",1000,"1,5","129,2",35-40,"1,6","138,7",25-30,2 800,5,15-17,
,,,,3000,"1,5","124,3",,"1,6","133,6",,,,,
,,,,5000,"1,4","120,3",,"1,5","129,3",,,,,
 ,Цепочка с подвеской,"Материал: акрил
Цвет цепочки: серебряный
Размер: подвеска - 3*6 см, цепочка - 60 см
Упаковка: индивидуальный пакетик"," Дизайн: индивидуальная форма, УФ-печать, логотип на обратной стороне тоже УФ печать ",1000,"0,9","76,2",35-40,"1,0","85,8",25-30,2 800,5,15-17,
,,,,3000,"0,9","72,9",,"1,0","82,2",,,,,
,,,,5000,"0,8","70,5",,"0,9","79,5",,,,,
 ,Цепочка с подвеской,"Материал: акрил
Цвет цепочки: золотой
Размер: подвеска - 3*6 см, цепочка - 60 см
Упаковка: индивидуальный пакетик"," Дизайн: индивидуальная форма, УФ-печать, логотип на обратной стороне тоже УФ печать ",1000,"1,5","130,9",35-40,"1,7","140,5",25-30,2 800,5,15-17,
,,,,3000,"1,5","126,0",,"1,6","135,2",,,,,
,,,,5000,"1,4","122,0",,"1,5","130,9",,,,,
"ПВХ, вид 1",,,,,,,,,,,,,,
 ,Цепочка с подвеской,"Материал: ПВХ
Цвет цепочки: серебряный
Размер: подвеска - 2*4/3*5/3*6 см, цепочка - 60 см
Упаковка: индивидуальный пакетик

Стоимость примерная, точный расчет после проработки образца"," Дизайн: индивидуальная форма, логотип на обратной стороне - печать ",1000,"1,3","110,3",35-40,"1,4","119,8",25-30,59 000,12,22-24,
,,,,3000,"1,1","93,9",,"1,2","103,2",,,,,
,,,,5000,"0,9","75,6",,"1,0","84,6",,,,,
 ,Цепочка с подвеской,"Материал: ПВХ
Цвет цепочки: золотой
Размер: подвеска - 2*4/3*5/3*6 см, цепочка - 60 см
Упаковка: индивидуальный пакетик

Стоимость примерная, точный расчет после проработки образца"," Дизайн: индивидуальная форма, логотип на обратной стороне - печать ",1000,"1,9","165,0",35-40,"2,1","174,5",25-30,59 000,12,22-24,
,,,,3000,"1,7","147,0",,"1,8","156,2",,,,,
,,,,5000,"1,5","127,1",,"1,6","136,1",,,,,
"ПВХ, вид 2",,,,,,,,,,,,,,
 ,Цепочка с подвеской,"Материал: ПВХ
Цвет цепочки: серебряный
Размер: подвеска - 2*4/3*5/3*6 см, цепочка - 60 см
Упаковка: индивидуальный пакетик

Стоимость примерная, точный расчет после проработки образца"," Дизайн: индивидуальная форма, логотип на обратной стороне - печать ",1000,"1,4","115,3",40-45,"1,5","124,8",30-35,21 200,7,17-19,
,,,,3000,"1,3","108,4",,"1,4","117,6",,,,,
,,,,5000,"1,2","101,8",,"1,3","110,8",,,,,
 ,Цепочка с подвеской,"Материал: ПВХ
Цвет цепочки: золотой
Размер: подвеска - 2*4/3*5/3*6 см, цепочка - 60 см
Упаковка: индивидуальный пакетик

Стоимость примерная, точный расчет после проработки образца"," Дизайн: индивидуальная форма, логотип на обратной стороне - печать ",1000,"2,0","170,0",40-45,"2,1","179,5",30-35,21 200,7,17-19,
,,,,3000,"1,9","161,5",,"2,0","170,7",,,,,
