,"Менеджер: 
Email: 
Телефон: ",,"Борисова Александра
sashab@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,жилет,"Материал: 100% полиэстер
Размер: S-3XL
Упаковка: опп пакет
Примечание от фабрики: ", Дизайн: сток,500,"48,30",4105.3,2052640,30-35,"52,60",4470.9,2235435,20-25,"6193,50",3,13-15,
,,,,1000,"48,04",4083.6,4083580,,"52,34",4449.2,4449170,,,,,
,,,,1500,"47,96",4076.9,6115365,35-40,"52,26",4442.5,6663750,25-30,,,,
 ,жилет,"Материал: Материал верха: 100% нейлон
Подкладка: 100% полиэстер
Размер: M-6XL
Упаковка: опп пакет
Примечание от фабрики: ", Дизайн: сток,500,"36,61",3111.6,1555790,30-35,"39,54",336.9,168425,20-25,"5315,21",3,13-15,
,,,,1000,"36,35",3089.9,3089880,,"39,28",3339.5,3339500,,,,,
,,,,1500,"36,27",3082.7,4623975,35-40,"39,20",3331.9,4997865,25-30,,,,
 ,жилет,"Материал: 100% полиэстер
Размер: M-5XL
Упаковка: опп пакет
Примечание от фабрики: ", Дизайн: сток,500,"38,73",3292.0,1645995,30-35,"41,74",3547.9,1773950,20-25,"5367,74",3,13-15,
,,,,1000,"38,47",3270.3,3270290,,"41,48",3526.2,3526200,,,,,
,,,,1500,"38,39",3263.1,4894575,35-40,"41,40",3519.0,5278440,25-30,,,,
 ,жилет,"Материал: полиэстер
Размер: S-6XL
Упаковка: опп пакет
Примечание от фабрики: ", Дизайн: сток,500,"30,80",2618.0,1308990,30-35,"32,81",2788.6,1394295,20-25,"4509,33",3,13-15,
,,,,1000,"30,54",2596.3,2596280,,"32,55",2766.9,2766890,,,,,
,,,,1500,"30,46",2589.1,3883575,35-40,"32,47",2759.7,4139475,25-30,,,,
 ,жилет,"Материал: полиэстер
Размер: S-6XL
Упаковка: опп пакет
Примечание от фабрики: ", Дизайн: сток,500,"28,26",2402.0,1201005,30-35,"30,35",2579.6,1289790,20-25,"4543,88",3,13-15,
,,,,1000,"28,00",2380.3,2380310,,"30,09",2557.9,2557880,,,,,
,,,,1500,"27,92",2373.1,3559620,35-40,"30,01",2550.7,3825975,25-30,,,,
