,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Косметичка,"Материал: силикон
Размер: 25*12*16см
Упаковка: OPP пакет
Примечание от фабрики: возможные цвета: черный / темно-синий / розовый / мятный / серый", Дизайн: тиснение лого,500,"12,9","1295,0",60-65,,,,"13 350,00","Фото/видео: 9-10 кд
Доставка: 12-14 кд",
,,,,1000,"12,25",1236,60-65,,,,,,
,,,,3000,"11,95",1207,65-70,,,,,,
,,,,5000,"11,65",1178,70-75,,,,,,
,Зубная щетка,"Материал: пластик
Упаковка: OPP пакет + индивидуальная коробка
Цвет: черный / синий / розовый / зеленый / желтый
Примечание от фабрики: от 3000шт можно закастомить индивидуальную коробку (в цену не включено)", Дизайн: печать лого на кейсе,1000,"0,5","50,0",45-50,,,,"6 100,00","Фото/видео: 8-9 кд
Доставка: 12-14 кд",
,,,,3000,"0,5","48,0",45-50,,,,,,
,,,,5000,"0,5","46,0",50-55,,,,,,
 ,Поясная сумка,"Материал: искусственная каракульча, искусственная кожа
Размер: 36*18*12см
Упаковка: заводская упаковка
Примечание от фабрики:  мин тираж 500 шт", Дизайн: по визуалу слева,500,"17,6","1 737,58",80-85 кд,,,,"17 200,00","13-15 кд фото и видео

12-14 кд доставка в Мск",
,,,,1000,"16,76","1 657,29",,,,,,,
,,,,3000,"16,58","1 639,94",,,,,,,
,,,,5000,"15,36","1 520,32",,,,,,,
 ,Беруши,"Материал: ТПЭ
Размер: 35*35 мм
Упаковка: пластиковая коробочка
Примечание от фабрики:  мин тираж 500 шт", Дизайн: шелкография 1 цвет на инд упаковке,500,"0,3","33,9",40-45 кд,,,,"6 000,00","4-7 кд фото и видео

12-14 кд доставка в Мск",
,,,,1000,"0,32","32,16",,,,,,,
,,,,3000,"0,31","31,03",,,,,,,
,,,,5000,"0,31","30,80",,,,,,,
 ,Панама двухсторонняя,"Материал: 100% хлопок
Размер: универсальный
Упаковка: прозрачный пакет
Примечание от фабрики: настройка цвета в соответствии с цветовой картой"," Дизайн: печать логотипа, шелкография, бирка",500,"4,8","466,6",45-50,,,,"16 300,00","5-7 фото/видео

12-14 доставка в Москву",
,,,,1000,"4,65","450,74",45-50,,,,,,
,,,,3000,"4,5","436,38",50-55,,,,,,
,,,,5000,"4,36","422,95",50-55,,,,,,
 ,"Кепка
Печать логотипа","Материал: 100% хлопок
Размер: универсальный
Упаковка: прозрачный пакет
Примечание от фабрики: настройка цвета в соответствии с цветовой картой"," Дизайн: печать логотипа, шелкография",500,"4,4","429,7",45-50,,,,"10 700,00","5-7 фото/видео

12-14 доставка в Москву",
,,,,1000,"4,27","413,85",45-50,,,,,,
,,,,3000,"4,13","400,58",50-55,,,,,,
,,,,5000,4,"388,23",50-55,,,,,,
 ,"Кепка
Вышивка логотипа","Материал: 100% хлопок
Размер: универсальный
Упаковка: прозрачный пакет
Примечание от фабрики: настройка цвета в соответствии с цветовой картой", Дизайн: вышивка логотипа,500,"4,5","435,4",45-50,,,,"10 700,00","5-7 фото/видео

12-14 доставка в Москву",
,,,,1000,"4,33","419,53",45-50,,,,,,
,,,,3000,"4,19","406,09",50-55,,,,,,
,,,,5000,"4,06","393,57",50-55,,,,,,
 ,"Бандана
Хлопок","Материал: 100% хлопок
Размер: 60х60 см
Упаковка: прозрачный пакет
", Дизайн: цифровая печать,200,"3,9","377,1",45-50,,,,"7 800,00","5-7 фото/видео

12-14 доставка в Москву",
,,,,1000,"3,23","313,52",45-50,,,,,,
,,,,3000,"3,13","303,2",50-55,,,,,,
,,,,5000,"3,03","293,8",50-55,,,,,,
 ,"Бандана
Синтетика","Материал: 100% полиэстер
Размер: 60х60 см
Упаковка: прозрачный пакет
", Дизайн: сублимация,100,"2,9","283,4",45-50,,,,"5 000,00","5-7 фото/видео

12-14 доставка в Москву",
,,,,1000,"2,18","211,37",45-50,,,,,,
,,,,3000,"2,1","204,06",50-55,,,,,,
,,,,5000,"2,04","197,66",50-55,,,,,,
 ,Косметичка,"Материал: кожзам
Размер: примерно 20*30
Упаковка: заводская упаковка
Примечание от фабрики: могут сделать любой размер и цвет, фабрика новая, поэтому придется делать образец, чтобы посмотреть на качество "," Дизайн: по фото референсу, могут сделать тиснение, термотрансферную печать",600,,,,"9,07","932,93",37-47,"10 000,00","Фото/видео: 5-7 кд
Доставка: 12-14 кд",
 ,Косметичка,"Материал: силикон
Размер: 25*12*16см
Упаковка: OPP пакет
Примечание от фабрики: 1 цвет в тираже"," Дизайн: по фото референсу, шелкография 1 цвет с двух сторон",600,,,,"15,16","1 546,80",50-55,"14 000,00","Фото/видео: 11-13 кд
Доставка: 12-14 кд",
