,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Доставка ЭКСПРЕСС,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Бутылка,"Материал: нержавеющая сталь
Размер: 22 х 7.5 см, 500 мл
Упаковка: индивидуальная коробка",, Дизайн: сток,400,"11,6","985,8",35-40,"13,3","1128,6",25-30,-,,,8 800,7,17-19,
,,,, Дизайн: гравировка лого,400,"11,9","1012,2",37-42,"13,6","1154,9",27-32,,,,,,,
 ,Брелок,"Материал: паракорд, металл
Цвет: красный, светло-серый
Фурнитура: кольцо, полукольцо, серебристый цвет",," Дизайн: индивидуальный дизайн, без сборки",2685,"1,4","115,8",45-50,"1,4","120,0",35-40,,,,5 550,7,17-19,
,,,," Дизайн: индивидуальный дизайн, со сборкой",2685,"2,0","171,7",50-55,"2,1","175,9",40-45,,,,,,,
 ,Подставка для ноутбука,"Материал: алюминиевый сплав
Цвет: серый, алюминиевый
Размер: 25.5 х 4.4 х 1.5 см
Упаковка: мешочек из нетканого материала, фабричная коробка",, Дизайн: сток,35,"7,0","590,8",30-35,"7,9","668,2",20-25,,,,,7,17-19,
,,,, Дизайн: гравировка лого,100,,,,,,,,,,,,,
Расчет от 30.05,,,,,,,,,,,,,,,,,,
 ,Бутылка,"Материал: нержавеющая сталь
Размер: 22 х 7.5 см, 500 мл
Упаковка: индивидуальная коробка","заказ до:

31.05 - жд
10.06 - авиа", Дизайн: сток,420,"11,5","977,7",35-40,"13,2","1120,4",25-30,"-
риск",,,8 800,7,17-19,
,,,, Дизайн: гравировка лого,420,"11,8","1004,0",37-42,"13,5","1146,8",27-32,,,,,,,
 ,Брелок,"Материал: паракорд, металл
Цвет: красный, светло-серый
Фурнитура: кольцо, полукольцо, серебристый цвет",," Дизайн: индивидуальный дизайн, со сборкой",2656,"-
не успеваем",,,"2,1","176,5",40-45,"2,48","210,41",35-40,5 550,7,17-19,
 ,Брелок,"Материал: паракорд, металл, ПВХ
Цвет: красный, светло-серый
Фурнитура: кольцо, полукольцо, серебристый цвет",," Дизайн: индивидуальный дизайн, ПВХ-кубик 1.5 х 1.5 см",2656,"-
не успеваем",,,"2,4","204,5",43-47,"2,78","236,16",33-37,"5550 (шнурок)
17800 (пвх)",7,17-19,
