,"Менеджер: Червоненко Светлана
Email: sveta.ch@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Картхолдер,"Материал: кожзам, края сшиваются
Размер: 11*6 см
Упаковка: индивидуальный пакетик"," Дизайн: 
- нанесение на картхолдере с 1 стороны
- пошив по дизайну как на визуале
- выбор цвета материала из раскладки",10000,"0,9","76,0",40-45,"1,0","84,4",30-35,14000 - один дизайн,7,17-19,
,,,,20000,"0,9","75,9",,"1,0","84,3",,,,,
,,,,40000,"0,9","72,2",,"1,0","80,6",,,,,
 ,Комплект: картхолдер+карточка,"Материал: кожзам, края сшиваются
Размер: 11*6 см
Упаковка: индивидуальный пакетик"," Дизайн: 
- нанесение на картхолдере с 1 стороны
- пошив по дизайну как на визуале
-выбор цвета материала из раскладки
- карточка 8*5 см с запечаткой с двух сторон",10000,"1,0","82,8",45-50,"1,1","92,2",35-40,16000 - один дизайн,7,17-19,
,,,,20000,"1,0","82,7",,"1,1","92,0",,,,,
,,,,40000,"0,9","79,0",,"1,0","88,3",,,,,
 ,Картхолдер,"Материал: кожзам, края спаиваются
Размер: 11*6 см
Упаковка: индивидуальный пакетик"," Дизайн: 
- нанесение на картхолдере с 1 стороны
- пошив по дизайну как на визуале
- выбор цвета материала из раскладки",10000,"0,8","68,7",40-45,"0,9","77,1",30-35,14000 - один дизайн,7,17-19,
,,,,20000,"0,8","68,6",,"0,9","77,0",,,,,
,,,,40000,"0,8","64,9",,"0,9","73,3",,,,,
 ,Комплект: картхолдер+карточка,"Материал: кожзам, края спаиваются
Размер: 11*6 см
Упаковка: индивидуальный пакетик"," Дизайн: 
- нанесение на картхолдере с 1 стороны
- пошив по дизайну как на визуале
-выбор цвета материала из раскладки
- карточка 8*5 см с запечаткой с двух сторон",10000,"0,9","79,1",45-50,"1,0","88,5",35-40,16000 - один дизайн,7,17-19,
,,,,20000,"0,9","79,0",,"1,0","88,4",,,,,
,,,,40000,"0,9","79,0",,"1,0","88,3",,,,,
 ,Картхолдер,"Материал: спанбонд 80 гр, края спаиваются
Размер: 11*6 см
Упаковка: общий пакет"," Дизайн: 
- нанесение на картхолдере с 1 стороны
- пошив по дизайну как на визуале
- выбор цвета материала из раскладки",10000,"0,4","30,9",40-45,"0,4","33,7",30-35,7900 - дизайн,7,17-19,
,,,,20000,"0,4","30,4",,"0,4","33,2",,,,,
,,,,40000,"0,4","30,1",,"0,4","32,9",,,,,
 ,Комплект: картхолдер+карточка,"Материал: спанбонд 80 гр, края спаиваются
Размер: 11*6 см
Упаковка: общий пакет"," Дизайн: 
- нанесение на картхолдере с 1 стороны
- пошив по дизайну как на визуале
-выбор цвета материала из раскладки
- карточка 8*5 см с запечаткой с двух сторон",10000,"0,7","62,2",45-50,"0,8","65,2",35-40,9900 - дизайн,7,17-19,
,,,,20000,"0,7","61,7",,"0,8","64,7",,,,,
,,,,40000,"0,7","61,5",,"0,8","64,5",,,,,
 ,Картхолдер,"Материал: ПВХ, цвет-прозрачный, фурнитура-цепочка
Размер: 11,5*8 см
Упаковка: индивидуальный пакетик
Примечание от фабрики: на другие цвета цена будет отличаться"," Дизайн: 
- нанесение на картхолдере с 1 стороны",10000,"0,9","75,5",43-48,"1,0","84,8",33-38,7900 - дизайн,7,17-19,
,,,,20000,"0,9","75,4",47-52,"1,0","84,7",37-42,,,,
,,,,40000,"0,8","65,1",50-55,"0,9","74,4",40-45,,,,
 ,Комплект: картхолдер+карточка,"Материал: ПВХ, цвет-прозрачный, фурнитура-цепочка
Размер: 11,5*8 см
Упаковка: индивидуальный пакетик
Примечание от фабрики: на другие цвета цена будет отличаться"," Дизайн: 
- нанесение на картхолдере с 1 стороны
- карточка 8*5 см с запечаткой с двух сторон",10000,"1,0","80,7",48-53,"1,1","90,5",38-43,9900 - дизайн,7,17-19,
,,,,20000,"1,0","80,6",52-57,"1,1","90,4",42-47,,,,
,,,,40000,"0,8","70,3",55-60,"0,9","80,1",45-50,,,,
 ,Картхолдер,"Материал: ПВХ
Размер: 9,1*6,3 см
Упаковка: общий пакет
"," Дизайн: 
- нанесение на картхолдере с 1 стороны
- выбор цвета материала из раскладки",10000,"0,5","43,8",35-40,"0,6","47,0",25-30,35000 - дизайн,5,15-17,
,,,,20000,"0,4","34,6",35-40,"0,4","37,7",25-30,,,,
,,,,40000,"0,4","34,3",40-45,"0,4","37,5",30-35,,,,
 ,Комплект: картхолдер+карточка,"Материал: ПВХ
Размер: 9,1*6,3 см
Упаковка: индивидуальный пакетик"," Дизайн: 
- нанесение на картхолдере с 1 стороны
-выбор цвета материала из раскладки
- карточка 8*5 см с запечаткой с двух сторон",10000,"0,8","68,7",40-45,"0,9","71,9",30-35,37000 - дизайн,5,15-17,
,,,,20000,"0,8","68,2",40-45,"0,8","71,4",30-35,,,,
,,,,40000,"0,7","59,2",45-50,"0,7","62,4",35-40,,,,
 ,Картхолдер,"Материал: пластик
Размер: 11*6,8 см
Упаковка: индивидуальный пакетик

Можно добавить шнурок-подвес"," Дизайн: 
- нанесение на картхолдере с 1 стороны",10000,"1,0","82,2",35-40,"1,1","93,6",25-30,2400 - дизайн,3,13-15,
,,,,20000,"1,0","82,1",35-40,"1,1","93,5",25-30,,,,
,,,,40000,"1,0","82,1",40-45,"1,1","93,4",30-35,,,,
 ,Комплект: картхолдер+карточка,"Материал: пластик
Размер: 11*6,8 см
Упаковка: индивидуальный пакетик

Можно добавить шнурок-подвес"," Дизайн: 
- нанесение на картхолдере с 1 стороны
- карточка 8*5 см с запечаткой с двух сторон",10000,"1,0","85,9",35-40,"1,1","97,3",25-30,4400 - дизайн,3,13-15,
,,,,20000,"1,0","85,8",35-40,"1,1","97,1",25-30,,,,
,,,,40000,"1,0","85,7",40-45,"1,1","97,1",30-35,,,,
