,"Менеджер: Киселева Екатерина
Email: katya.e@megamind.ru
Телефон: +7 (921) 970-63-24
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД долгое,,,Доставка АВИА долгое,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Шприц с трубкой,"Материал: пластик
Размер: шприц 150 мл, трубка 130 см
Упаковка: сток пакет
Примечания: только долгая доставка, тк требуется очень дорогой и сложный в получении сертификат. Есть вариант с трубкой 100 см, цена будет та же.", Дизайн: сток,500,"1,7","149,8",35-40,"1,8","158,2",20-25,2 650,2,12-14,
,,,,1000,"1,6","145,5",,"1,7","153,9",,,,,
,,,,5000,"1,6","141,5",,"1,7","149,9",,,,,
 ,Трубка (без шприца),"Материал: пластик
Размер: 110 см
Упаковка: сток пакет
Примечания: только долгая доставка, тк требуется очень дорогой и сложный в получении сертификат. Можно отдельно заказать трубку с таким размером, в комплекте со шприцом таких параметров не нашли", Дизайн: сток,500,"0,9","83,1",38-43,"1,0","88,8",23-28,2 450,2,12-14,
,,,,1000,"0,9","78,7",,"1,0","84,5",,,,,
,,,,5000,"0,9","74,7",,"0,9","80,5",,,,,
 ,Шприц,"Материал: пластик
Размер: шприц 150 мл
Упаковка: сток пакет


", Дизайн: сток,500,"1,6","144,5",35-40,"1,7","153,0",20-25,2 350,2,12-14,
,,,,1000,"1,5","137,6",,"1,6","146,0",,,,,
,,,,5000,"1,4","128,3",,"1,5","136,7",,,,,
,,," Дизайн: нанесение лого один цвет, два не делают",5000 (мин для лого),"1,6","141,5",50-55,"1,7","149,9",35-40,23 500,15,25-27,
