,"Менеджер: Киселева Екатерина
Email: katya.e@megamind.ru
Телефон: +7 (921) 970-63-24
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Шторка для веб-камеры,"Материал: пластик
Размер: 18 х 9 х 0.7 мм
Упаковка: пакет
Примечание от фабрики: набор из трех шторок. Цена с учетом стоковой упаковки не изменится "," Дизайн: нанесение лого, выкрас в пантон (по макету), брендированная упаковка",500,"17,6","1584,5",45-50,"17,7","1585,1",35-40,2300 (сток),3,13-15,
,,,,,,,,,,,,,,
,,,,1000,"8,9","792,9",,"8,9","793,6",,"6350 (лого, цвет сток)",4,14-16,
,,,,5000,"1,8","159,7",,"1,8","160,3",,13350 (выкрас набора в цвет),10,20-22,
 ,Бутылка 1,"Материал: нержавейка 201 и 304
Размер: 1080 мл, 31 х 8.5 см
Упаковка: коробка
Примечание от фабрики: цена с учетом стоковой упаковки не изменится"," Дизайн: нанесение лого УФ печатью, брендированная коробка / сток коробка, пантон, софт-тач",500,"19,6","1799,5",40-45,"21,7","2009,3",30-35,11850 (без учета кастом коробки),7,17-19,
,,,,1000,"12,1","1126,4",,"14,2","1336,2",,24900 (с учетом кастом коробки),10,20-22,
,,,Дизайн: сток,500,"12,0","1090,8",35-40,"14,1","1295,3",25-30,4250 (сток),2,12-14,
,,,,1000,"11,7","1062,7",,"13,8","1267,9",,,,,
,,,Дизайн: стоковый цвет + лого,500,"12,5","1141,7",,"14,7","1346,8",,5 080,7,12-14,
,,,,1000,"12,2","1114,2",,"14,4","1319,4",,,,,
 ,Бутылка 2,"Материал: нержавейка 304 и 316
Размер: 1080 мл, 31 х 8.5 см
Упаковка: коробка
Примечание от фабрики: в доп фото примеры печати: 1 фото - шелкография, 2 и 3 - 3д печать, 4 фото - пример покрытия софт-тач"," Дизайн: нанесение лого 3d печать / шелкография, брендированная коробка, пантон, софт-тач",500,"12,2","1121,8",40-45,"13,9","1294,6",30-35,"35750 (цвет, лого, покрытие и коробка)",15,25-27,
,,,,1000,"11,8","1093,8",,"13,6","1266,6",,,,,
,,,Дизайн: сток,500,"12,1","1089,2",35-40,"13,8","1258,2",25-30,4100 (сток),2,12-14,
,,,,1000,"11,9","1074,6",,"13,6",1244,,,,,
,,,Дизайн: стоковый цвет + лого,500,"12,3","1114,9",,"14,1",1284,,5 750,7,12-14,
,,,,1000,"12,2","1100,5",,"13,9",1269,,,,,
,Шторка для веб-камеры,"Материал: алюминиевый сплав
Размер: 18 х 9 мм
Упаковка: сток (в доп фото)
Примечание от фабрики: Серебряный и черный цвета есть в наличии. Красный цвет необходимо производить от 5000 штук, его стоимость уже учтена в цене и влияет на стоимость при маленьком тираже.","Дизайн: выкрас красного в пантон, нанесение логотипа лазерной гравировкой",500,"7,5","672,5",40-45,"7,5","676,3",30-35,15 700,7,17-19,
,,,,1000,"4,2","380,8",,"4,3","384,5",,,,,
,,,,5000,"1,6","143,6",,"1,6","147,3",,,,,
