,"Менеджер: Киселева Екатерина
Email: katya.e@megamind.ru
Телефон: +7 (921) 970-63-24
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Брелок,"Материал: ПВХ, металл
Размер: 25 мм
Упаковка: индивидуальный пакет
Фурнитура: колечко, цепочка

*стоимость будет уточнена после получения макетов изделия"," Дизайн: индивидуальный дизайн (один подвес, лого+изображение)",5000,"0,7","67,2",40-45,"0,8","70,2",30-35,9 530,7,17-19,
 ,Значок,"Материал: цинковый сплав
Размер: 15 мм
Застежка: цанга
Упаковка: индивидуальный пакет"," Дизайн: индивидуальный дизайн, заливка эмалью",1500,"1,1","105,6",35-40,"1,2","109,1",25-30,10 400,7,17-19,
 ,Брелок,"Материал: кожа
Размер: 10.5 х 1.2 см
Упаковка: индивидуальный пакет
", Дизайн: тиснение лого,1000,"1,3","118,9",35-40,"1,3","124,1",25-30,4 850,7,17-19,
,,,,2000,"1,3","118,1",,"1,3","123,3",,,,,
 ,Брелок,"Материал: кожа
Размер: 10 х 1.5 см
Упаковка: индивидуальный пакет
", Дизайн: тиснение лого,1000,"1,2","107,2",40-45,"1,2","114,2",30-35,8 180,7,17-19,
,,,,2000,"1,1","103,6",,"1,2","110,6",,,,,
 ,Галстук,"Материал: полиэстер
Размер: по тз
Упаковка: сток
", Дизайн: лого,500,"4,4","403,2",50-55,"4,6","424,2",40-45,5 100,7,17-19,
,,,,1000,"4,1","373,6",,"4,3","394,6",,,,,
 ,Платок,"Материал: шелк 
Размер: по тз
Упаковка: сток
", Дизайн: лого,500,"4,6","425,3",50-55,"4,9","453,6",40-45,9 380,7,17-19,
,,,,1000,"4,5","414,8",,"4,8","443,1",,,,,
 ,Щетка для машины,"Материал: пластик
Размер: 680 х 95 мм
Упаковка: сток
", Дизайн: лого,1000,"6,3",591,40-45,8,"756,1",30-35,12 100,3,13-15,
,,,,2000,"6,1","569,1",,"7,7","734,2",,,,,
 ,Колонка,"Материал: пластик
Размер: 70 х 70 х 48 мм
Упаковка: сток
", Дизайн: печать лого,1000,"6,6","624,4",40-45,"7,1","674,4",30-35,11 200,3,13-15,
,,,,2000,"5,6","552,5",,"6,1","602,4",,,,,
 ,Колонка с магсейф,"Материал: абс пластик
Размер: 43 х 60 мм
Упаковка: фабричная коробка
Характеристики: 5000 мАh, 5 Вт, блютуз", Дизайн: печать лого (уф или гравировка),1000,"17,9","1668,4",40-45,"18,6","1712,2",30-35,11 600,7,17-19,
,,,,2000,"16,3","1591,2",,"17,1","1635,1",,,,,
,Колонка,"Материал: пластик
Размер: 205 х 51 мм
Упаковка: сток
Примечания: Bluetooth 5.2, SD-карта, радио, емкость аккумулятора 3000 мАч", Дизайн: УФ-печать лого,1000,"17,2","1547,8",40-45,"18,5","1661,8",30-35,15 500,5,15-17,
,,,,2000,"16,3","1470,6",,"17,6","1584,6",,,,,
,Колонка,"Материал: пластик
Размер: 101 х 60 х 47 мм
Упаковка: сток
Примечания: Bluetooth 5.3, SD-карта, емкость аккумулятора 500 мАч, зарядка от type-c", Дизайн: УФ-печать лого,1000,"15,7","1409,6",45-50,"16,7","1500,5",35-40,8 850,7,17-19,
,,,,2000,"14,8","1332,4",,"15,8","1423,3",,,,,
,Колонка,"Материал: пластик
Размер: 62 х 62 х 65 мм
Упаковка: сток
Примечания: Bluetooth 5.0, SD-карта, емкость аккумулятора 500 мАч, зарядка от micro USB", Дизайн: УФ-печать лого,1000,"8,0","720,1",40-45,"8,6","770,6",30-35,6 290,7,17-19,
,,,,2000,"7,4","669,2",,"8,0","719,7",,,,,
 ,Автонабор,"Материал: ткань оксфорд + полипропилен + синель
Размер набора: 20 х 30 х 10
Упаковка: сток
В набор входят:
- Упаковка: 30 × 20 × 10 см  
- Очиститель (чехол из микрофибры): 24 × 13 × 7 см  
- Салфетка для протирки автомобиля: 30 × 70 см  
- Щетка для шин: 26 × 7 см  
- Малая восковая кисть: 34 × 22 см  
- Щетка для узких мест: 16 × 3 см  
- Силиконовый водосгон: 30 × 9.5 см  
- Парковочная табличка: 4.5 х 10 х 2.5 см", Дизайн: лого (только на набор),1000,16,"1483,1",45-50,"17,1","1589,7",35-40,12 400,2,12-14,
,,,,2000,"15,8","1469,1",,"16,9","1575,7",,,,,
 ,"Кофр","Материал: пу
Размер: 55х30х30 см
Упаковка: сток
Количество секций: 6 ", Дизайн: шеврон с логотипом ,1000,"25,3","2276,1",60-65,"32,0","2882,0",50-55,7 000,4,14-16,
,,,,2000,"25,3","2275,2",75-80,"32,0","2881,1",65-70,,,,
 ,"Увлажнитель воздуха","Материал: пластик, электроника
Размер: 78*78*128 мм 
Упаковка: сток, картонная коробка с шубером по индивидуальному дизайну
Цвет: темно-серый, белый, розовый (на фото)
Примечание от фабрики: желательна проработка на образце", Дизайн: силиконовая бирка по индивидуальному дизайну с логотипом; шубер на производственную коробку,1000,"15,0","1348,3",52-55,"16,4","1474,8",42-45,22 700,15,25-27,
,,,,2000,"13,5","1213,8",,"14,9","1340,3",,,,,
 ,Увлажнитель воздуха 2,"Материал: ABS + PP
Размер: 158 х 88 х 88 мм
Упаковка: индивидуальная цветная коробка
Характеристики:
USB
объем емкости для воды: 0.4 л;
время работы таймера: 6 часов
длина провода: 1 метр", Дизайн: лого,1000,"5,9","552,5",32-37,"6,7","638,4",22-27,9 500,4,14-16,
,,,,2000,"5,3","501,7",,"6,1","587,5",,,,,
 ,Увлажнитель воздуха 3,"Материал: ABS 
Размер: 155 х 130 х 130 мм
Упаковка: индивидуальная цветная коробка
Характеристики:
- USB
- объем емкости для воды: 2 л;
- 12 часов непрерывного распыления
- Бесшумная работа
- Простой в обслуживании и энергоэффективный
- 2 режима работы

", Дизайн: лого ,1000,10,"948,5",35-40,"12,5","1190,8",25-30,8 200,4,14-16,
,,,,2000,9,800,,"10,0","949,1",,,,,
 ,Увлажнитель воздуха 4,"Материал: ABS 
Размер: 245 х 135 х 135 мм
Упаковка: индивидуальная цветная коробка
Характеристики:
- USB
- Объем резервуара для воды: 800 мл  
- Время работы: 30–50 часов  
- Мощность: 5 Вт  
- Рабочее напряжение: 5V 2A
", Дизайн: лого (шелкография или лазер),1000,"19,8","1850,9",35-40,23,"2168,1",25-30,12 250,7,17-19,
,,,,2000,19,"1773,8",,"22,2","2090,9",,,,,
 ,"Термокружка","Материал: нержавеющая сталь
Размер: 16,5 х 6,5 х 8 см
Упаковка: сток, картонная коробка с шубером по индивидуальному дизайну
"," Дизайн: нанесение логотипа шелкографией, шубер на производственную коробку",1000,"8,6","769,2",40-45,"10,2","917,3",30-35,15 700,3,13-15,
,,,,2000,"8,5","768,4",45-50,"10,2","916,5",35-40,,,,
 ,Ланъярд с ретрактором,"Материал: стропа, пластик
Размер: стропа 90 х 2 см, ретрактор 3.2 х 4.8 см
Упаковка: индивидуальный пакет"," Дизайн: стропа - сублимация 4+4, ретрактор - печать 2+0",1500,"1,3","119,5",35-40,"1,4","124,5",25-30,9 050,7,17-19,
 ,"Термокружка","Материал: нержавеющая сталь 304
Размер: 16,5 х 9,5 х 9,5 см
Упаковка: цветная коробка ", Дизайн: нанесение логотипа ,1000,"8,5","779,3",45-50,"9,3","859,1",35-40,7 500,5,15-17,
,,,,2000,"8,1","742,5",,"8,9","822,3",,,,,
 ,"Термокружка","Материал: нержавейка 316
Размер: 320 мл, 14 х 6.5 см
Упаковка: сток коробка
", Дизайн: нанесение логотипа шелкографией,1000,"7,4","684,1",40-45,"8,4","776,9",30-35,28 200,7,17-19,
,,,,2000,"7,4","677,9",,"8,3","770,8",,,,,
 ,"Термокружка","Материал: нержавеющая сталь 304
Размер: 8.5 х 13.1 х 6.5 см
Объем: 260 мл
Цвет: черный, белый, красный
Упаковка: цветная коробка
", Дизайн: нанесение логотипа шелкографией,1000,"8,1","748,1",40-45,"9,2","850,5",30-35,14 500,4,14-16,
,,,,2000,"8,1","742,1",,"9,1","844,5",,,,,
 ,"Термокружка","Материал: нержавеющая сталь
Размер: 14.3 х 6.5 см
Цвет: белый, серый, черный, серебряный
Упаковка: сток
", Дизайн: нанесение логотипа шелкографией,1000,"7,4","679,8",40-45,"8,3","772,4",30-35,10 150,4,14-16,
,,,,2000,"7,2","665,8",,"8,2","758,4",,,,,
