,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
,Электрическая кофемолка,"Материал: алюминий
Размер: 64*181мм
Упаковка: заводская коробка
Примечание от фабрики: необходимо оформление сертификатов ДС+СС (около 100тыс.руб.)", Дизайн: гравировка лого,2000,"76,2","6476,0",60-65,,,,18 600,9,19-21,
,Ручная кофеварка,"Материал: нержавеющая сталь, тритан, пластик
Размер: 21*6см
Упаковка: заводская коробка
Примечание от фабрики: необходимо оформление сертификатов ДС (около 20тыс.руб.)", Дизайн: шелкография лого 1 цвет,2000,"34,1","2895,0",60-65,,,,10 000,9,19-21,
,Электрическая плитка,"Материал: микрокристаллическая панель, металл
Размер: 15,5*7см
Упаковка: заводская коробка
Мощность: 800W
Примечание от фабрики: необходимо оформление сертификатов ДС+СС (около 100тыс.руб.)", Дизайн: шелкография лого 1 цвет,2000,"36,8","3125,0",60-65,,,,9 200,9,19-21,
,Коврик для йоги,"Материал: TPE + пробковый материал
Размер: 183*61*0.6CM
Упаковка: заводская
Примечание от фабрики:  коврик с пробковым слоем можно изготовить только толщиной 6мм", Дизайн: сток,2000,"27,1","2305,0",45-50,,,,7 300,1,14-16,
,,, Дизайн: лого 1 цвет шелкография,2000,"27,4","2330,0",50-55,,,,13 400,7,19-21,
,,, Дизайн: полноцветная УФ запечатка,2000,"30,0","2553,0",50-55,,,,10 900,4,#REF!,
 ,МФР ролл,"Материал: EVA
Размер: 33*14см
Упаковка: заводская
Примечание от фабрики: есть размеры поменьше и побольше, цена будет отличаться"," Дизайн: выкрас в пантон, шелкография лого 1 цвет",2000,"13,5","1147,0",60-65,,,,17 300,9,19-21,
,Чехол для коврика,"Материал: Оксфорд с сетчатым карманом
Размер: 24х68 см
Упаковка: без индивидуальной упаковки
", Дизайн: лого 1 цвет шелкография,1000,"2,2","195,0",55-60,,,,9 600,10,10-12,
,,,,2000,"2,1","189,2",55-60,,,,,,,
,,,,3000,"2,0","181,5",60-65,,,,,,,
