,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Бусины,"Материал: ПВХ
Диаметр: ~1,5cm
Упаковка: OPP пакет
Примечание от фабрики: цена за 1 дизайн", Дизайн: индивидуальная форма,500,"1,7","152,0",40-45,,,,26 800,9,19-21,
,,,,1000,"1,4","125,0",40-45,,,,,,,
 ,Ланъярд,"Материал: полиэстер, металл
Размер: 120*1см
Упаковка: OPP пакет"," Дизайн: выкрас в пантон, 2 бирки, вставка для телефона с лого",500,"4,5","392,0",50-55,,,,17 500,9,19-21,
,,,,1000,"4,2","366,0",50-55,,,,,,,
 ,Ретрактор,"Материал корпуса: пластик
Диаметр: 3,2см 
Упаковка: OPP пакет
Примечание от фабрики: Металлический трос +6р к цене"," Дизайн:  выкрас в пантон, объемная наклейка под смолой / шелкография лого, обычная веревочка внутри",500,"1,2","107,0",45-50,,,,7 100,7,17-19,
,,,,1000,"1,1","93,0",45-50,,,,,,,
 ,Ретрактор,"Материал корпуса: металл
Диаметр: 3,2см 
Упаковка: OPP пакет
"," Дизайн: гравировка / УФ печать лого, металлический трос внутри",500,"1,8","157,0",45-50,,,,7 100,7,17-19,
,,,,1000,"1,6","143,0",45-50,,,,,,,
 ,Ретрактор,"Материал корпуска: пластик
Размер: 108*34mm
Упаковка: OPP пакет
Примечание от фабрики: Металлический трос +6р к цене"," Дизайн: выкрас в пантон, шелкография / УФ печать лого, обычная веревочка внутри",500,"1,4","125,0",45-50,,,,7 100,7,17-19,
,,,,1000,"1,1","101,0",45-50,,,,,,,
 ,Стикерпак,"Материал: смола
Размер: А5
Упаковка: OPP пакет
", Дизайн: По макету клиента,500,"2,2","189,0",40-45,"2,4","206,0",30-35,5 600,6,16-18,
,,,,1000,"2,1","175,0",40-45,"2,3","192,0",30-35,,,,
 ,ZIP-пакет,"Материал: CPE
Размер: 280*180мм
Упаковка: без

Необходимо оформление ДС (14500р , НЕ входит в стоимость)", Дизайн: По макету клиента,500,"2,3","195,0",45-50,"2,5","210,0",35-40,16 300,7,17-19,
,,,,1000,"1,7","147,8",45-50,"1,9","159,1",35-40,,,,
 ,ZIP-пакет,"Материал: CPE
Размер: 220*150мм
Упаковка: без

Необходимо оформление ДС (14500р , НЕ входит в стоимость)", Дизайн: По макету клиента,500,"2,4","185,8",45-50,"2,3","197,0",35-40,16 300,7,17-19,
,,,,1000,"1,7","136,6",45-50,"1,7","148,0",35-40,,,,
 ,Стикерпак,"Материал: мелованная бумага
Размер: А5
Упаковка: без", Дизайн: По макету клиента,100,"1,0","84,0",35-40,"1,1","90,0",25-30,3 800,4,14-16,
,,,,500,"0,7","60,0",35-40,"0,8","66,0",25-30,,,,
,,,,1000,"0,4","36,0",35-40,"0,5","42,0",25-30,,,,
 ,Стикерпак,"Материал: ПВХ
Размер: А5
Упаковка: без", Дизайн: По макету клиента,100,"1,1","91,0",35-40,"1,2","97,0",25-30,3 800,4,14-16,
,,,,500,"0,8","68,0",35-40,"0,9","74,0",25-30,,,,
,,,,1000,"0,5","40,0",35-40,"0,5","46,0",25-30,,,,
 ,Ланъярд,"Материал: полиэстер, металл
Размер: 120*0,8см
Упаковка: OPP пакет"," Дизайн: подбор цвета близкий к номеру пантон, 1 бирка, вставка для телефона с лого",500,,,,"5,0","427,0",40-45,10 800,10,20-22,
,,,,1000,,,,"4,7","401,0",40-45,,,,
 ,Бусины,"Материал: ПВХ
Диаметр: ~1,5cm
Упаковка: без
Примечание от фабрики: цена за 1 дизайн", Дизайн: индивидуальная форма,500,,,,"2,0","172,0",30-35,26 800,9,19-21,
,,,,1000,,,,"1,7","145,0",30-35,,,,
 ,Бейджхолдер с карабином,"Материал: акрил
Размер: 105*65мм
Упаковка: OPP пакет", Дизайн: сток,500,,,,"1,5","125,0",20-25,2 500,1,11-13,
,,,,1000,,,,"1,4","121,0",20-25,,,,
 ,Бусина коробочка,"Материал: ПВХ
Размер: 12,5х12,5х12,5мм
Упаковка: OPP пакет"," Дизайн: индивидуальная форма, УФ печать паттерна",500,,,,"4,5","378,3",50-55,,,,
 ,Бусина шар с буквой М,"Материал: ПВХ
Размер: 16,7х17,5х17,5мм
Упаковка: OPP пакет", Дизайн: индивидуальная форма,500,,,,"3,3","280,1",50-55,,,,
 ,"Бусины молния, сердечко, NEW","Материал: ПВХ
Размеры: 
NEW: 20х12,8х9,7мм
Молния: 36,7х14,7х10,9мм
Сердечко: 14,8х14,8х11,1мм
Упаковка: OPP пакет
Примечание от фабрики: цена за 1 дизайн", Дизайн: индивидуальная форма,500,,,,"2,8","231,0",50-55,,,,
,,,,,,,,,,,,,,
,,,,,,,,,860,,"1412,0",,,
,,,,,,,,,725,,"1247,0",,,
,,,,,,,,,,,,,,
,,,,,,,,,,,113 300,,,
