,"Менеджер: Андрианова Анастасия
Email: anastasiaandrianova@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Стикеры ,"Материал: смола 
Размер: 5х3 см
Упаковка: 
Примечание от фабрики: минимальный тираж для кастома 1000 шт", Дизайн: цветная печать дизайна,1000,"0,2","18,3",27-32,"0,2","19,5",22-27,"10 500,00",14-17,
,,,,3000,"0,1","14,3",,"0,1","15,6",,,,
 ,"Игрушки конструкторы мини наборы
","Материал: пластик
Размер: 6,8*9*7,6 см
Упаковка: индивидуальная коробка
Примечание от фабрики:
*из наличия, так как минимальный тираж для кастома - 5000 шт.
",Дизайн: из наличия,100,"3,0","318,8",25-30,"3,59","387,4",15-20,"5 000,00",10-12,
,,,,300,"2,8","300,7",,"3,42","369,32",,,,
,,,,500,"2,7","288,7",,"3,3","356,45",,,,
,,,,1000,"2,6","280,5",,"3,22","347,49",,,,
,,,,3000,"2,57","277,7",,"3,19","344,32",,,,
,,,Дизайн: открытие формы под макет ,5000,"3,72","383,52",55-60,"4,34","447,06",45-50,"36 500,00",17-19,
 ,Пенал силиконовый 1 ,"Материал: силикон 
Размер: 11*19*3,6 см
Упаковка: OPP пакет
Примечание от фабрики: 
*минимальный тираж для кастома 1000 шт
*минимальный заказ 1000 шт","Дизайн: производства с нуля по собственному макету, открытие формы, настройка цвета, печати и лого",1000,"6,9","746,0",60-65,"7,85","848,02",50-55,"16 500,00",17-19,
,,,,3000,"5,65","609,79",,"6,59","711,85",,,,
