,"Менеджер: Садова Алина Дмитриевна
Email: alinas@megamind.ru
Телефон: +7 (920) 663-50-75
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,шейкер автоматический,"Материал: стекло 
Размер: 9,2*9,2*20 см
Объем: 500 мл
Упаковка: картонная коробка
Примечание от фабрики: мин кол-во на изменение 1 цвета корпуса 300 штук, в образец включен 1 цвет+2-х цветное лого ", Дизайн: нанесение лого в 2 цвета тампопечатью,700,"21,2","1960,9",65-70,,,,21 000,9,19-21,
,,,,1500,"20,6","1906,9",65-70,,,,,,,
 ,шейкер спортивный,"Материал: пластик, нержавеющая сталь - шарик для взбивания
Размер: 21,5*7 см, шарик для взбивания - 5 см
Упаковка: OPP-пакетик
Примечание от фабрики:  2 цвета на тираж в любой разбивке, цвета шейкеров как на фото ", Дизайн: нанесение двухцветного лого UV-печатью,700,"2,6","248,6",45-50,,,,16 500,9,19-21,
,,,,1500,"2,5","236,7",45-50,,,,,,,
 ,ручка MUJI ,"Материал: пластик
Размер: 15 см
Упаковка: заводская упаковка
Примечание от фабрики:  черные гелевые чернила, толщина стержня 0,38 или 0,5 см - цена одна, не кастомизируют такие брендовые ручки"," Дизайн: сток, без нанесения",300,"1,4","134,0",37-42,,,,3 500,4,14-16,
 ,ручка MUJI ,"Материал: пластик
Размер: 15 см
Упаковка: заводская упаковка
Примечание от фабрики:  черные гелевые чернила, толщина стержня 0,35 или 0,5 см - цена одна, не кастомизируют такие брендовые ручки"," Дизайн: сток, без нанесения",300,"0,9","84,0",37-42,,,,3 500,4,14-16,
 ,коробка для ручки MUJI ,"Материал: картон
Размер: примерно 15,5-16 см
Упаковка: заводская упаковка
Примечание от фабрики: картонная коробка с лого", Дизайн: нанесение лого цифровой печатью,100,"3,4","305,7",45-50,,,,10 500,6,16-18,
 ,набор ручка+коробка 1,"Материал: картон, пластик
Размер: примерно 15,5-16 см
Упаковка: заводская упаковка
Примечание от фабрики: набор ручка+коробка (в стоимость включена доставка до фабрики коробок и сборка), в коробке 3 ручки", Дизайн: нанесение лого цифровой печатью на коробку,100,"7,8","713,8",55-60,,,,14 000,11,21-23,
 ,набор ручка+коробка 2,"Материал: картон, пластик
Размер: примерно 15,5-16 см
Упаковка: заводская упаковка
Примечание от фабрики: набор ручка+коробка (в стоимость включена доставка до фабрики коробок и сборка), в коробке 3 ручки", Дизайн: нанесение лого цифровой печатью на коробку,100,"9,5","858,6",55-60,,,,14 000,11,21-23,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Обновление цен,,,,,,,,,,,,,,
 ,шейкер автоматический,"Материал: стекло 
Размер: 9,2*9,2*20 см
Объем: 500 мл
Упаковка: картонная коробка
Примечание от фабрики:", Дизайн: нанесение лого в 2 цвета тампопечатью,700,"22,6","1971,9",65-70,,,,21 000,9,19-21,
,,,,1500,"22,0","1917,6",65-70,,,,,,,
 ,шейкер автоматический,"Материал: стекло 
Размер: 9,2*9,2*20 см
Объем: 500 мл
Упаковка: картонная коробка
Примечание от фабрики: выкрас от 1000 шт", Дизайн: выкрас бутылки+нанесение лого в 2 цвета тампопечатью,1000,"22,6","1971,1",70-75,,,,44 000,15,25-27,
,,,,1500,"22,4","1957,3",70-75,,,,,,,
 ,шейкер спортивный,"Материал: пластик, нержавеющая сталь - шарик для взбивания
Размер: 21,5*7 см, шарик для взбивания - 5 см
Упаковка: OPP-пакетик
Примечание от фабрики:  2 цвета на тираж в любой разбивке, цвета шейкеров как на фото ", Дизайн: нанесение двухцветного лого UV-печатью,700,"2,8","250,1",45-50,,,,16 500,9,19-21,
,,,,1500,"2,7","238,1",45-50,,,,,,,
 ,ручка MUJI ,"Материал: пластик
Размер: 15 см
Упаковка: заводская упаковка
Примечание от фабрики:  черные гелевые чернила, толщина стержня 0,38 или 0,5 см - цена одна, не кастомизируют такие брендовые ручки"," Дизайн: сток, без нанесения",300,"1,5","135,1",37-42,,,,3 500,5,15-17,
 ,ручка MUJI ,"Материал: пластик
Размер: 15 см
Упаковка: заводская упаковка
Примечание от фабрики:  черные гелевые чернила, толщина стержня 0,35 или 0,5 см - цена одна, не кастомизируют такие брендовые ручки"," Дизайн: сток, без нанесения",300,"0,9","84,8",37-42,,,,3 500,5,15-17,
 ,коробка для ручки MUJI ,"Материал: картон
Размер: примерно 15,5-16 см
Упаковка: заводская упаковка
Примечание от фабрики: картонная коробка с лого", Дизайн: нанесение лого цифровой печатью,100,"3,6","308,4",45-50,,,,10 500,6,16-18,
 ,набор ручка+коробка 1,"Материал: картон, пластик
Размер: примерно 15,5-16 см
Упаковка: заводская упаковка
Примечание от фабрики: набор ручка+коробка (в стоимость включена доставка до фабрики коробок и сборка), в коробке 3 ручки", Дизайн: нанесение лого цифровой печатью на коробку,100,"8,4","718,7",55-60,,,,14 000,11,21-23,
 ,набор ручка+коробка 2,"Материал: картон, пластик
Размер: примерно 15,5-16 см
Упаковка: заводская упаковка
Примечание от фабрики: набор ручка+коробка (в стоимость включена доставка до фабрики коробок и сборка), в коробке 3 ручки", Дизайн: нанесение лого цифровой печатью на коробку,100,"10,1","864,3",55-60,,,,14 000,11,21-23,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,"67,69",,,
