,"Менеджер: Казакова Екатерина
Email: kate.k@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,набор для ремонта шин (альтернативный способ доставки),"Материал: пластик, металл 
Упаковка: заводская упаковка
Примечание от фабрики: набор включает в себя инструмент для ремонта шин: рашпиль (напильник), инструмент с игольчатым отверстием, жгут сырой резины 5шт., клей", Дизайн: без нанесения,1000,"1,3","126,8",40-45,,,,4 500,3,13-15,
,,,,2000-3000,"1,3","123,0",,,,,,,,
 ,набор для ремонта шин 2 (альтернативный способ доставки),"Материал: пластик, металл 
Упаковка: заводская упаковка
Примечание от фабрики: набор включает в себя инструмент для ремонта шин: рашпиль (напильник), инструмент с игольчатым отверстием, жгут сырой резины 5шт., клей", Дизайн: без нанесения,1000,"2,2","202,9",38-43,,,,4 500,3,13-15,
,,,,2000-3000,"2,2","201,8",,,,,,,,
 ,набор для ремонта шин 3 (альтернативный способ доставки),"Материал: пластик, металл 
Упаковка: заводская упаковка
Примечание от фабрики: набор включает в себя инструмент для ремонта шин: рашпиль (напильник), инструмент с игольчатым отверстием, жгут сырой резины 5шт., клей", Дизайн: без нанесения,1000,"1,7","159,4",35-40,,,,4 500,3,13-15,
,,,,2000-3000,"1,7","158,2",,,,,,,,
 ,набор для ремонта шин c футляром (альтернативный способ доставки),"Материал: пластик, металл 
Размер: 17*10*4 см
Упаковка: PVC-пакетик
Примечание от фабрики: набор включает в себя инструмент для ремонта шин: рашпиль (напильник), инструмент с игольчатым отверстием, жгут сырой резины 5шт., перчатки, пласкогубцы, канцелярский нож, кейс для хранения, на доп фото примерная комплектация, в нашем наборе будут пласкогубцы и один кейс для хранения", Дизайн: нанесение многоцветного лого цифровой печатью,1000,"7,6","709,8",50-55,,,,11 000,8,18-20,
,,,,2000-3000,"7,6","708,7",,,,,,,,
 ,набор для ремонта шин c футляром ,"Материал: пластик, металл 
Размер: 17*10*4 см
Упаковка: PVC-пакетик
Примечание от фабрики: набор включает в себя инструмент для ремонта шин: рашпиль (напильник), инструмент с игольчатым отверстием, жгут сырой резины 5шт., перчатки, пласкогубцы, канцелярский нож, кейс для хранения, на доп фото примерная комплектация, в нашем наборе будут пласкогубцы и один кейс для хранения. НЕОБХОДИМА ДС - стоимость 15.000 рублей, не включено в стоимость", Дизайн: нанесение многоцветного лого цифровой печатью,1000,"9,8","920,2",50-55,,,,11 000,8,18-20,
,,,,2000-3000,"9,7","919,1",,,,,,,,
 ,налобный фонарик,"Материал: алюминий, пластик
Размер: фонарик - 8 см*3,5 см*4,3 см
Упаковка: заводская упаковка
Примечание от фабрики: батарея -1×1800 Люмен,
источник света-белый свет, переключение -индукционный сенсорный переключатель, режим сильного свечения без подзарядки около 5 часов, среднего свечения - 9 часов, напряжение - 3.7, водонепроницаемый уровень IPX4, время использования без подзарядки около 5 часов, зарядка от USB", Дизайн: нанесение лого на ремень вязанием,1000,"9,4","873,8",67-72,,,,15 000,9,19-21,
,,,,2000-3000,"9,4","872,7",,,,,,,,
 ,Перчатки,"Материал: пу+полиэстер
Размер: S,M,L,XL
Упаковка: заводская упаковка
Примечание от фабрики: полиуретановое покрытие на ладони + подкладка из полиэстера", Дизайн: сток,1000,"1,0","98,7",45-50,,,,3 500,5,15-17,
,,,,2000,"1,0","94,9",,,,,,,,
,,,,3000,"1,0","91,7",,,,,,,,
 ,Перчатки,"Материал: пу+полиэстер
Размер: S,M,L,XL
Упаковка: заводская упаковка
Примечание от фабрики: полиуретановое покрытие на ладони + подкладка из полиэстера

Лого от 12000 пар.", Дизайн: лого 2 цвета,12000,"1,5","138,9",55-60,,,,17 000,10,20-22,
 ,Перчатки,"Материал: пу+полиэстер
Размер: S,M,L,XL
Упаковка: заводская упаковка
Примечание от фабрики: полиуретановое покрытие на ладони + подкладка из полиэстера", Дизайн: лого 2 цвета,1000,"1,2","114,0",50-55,,,,14 500,7,17-19,
,,,,2000,"1,2","109,8",,,,,,,,
,,,,3000,"1,1","106,1",,,,,,,,
 ,Перчатки,"Материал: пу+полиэстер
Размер: S,M,L,XL
Упаковка: заводская упаковка
Примечание от фабрики: полиуретановое покрытие на ладони + подкладка из полиэстера", Дизайн: лого 2 цвета,1000,"1,2","108,9",40-45,,,,9 000,6,16-18,
,,,,2000,"1,1","104,8",,,,,,,,
,,,,3000,"1,1","101,3",,,,,,,,
 ,Пусковое устройство с воздушным компрессором и фонариком,"Материал: АБС+ПК
Размер: 17*12*4 см
Упаковка: заводская упаковка
Примечание от фабрики: 
Функции : запуск/надувание/зарядка/свет
Применимые модели: бензиновый автомобиль объемом 6,0 л, дизельный автомобиль объемом 4,0 л
Пусковой ток: 600А
Вход для зарядки: тип-c 5v2A
Емкость продукта: 6000、8000、10000 мАч
Пиковый ток: 1800А
Время зарядки: 4-5 часов
USB-выход: 5 В-2 А

Необходимы ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено.", Дизайн: сток,1000,"66,2","6054,2",50-55,,,,15 000,5,15-17,
,,,,2000,"64,2","5869,9",,,,,,,,
,,,,3000,"62,2","5686,2",,,,,,,,
 ,"Пусковое устройство с воздушным компрессором и фонариком
(стоимость примерная, точная после предоставления макета)","Материал: АБС+ПК+огнеупорный
Размер: 12,6*15,6*5,2 см
Упаковка: заводская упаковка
Примечание от фабрики: 
Функции : запуск/надувание/зарядка/свет
Вход: 5 В/3 А, 9 В/2 А, 12 В/1,5 А
Время зарядки: около 5 часов (QC3.0 18 Вт).
Выход USB: 5 В/3 А, 9 В/2 А, 12 В/1,5 А
Емкость: 13000 мач
Внутренний диаметр цилиндра: 19 мм.
Диапазон надувания: 0-150 фунтов на квадратный дюйм
Время надувания: 6-8 минут (0-2,5 бар)
Номинальная мощность: QC18W/надувная 90 Вт
Рабочая температура:-20°C~60°C
Режим освещения: освещение, SOS, режим предупреждения.

Необходимы ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено."," Дизайн: изготовление по визуалу клиента, можно нанести лого",1000,"96,1","8760,7",70-75,,,,21 000,11,21-23,
,,,,2000,"93,1","8494,5",,,,,,,,
,,,,3000,"90,2","8228,8",,,,,,,,
