,"Менеджер: 
Email: 
Телефон: ",,"Магасумов Арсений
arseny@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Подшлемник
(проверено 08.10)","Материал: полиэстер спандекс + флис
Размер: окружность - 52 см, длина - 38 см
Упаковка: опп-пакет
Примечание от фабрики: по макету клиента

Товар точно такой же, как и образец", Дизайн: жаккардовая бирка по макету клиента,1000,5.7,477.6,477640,55-60,6.2,516.6,516630,45-50,5 800,5,15-17,
,"Подшлемник
(проверено 08.10)","Материал: полиэстер 
Размер: 27х36 см
Упаковка: опп-пакет
Примечание от фабрики: бирка по макету клиента

Товар точно такой же, как образец"," Дизайн: сток, жаккардовая бирка по макету клиента",,3.8,320.9,320860,45-50,4.1,340.3,340270,35-40,,,,
,"Балаклава
(проверено 08.10)","Материал: флис
Размер: окружность - 59 см, длина - 40-42 см
Упаковка: опп-пакет
Примечание от фабрики: по макету клиента

Товар точно такой же, как образец
", Дизайн: жаккардовая бирка по макету клиента,1000,5.51,462.63,462630.35,55-60,5.88,493.68,493676.75,45-50,,,,
,,"Материал: флис
Размер: 27х34 см
Упаковка: опп-пакет
Примечание от фабрики: бирка по макету 
"," Дизайн: сток, жаккардовая бирка по макету клиента",,3.7,307.5,307540,,4.1,346.5,346540,,,,,
,,"Материал: флис
Размер: 28х35 см
Упаковка: опп-пакет
Примечание от фабрики: бирка по макету 
"," Дизайн: сток, жаккардовая бирка по макету клиента",,7.7,642.9,642890,,8.8,741.7,741670,,,,,
 ,Сумка,"Материал: неопрен, подкладка - полиэстер
Размер: 17х3х37 см, длина ремня -115 см
Упаковка: опп
Примечание от фабрики: 
По макету клиента

Цены примерные, нужен образец для точного расчета
", Дизайн: пуфф лого по макету клиента + задний карман по макету клиента (не скрытый),1000,10.57,887.69,887690,45-55,11.66,979.42,979420,35-45,10 000,10,20-22,
,,"Материал: нейлон, подкладка - полиэстер
Размер: 15х8х37 см, длина ремня - 115 см
Упаковка: опп
Примечание от фабрики: 


Цены примерные, нужен образец для точного расчета
"," Дизайн: сток сумка, пуфф лого по макету клиента",,9.71,815.50,815500,,10.80,907.70,907700,,,,,
,Шапка,"Материал: 45% хлопок, 45% акрил, 10% нейлон
Размер: по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: по макету клиента", Дизайн: жаккардовая бирка по макету клиента,1000,7.52,631.61,631610,60-65,8.06,676.92,676920,50-55,5 900,10,20-22,
,,"Материал: 70% акрил, 30% шерсть
Размер: по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: по макету клиента",,,7.67,643.89,643890,,8.20,689.21,689210,,,,,
,,"Материал: 100% акрил
Размер: по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: по макету клиента",,,6.88,577.54,577540,,7.42,622.86,622860,,,,,
 ,"Термоноски
(проверено 08.10)","Материал: хлопок 62%, эластичная нить (резинка) 24%, лайкра 8%, высокоэластичное полиэфирное волокно 6%
Размер: 2 размера М и L (по 500 штук каждого размера)
Упаковка: опп-пакет
Примечание от фабрики: по макету клиента

Товар точно такой же, как образец"," Дизайн: кастом цвета, вышивка лого",1000,8.63,724.78,724776,50-55,9.23,775.42,775420.44,40-45,12 000,7,17-19,
 ,Мультитул,"Материал: нержавеющая сталь 420
Размер: см. доп. фото
Упаковка: опп-пакет
Примечание от фабрики: 
Есть в синем, зеленом и красном цветах", Дизайн: гравировка лого (площадь нанесения 1*0.5 см),2000,"0,74",62.5,125020,45-50,"0,84",71.3,142500,35-40,"7,900",14,24-26,
,,,,500,"2,35",199.3,99665,,"2,45",208.1,104040,,,,,
 ,Мультитул,"Материал: нержавеющая сталь 420
Размер: см. доп. фото
Упаковка: опп-пакет
Примечание от фабрики: 
Есть в синем, зеленом и красном цветах

Примечание: два разных вида в одну цену (пакинг идентичный)
", Дизайн: гравировка лого (площадь нанесения 1*0.5 см),500,"0,79","67,15 ",#VALUE!,40-45,"0,90",76.9,38460,30-35,"2,800",5,15-17,
,,,,,,,0,,,,0,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,250.0,,,,,,,,,,
,,,,,,1932000.0,,,,,,,,,,
