,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Бутылка для воды,"Материал: РС- пластик
Объем: 750 мл
Упаковка: сток
Примечание от фабрики: можно выбрать цвет бутылки и цвет ремня, убрать фабричное лого", Дизайн: нанесение лого,150 000,"5,1","466,3","70-75 дней (весь тираж)
50-55 дней (часть тиража)","6,0","546,6","60-65 дней (весь тираж)
40-45 дней (часть тиража)","15 500,00",19-21 день,
,,,,250 000,"4,8","439,7",,"5,7","520,0",,,,
,,,,350 000,"4,5","413,2",,"5,4","493,5",,,,
 ,Зонт,"Материал: нейлон, полиэстер
Размер ручки: 535 х 8 мм 
Упаковка: сток
Примечание от фабрики: размер, форму, цвет зонта можно настроить, спрятать спицы"," Дизайн: нанесение лого, выкрас в пантон",150 000,"6,2","561,8",70-75 дней,"7,4","676,5",60-65 дней,"11 500,00",16-18 дней,
,,,,250 000,6,"548,5",,"7,3","663,2",,,,
,,,,350 000,"5,7","522,0",,"7,0","636,7",,,,
 ,Открывашка,"Материал: нержавеющая сталь, металл
Размер: 9 х 5 см; 8.5 х 5.4 см
Упаковка: сток
Примечание от фабрики: размер, дизайн, форму можно выбрать"," Дизайн: нанесение лого, выкрас в пантон",150 000,"1,4","128,2",53-58 дней,"1,6","152,9",43-48 дней,"15 500,00",17-19 дней,
,,,,250 000,"1,3","125,4",55-60 дней,"1,6","150,1",45-50 дней,,,
,,,,350 000,"1,3","122,6",65-70 дней,"1,6","147,3",50-55 дней,,,
 ,Водонепроницаемая косметичка,"Материал: силикон
Размер: 185 х 117 мм
Упаковка: сток
", Дизайн: нанесение лого,150 000,"6,4","618,2",55-60 дней,"7,1","686,7",45-50 дней,"14 800,00",17-19 дней,
,,,,250 000,"6,1","591,7",,"6,8","660,2",,,,
,,,,350 000,"5,9","565,3",,"6,6","633,8",,,,
 ,Перчатки ,"Материал: полиэстер
Размер: M, L, XL
Упаковка: сток
Примечание от фабрики: лого можно нанести на жаккардовую бипку или на сами перчатки", Дизайн: нанесение лого,150 000,"4,2","399,7",115-120 дней,"4,5","431,5",105-110 дней,"12 500,00",13-15 дней,
,,,,250 000,,,,,,,,,
,,,,350 000,,,,,,,,,
 ,Кепка,"Материал: хлопок
Размер: индивидуальный
Упаковка: сток
Примечание от фабрики: размер, способ нанесения лого, цвет, форму можно выбрать", Дизайн: нанесение лого,150 000,"3,8","368,3",85-90 дней,"4,3","417,4",75-80 дней,"14 800,00",17-19 дней,
,,,,250 000,,,,,,,,,
,,,,350 000,,,,,,,,,
 ,Стакан для воды и напитков,"Материал: тритан // пищевой пластик
Размер: 14 х 8.5 см
Упаковка: цветная коробка
Объем: 420 мл", Дизайн: нанесение лого,150 000,"6,1","593,7",100-105 дней,"7,3","704,9",90-95 дней,"40 500,00",17-19 дней,
,,,,250 000,,,,,,,,,
,,,,350 000,,,,,,,,,
 ,Фартук,"Материал: полиэстер с хлопком
Размер: 70 х 78 см
Упаковка: сток
Примечание от фабрики: форму, размер, цвет и тд можно сделать индивидуально", Дизайн: нанесение лого,150 000,"5,3","514,1",85-90 дней,"6,0","582,6",75-80 дней,"11 500,00",17-19 дней,
,,,,250 000,,,,,,,,,
,,,,350 000,,,,,,,,,
 ,Ручки,"Материал: металл
Размер: индивидуальный
Упаковка: сток
Примечание от фабрики: форму можно выбрать, цвет настроить", Дизайн: нанесение лого,150 000,"2,3","2187,0",65-70 дней,"2,4","226,6",55-60 дней,"12 500,00",17-19 дней,
,,,,250 000,"2,0","190,6",70-75 дней,"2,1","198,5",60-65 дней,,,
,,,,350 000,"1,7","162,5",75-80 дней,"1,8","170,4",65-70 дней,,,
,Шапка,"Материал: нейлон
Размер: 56-58 см диаметр
Упаковка: сток
Примечание от фабрики: можно выбрать стоковый цвет", Дизайн: нанесение лого,150 000,"3,4","327,5",70-75 дней,"3,7","357,7",60-65 дней,"15 500,00",17-19 дней,
,,,,250 000,,,,,,,,,
,,,,350 000,,,,,,,,,
,Худи,"Материал: 65% хлопок, 35% волокно
Размер: S - 5XL
Упаковка: сток
Примечание от фабрики: форму можно выбрать, цвет настроить, плотность 26 нитей, двухнитка ", Дизайн: нанесение лого,150 000,"5,0","483,3",85-90 дней,"5,4","518,8",75-80 дней,"20 500,00",20-22 дня,
,,,,250 000,,,,,,,,,
,,,,350 000,,,,,,,,,
,Брелоки,"Материал: резина
Размер: индивидуальный
Упаковка: сток
Примечание от фабрики: форму можно выбрать, цвет настроить", Дизайн: нанесение лого,150 000,"1,2","114,6",55-60 дней,"1,4","129,4",45-50 дней,"14 800,00",17-19 дней,
,,,,250 000,"1,2","111,1",,"1,3","126,0",,,,
,,,,350 000,"1,2","107,7",,"1,3","122,5",,,,
 ,Держатель для стакана,"Материал: искуственная кожа
Упаковка: индивидуальный пакет", Дизайн: нанесение лого / паттерна,150 000,"2,7","261,8",75-80 дней,"3,0","284,3",65-70 дней,"16 500,00",17-19 дней,
,,,,250 000,,,85-90 дней,,,75-80 дней,,,
,,,,350 000,,,105-110 дней,,,95-100 дней,,,
 ,Чехол-сумка для телефона,"Материал: синтетическа кожа
Размер: 19 х 3/ 5.5 х11.5 см
Упаковка: сток
Примечание от фабрики: 2 типа ремешка: тонкий и плетеный (плетеный будет намного дороже)"," Дизайн: нанесение лого, выкрас в пантон",150 000,"5,5","532,8",85-90 дней,"6,3","607,7",75-80 дней,"15 200,00",20-22 дня,
,,,,250 000,,,,,,,,,
,,,,350 000,,,,,,,,,
 ,Чехол-сумка для телефона,"Материал: пвх
Размер: 19.5 х 11 см
Упаковка: сток
", Дизайн: нанесение лого,150 000,"5,2","498,1",85-90 дней,6,"554,5",75-80 дней,"19 500,00",20-22 дня,
,,,,250 000,,,,,,,,,
,,,,350 000,,,,,,,,,
