,"Менеджер: Борисова Александра
Email: sashab@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,ланчбокс,"Материал: утолщенный ПП
Размер: 1200ml, 18,5*16,6*10,6 cm
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: с лого,300,"7,9","670,6",40-45,"9,3","789,9",30-35,22 961,10,20-22,
,,,,500,"7,6","643,5",40-45,"9,0","762,7",30-35,,,,
 ,ланчбокс,"Материал: утолщенный ПП
Размер: 1200ml, 18,5*16,6*10,6 cm
Упаковка: инд пакет
Примечание от фабрики: минимальный заказ от 2000 шт", Дизайн: выкрас в цвет клиента ,2000,"7,2","608,7",40-45,"8,6","727,9",30-35,22 961,12,22-24,
,,,,,,,,,,,,,,
 ,ланчбокс,"Материал: утолщенный ПП
Размер: 1200ml, 18,5*16,6*10,6 cm
Упаковка: инд пакет
Примечание от фабрики: минимальный заказ от 2000 шт", Дизайн: выкрас в цвет клиента+ лого,2000,"7,8","665,8",40-45,"9,2","785,0",30-35,22 961,12,22-24,
,,,,,,,,,,,,,,
 ,ланчбокс,"Материал: пластик, резинка - силикон
Размер: 19.6*10.8*7.8cm
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: с лого,300,"7,5","633,6",45-50,"9,1","771,1",35-40,8 793,7,17-19,
,,,,500,"7,4","631,4",45-50,"9,1","768,9",35-40,,,,
 ,ланчбокс,"Материал: пластик, резинка - силикон
Размер: 19.6*10.8*7.8cm
Упаковка: инд пакет
Примечание от фабрики: минимальный заказ от 1500 шт", Дизайн: выкрас в цвет клиента ,1500,"7,1","603,8",50-55,"8,7","741,3",40-45,23 127,10,20-22,
,,,,,,,,,,,,,,
 ,ланчбокс,"Материал: пластик, резинка - силикон
Размер: 19.6*10.8*7.8cm
Упаковка: инд пакет
Примечание от фабрики:  минимальный заказ от 1500 шт", Дизайн: выкрас в цвет клиента+ лого,1500,"7,1","603,8",50-55,"8,7","741,3",40-45,23 127,10,20-22,
,,,,,,,,,,,,,,
 ,ланчбокс,"Материал: крышка PP+PS+силиконовое кольцо
Размер: 18.5*10.4*11.1CM
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: с лого,300,"6,7","571,5",50-55,"8,2","693,1",40-45,22 983,7,17-19,
,,,,500,"6,7","569,2",50-55,"8,1","690,8",40-45,,,,
 ,ланчбокс,"Материал: крышка PP+PS+силиконовое кольцо
Размер: 18.5*10.4*11.1CM
Упаковка: инд пакет
Примечание от фабрики: минимальный заказ от 3000 шт", Дизайн: выкрас в цвет клиента ,3000,"6,6","563,9",55-60,"8,1","685,5",45-50,29 126,10,20-22,
,,,,,,,,,,,,,,
 ,ланчбокс,"Материал: крышка PP+PS+силиконовое кольцо
Размер: 18.5*10.4*11.1CM
Упаковка: инд пакет
Примечание от фабрики: минимальный заказ от 3000 шт", Дизайн: выкрас в цвет клиента+ лого,3000,"6,7","566,4",55-60,"8,1","688,0",45-50,35 270,10,20-22,
,,,,,,,,,,,,,,
 ,фляжка,"Материал: нержавеющая сталь
Размер: 15.7*9.4CM
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: с лого,300,"2,7","225,8",45-50,"3,1","260,8",35-40,7 861,7,17-19,
,,,,500,"2,6","223,6",45-50,"3,0","258,5",35-40,,,,
 ,фляжка,"Материал: нержавеющая сталь
Размер: 15.7*9.4CM
Упаковка: инд пакет
Примечание от фабрики: минимальный заказ от 100 шт", Дизайн: выкрас в цвет клиента ,100,"4,0","341,6",50-55,"4,4","376,6",40-45,7 861,10,20-22,
,,,,,,,,,,,,,,
 ,фляжка,"Материал: нержавеющая сталь
Размер: 15.7*9.4CM
Упаковка: инд пакет
Примечание от фабрики: минимальный заказ от 100 шт", Дизайн: выкрас в цвет клиента+ лого,100,"4,3","366,5",50-55,"4,7","401,4",40-45,7 861,10,20-22,
,,,,,,,,,,,,,,
 ,бутылка,"Материал: нержавеющая сталь
Размер: 15.7*9.4CM
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: с лого,300,"15,3","1299,5",70-75,"16,9","1437,2",60-65,39 512,7,17-19,
,,,,500,"15,3","1297,2",70-75,"16,9","1435,0",60-65,,,,
 ,бутылка,"Материал: нержавеющая сталь
Размер: 15.7*9.4CM
Упаковка: инд пакет
Примечание от фабрики: минимальный заказ от 100 шт", Дизайн: выкрас в цвет клиента ,1000,"18,2","1544,2",70-75,"19,8","1681,9",60-65,39 512,10,20-22,
,,,,,,,,,,,,,,
 ,бутылка,"Материал: нержавеющая сталь
Размер: 15.7*9.4CM
Упаковка: инд пакет
Примечание от фабрики: минимальный заказ от 100 шт", Дизайн: выкрас в цвет клиента+ лого,1000,"18,8","1593,9",70-75,"20,4","1731,7",60-65,39 512,10,20-22,
,,,,,,,,,,,,,,
 ,кружка с трубочкой,"Материал: прочный ABS
Размер: 710 мл, 22,8 * 10,4 * 10,4 см
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: с лого,300,"6,3","534,9",40-45,"6,2","526,4",30-35,8 795,7,17-19,
,,,,500,"7,9","674,2",40-45,"7,8","664,1",30-35,,,,
 ,кружка с трубочкой,"Материал: прочный ABS
Размер: 710 мл, 22,8 * 10,4 * 10,4 см
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: выкрас в цвет клиента ,100,"6,8","574,4",40-45,"8,4","712,2",30-35,8 795,7,17-19,
,,,,,,,,,,,,,,
 ,кружка с трубочкой,"Материал: прочный ABS
Размер: 710 мл, 22,8 * 10,4 * 10,4 см
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: выкрас в цвет клиента+ лого,100,"7,4","631,5",40-45,"9,1","770,9",30-35,8 795,7,17-19,
,,,,,,,,,,,,,,
 ,термос-чашка,"Материал: нержавеющая сталь 304
Размер: 27*7,5 см
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: с лого,300,"10,9","926,5",40-45,"12,5","1064,2",30-35,10 843,7,17-19,
,,,,500,"10,9","924,2",40-45,"12,5","1062,0",30-35,,,,
 ,термос-чашка,"Материал: нержавеющая сталь 304
Размер: 27*7,5 см
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: выкрас в цвет клиента ,100,"12,3","1046,9",40-45,"13,9","1184,6",30-35,10 843,7,17-19,
,,,,,,,,,,,,,,
 ,термос-чашка,"Материал: нержавеющая сталь 304
Размер: 27*7,5 см
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: выкрас в цвет клиента+ лого,100,"13,2","1121,5",40-45,"14,8","1259,2",30-35,10 843,7,17-19,
,,,,,,,,,,,,,,
 ,бутылка,"Материал: ABS+PC
Размер: 68*90*120mm
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: с лого,300,"26,4","2246,3",45-50,"27,5","2337,6",35-40,12 459,7,17-19,
,,,,500,"26,1","2220,1",45-50,"27,2","2310,4",35-40,,,,
 ,бутылка,"Материал: ABS+PC
Размер: 68*90*120mm
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: выкрас в цвет клиента ,1000,"25,5","2170,4",50-55,"26,6","2260,7",40-45,12 459,10,20-22,
,,,,,,,,,,,,,,
 ,бутылка,"Материал: ABS+PC
Размер: 68*90*120mm
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: выкрас в цвет клиента+ лого,1000,"25,5","2170,4",50-55,"26,6","2260,7",40-45,12 459,10,20-22,
,,,,,,,,,,,,,,
 ,зонт автоматический ,"Материал: железо
Размер: 117*62CM - когда раскрыт, 32*6 см - в закрытом состояние
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: с лого,300,"8,9","754,3",45-50,"10,4","882,9",35-40,8 699,7,17-19,
,,,,500,"8,8","745,5",45-50,"10,3","872,6",35-40,,,,
